Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.6657732529290813, 'angle': 22.704791784332212, 'sigma': 0.043515665812604416, 'factor': 0.5390496150592381, 'self_conf': 2.75573639666415, 'swarm_conf': 2.484772072133058, 'version': 'constriction', 'distribution': 'levy'}
Mejor rendimiento encontrado:
81.44402289267519

Stderr:
[I 2025-01-10 12:33:57,070] A new study created in memory with name: no-name-06bbcc91-ca54-4358-a2b2-3df22da4953d
[I 2025-01-10 12:34:01,009] Trial 0 finished with value: 101.94156370350014 and parameters: {'radius': 0.7654771398420004, 'angle': 24.3562778034148, 'sigma': 0.09578380380281235, 'factor': 0.36458837989642484, 'self_conf': 2.377468328222907, 'swarm_conf': 2.8987971866913136, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 0 with value: 101.94156370350014.
[I 2025-01-10 12:34:02,177] Trial 1 finished with value: 119.06548708197539 and parameters: {'radius': 0.31070081210982625, 'angle': 23.831447533787262, 'sigma': 0.08392145174433666, 'factor': 0.42163923466344566, 'self_conf': 2.7438213953589328, 'swarm_conf': 2.825755006258144, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 101.94156370350014.
[I 2025-01-10 12:34:03,302] Trial 2 finished with value: 107.34544053910814 and parameters: {'radius': 0.4824178738847047, 'angle': 23.965304819660528, 'sigma': 0.027668669851553265, 'factor': 0.5177854292095662, 'self_conf': 2.2086049006251405, 'swarm_conf': 2.792565549557093, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 101.94156370350014.
[I 2025-01-10 12:34:04,521] Trial 3 finished with value: 113.84977427030012 and parameters: {'radius': 0.2308209611156615, 'angle': 22.922419617767247, 'sigma': 0.019406127981932052, 'factor': 0.7413773756164147, 'self_conf': 2.4359162870496247, 'swarm_conf': 2.743936803053636, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 101.94156370350014.
[I 2025-01-10 12:34:05,702] Trial 4 finished with value: 142.8485569156614 and parameters: {'radius': 0.7007783423417759, 'angle': 24.099703106988176, 'sigma': 0.09804977630085716, 'factor': 0.4095706273472316, 'self_conf': 2.404805529696237, 'swarm_conf': 2.6772492124233094, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 0 with value: 101.94156370350014.
[I 2025-01-10 12:34:06,901] Trial 5 finished with value: 81.44402289267519 and parameters: {'radius': 0.6657732529290813, 'angle': 22.704791784332212, 'sigma': 0.043515665812604416, 'factor': 0.5390496150592381, 'self_conf': 2.75573639666415, 'swarm_conf': 2.484772072133058, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 5 with value: 81.44402289267519.
[I 2025-01-10 12:34:08,059] Trial 6 finished with value: 86.56118279022431 and parameters: {'radius': 0.3667758100114089, 'angle': 24.70356772521492, 'sigma': 0.09623870566535445, 'factor': 0.4160275556396281, 'self_conf': 2.782467636420255, 'swarm_conf': 2.3311324742454356, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 5 with value: 81.44402289267519.
[I 2025-01-10 12:34:09,203] Trial 7 finished with value: 95.39304421820687 and parameters: {'radius': 0.4115190776111942, 'angle': 24.739717854880723, 'sigma': 0.0320438232770844, 'factor': 0.5770745563257474, 'self_conf': 2.538583203032557, 'swarm_conf': 2.6664137552712512, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 5 with value: 81.44402289267519.
[I 2025-01-10 12:34:10,381] Trial 8 finished with value: 101.08600517342997 and parameters: {'radius': 0.23340148061904112, 'angle': 24.800778380019867, 'sigma': 0.06923589647343763, 'factor': 0.5960817401981301, 'self_conf': 2.9211473755344004, 'swarm_conf': 2.3632499127352906, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 5 with value: 81.44402289267519.
[I 2025-01-10 12:34:11,556] Trial 9 finished with value: 134.4621193438947 and parameters: {'radius': 0.8195784699097042, 'angle': 23.102210457208166, 'sigma': 0.0227692878867832, 'factor': 0.6063324035658326, 'self_conf': 2.753654563772769, 'swarm_conf': 2.076758693635777, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 5 with value: 81.44402289267519.
[I 2025-01-10 12:34:12,746] Trial 10 finished with value: 139.43491602921625 and parameters: {'radius': 0.6241277436611683, 'angle': 22.547130184418027, 'sigma': 0.046957268237780216, 'factor': 0.8983849855493209, 'self_conf': 2.0954967399460083, 'swarm_conf': 2.475560411938096, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 5 with value: 81.44402289267519.
[I 2025-01-10 12:34:13,881] Trial 11 finished with value: 135.14840835680232 and parameters: {'radius': 0.5937757449810279, 'angle': 23.387278966041425, 'sigma': 0.0540529094275072, 'factor': 0.49252142308212676, 'self_conf': 2.983413247191146, 'swarm_conf': 2.2534973534105376, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 5 with value: 81.44402289267519.
