Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.9982504354703299, 'self_conf': 2.555643761814626, 'swarm_conf': 2.590324847994862, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5698630164263059, 'angle': 20.93164648373638, 'sigma': 0.13862896565816035}
Mejor rendimiento encontrado:
52.679550435825846

Stderr:
[I 2025-01-10 12:42:22,421] A new study created in memory with name: no-name-e0c14438-c71e-43df-991a-668652c23a3c
[I 2025-01-10 12:42:25,175] Trial 0 finished with value: 116.78113091249107 and parameters: {'factor': 0.6237170829747443, 'self_conf': 2.185105339339739, 'swarm_conf': 2.8854961578751412, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6477203635861337, 'angle': 24.819687249650976, 'sigma': 0.1734339711963564}. Best is trial 0 with value: 116.78113091249107.
[I 2025-01-10 12:42:26,227] Trial 1 finished with value: 154.038532681472 and parameters: {'factor': 0.5897080371243779, 'self_conf': 2.0534789452394095, 'swarm_conf': 2.0167521034410902, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8243804470412378, 'angle': 21.847263995090785, 'sigma': 0.067691716534269}. Best is trial 0 with value: 116.78113091249107.
[I 2025-01-10 12:42:27,259] Trial 2 finished with value: 140.12057222235745 and parameters: {'factor': 0.9317361740936675, 'self_conf': 2.2507016727306524, 'swarm_conf': 2.102287208618015, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.5871263716367299, 'angle': 20.03782330291275, 'sigma': 0.1862883373037431}. Best is trial 0 with value: 116.78113091249107.
[I 2025-01-10 12:42:28,301] Trial 3 finished with value: 151.2959239087233 and parameters: {'factor': 0.9604940561201838, 'self_conf': 2.2901022274092737, 'swarm_conf': 2.7448812046289843, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6796869837498105, 'angle': 22.743040769663207, 'sigma': 0.08952899263665526}. Best is trial 0 with value: 116.78113091249107.
[I 2025-01-10 12:42:29,366] Trial 4 finished with value: 147.24017333967055 and parameters: {'factor': 0.8286034818136727, 'self_conf': 2.6088608046549684, 'swarm_conf': 2.798248089285149, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6302141737123537, 'angle': 22.828694032834267, 'sigma': 0.044557438144110915}. Best is trial 0 with value: 116.78113091249107.
[I 2025-01-10 12:42:30,457] Trial 5 finished with value: 62.01591143689446 and parameters: {'factor': 0.9238473569728933, 'self_conf': 2.483524913231008, 'swarm_conf': 2.7539338168218173, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5607201411426213, 'angle': 20.26165400706802, 'sigma': 0.11222157201525251}. Best is trial 5 with value: 62.01591143689446.
[I 2025-01-10 12:42:31,540] Trial 6 finished with value: 154.49315469776656 and parameters: {'factor': 0.6053656799413577, 'self_conf': 2.7157947545965277, 'swarm_conf': 2.0478024011448697, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7021327078867754, 'angle': 24.922096515913957, 'sigma': 0.06685077648585769}. Best is trial 5 with value: 62.01591143689446.
[I 2025-01-10 12:42:32,597] Trial 7 finished with value: 119.33743072177752 and parameters: {'factor': 0.5889672393066856, 'self_conf': 2.803596849334598, 'swarm_conf': 2.265777748274752, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6661472350282523, 'angle': 24.912527101491953, 'sigma': 0.028149591896983964}. Best is trial 5 with value: 62.01591143689446.
[I 2025-01-10 12:42:33,689] Trial 8 finished with value: 132.80814983180068 and parameters: {'factor': 0.8908002173902585, 'self_conf': 2.9194880885203878, 'swarm_conf': 2.924807503514705, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6739528867984399, 'angle': 24.708035341409328, 'sigma': 0.13753847260274876}. Best is trial 5 with value: 62.01591143689446.
[I 2025-01-10 12:42:34,739] Trial 9 finished with value: 165.03276974886717 and parameters: {'factor': 0.6498144229463296, 'self_conf': 2.0195891568266577, 'swarm_conf': 2.7085733969616355, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.7635690367000925, 'angle': 24.44367272818346, 'sigma': 0.16240677576600726}. Best is trial 5 with value: 62.01591143689446.
[I 2025-01-10 12:42:35,843] Trial 10 finished with value: 59.98884921362917 and parameters: {'factor': 0.7669088996875846, 'self_conf': 2.468328831422451, 'swarm_conf': 2.5013124925066013, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5057295102605482, 'angle': 20.085408836531194, 'sigma': 0.11962879018698716}. Best is trial 10 with value: 59.98884921362917.
