Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'probability': 0.726867381514521, 'scale': 0.6096865764388474, 'distribution': 'uniform', 'factor': 0.9413286159123742, 'self_conf': 2.968470107568462, 'swarm_conf': 2.9705133477993764, 'version': 'constriction', 'radius': 0.8896036004674297, 'angle': 23.88781636893203, 'sigma': 0.35546268274581994, 'num_of_agents': 50}
Mejor rendimiento encontrado:
38.077472874619495

Stderr:
[I 2025-01-10 14:52:42,869] A new study created in memory with name: no-name-fcbbc824-91ec-4114-b6d7-c36594f4dc73
[I 2025-01-10 14:52:45,954] Trial 0 finished with value: 128.2885522393645 and parameters: {'probability': 0.8752143724578254, 'scale': 1.3963278484272108, 'distribution': 'gaussian', 'factor': 0.5880685386359062, 'self_conf': 2.92311723317113, 'swarm_conf': 2.2813484477201733, 'version': 'constriction', 'radius': 0.7560271969572462, 'angle': 21.277369069687595, 'sigma': 0.08924771669428513, 'num_of_agents': 40}. Best is trial 0 with value: 128.2885522393645.
[I 2025-01-10 14:52:47,239] Trial 1 finished with value: 127.68852935445246 and parameters: {'probability': 0.9201064266904051, 'scale': 1.4886905901646768, 'distribution': 'gaussian', 'factor': 0.5471334829764994, 'self_conf': 2.3735494976247455, 'swarm_conf': 2.747399672661669, 'version': 'constriction', 'radius': 0.8666830160791299, 'angle': 20.607239706815353, 'sigma': 0.4446305309387901, 'num_of_agents': 34}. Best is trial 1 with value: 127.68852935445246.
[I 2025-01-10 14:52:48,731] Trial 2 finished with value: 41.73479008462586 and parameters: {'probability': 0.9217442639969324, 'scale': 0.976120729713488, 'distribution': 'uniform', 'factor': 0.5399143106651572, 'self_conf': 2.979379359630183, 'swarm_conf': 2.9684697562004776, 'version': 'constriction', 'radius': 0.8663513582569654, 'angle': 23.292369174115628, 'sigma': 0.4218487732473662, 'num_of_agents': 42}. Best is trial 2 with value: 41.73479008462586.
[I 2025-01-10 14:52:50,338] Trial 3 finished with value: 137.2518164526914 and parameters: {'probability': 0.5452353002546262, 'scale': 1.7634880005719284, 'distribution': 'uniform', 'factor': 0.3769864422212121, 'self_conf': 2.6683609484237127, 'swarm_conf': 2.7767778214185714, 'version': 'inertial', 'radius': 0.7315422656927447, 'angle': 20.814147856514722, 'sigma': 0.08480202487953743, 'num_of_agents': 49}. Best is trial 2 with value: 41.73479008462586.
[I 2025-01-10 14:52:51,432] Trial 4 finished with value: 64.75850094044927 and parameters: {'probability': 0.9647615167686737, 'scale': 1.1645178582098166, 'distribution': 'uniform', 'factor': 0.46626740328703453, 'self_conf': 2.0020172066798265, 'swarm_conf': 2.779687528955545, 'version': 'constriction', 'radius': 0.6667468768260794, 'angle': 24.805082197068327, 'sigma': 0.07279648035628461, 'num_of_agents': 24}. Best is trial 2 with value: 41.73479008462586.
[I 2025-01-10 14:52:52,462] Trial 5 finished with value: 150.48694094853028 and parameters: {'probability': 0.5618505925455874, 'scale': 1.681933551083497, 'distribution': 'levy', 'factor': 0.3042888428200907, 'self_conf': 2.8084487943454985, 'swarm_conf': 2.4974625872441214, 'version': 'inertial', 'radius': 0.5345956088892017, 'angle': 23.156072970639574, 'sigma': 0.34382110223393436, 'num_of_agents': 21}. Best is trial 2 with value: 41.73479008462586.
[I 2025-01-10 14:52:53,747] Trial 6 finished with value: 148.1564264735681 and parameters: {'probability': 0.5383430192720919, 'scale': 1.6262364194183936, 'distribution': 'levy', 'factor': 0.8282427756364563, 'self_conf': 2.556141982252133, 'swarm_conf': 2.1256599924785284, 'version': 'inertial', 'radius': 0.7177142677123555, 'angle': 20.48024991126767, 'sigma': 0.17785391934377703, 'num_of_agents': 31}. Best is trial 2 with value: 41.73479008462586.
[I 2025-01-10 14:52:54,813] Trial 7 finished with value: 138.82636837238758 and parameters: {'probability': 0.5667645551978355, 'scale': 0.9102704455199262, 'distribution': 'gaussian', 'factor': 0.571575528964065, 'self_conf': 2.621120619430938, 'swarm_conf': 2.3248835888263377, 'version': 'inertial', 'radius': 0.5256539013254731, 'angle': 23.115001462881807, 'sigma': 0.08152770861460575, 'num_of_agents': 24}. Best is trial 2 with value: 41.73479008462586.
[I 2025-01-10 14:52:55,663] Trial 8 finished with value: 150.4022225654606 and parameters: {'probability': 0.8786248314242451, 'scale': 1.7924870846257694, 'distribution': 'uniform', 'factor': 0.7443195192009177, 'self_conf': 2.490706678593904, 'swarm_conf': 2.6198020743324832, 'version': 'inertial', 'radius': 0.6826979261544313, 'angle': 22.380223175827783, 'sigma': 0.4867574731777898, 'num_of_agents': 15}. Best is trial 2 with value: 41.73479008462586.
[I 2025-01-10 14:52:56,624] Trial 9 finished with value: 130.7404798838714 and parameters: {'probability': 0.8421877137574052, 'scale': 0.7504375823639183, 'distribution': 'levy', 'factor': 0.6226703803986041, 'self_conf': 2.5617947406411545, 'swarm_conf': 2.8727331513091516, 'version': 'constriction', 'radius': 0.6233276730456568, 'angle': 24.456814589290897, 'sigma': 0.15870675973579143, 'num_of_agents': 18}. Best is trial 2 with value: 41.73479008462586.
[I 2025-01-10 14:52:58,290] Trial 10 finished with value: 38.077472874619495 and parameters: {'probability': 0.726867381514521, 'scale': 0.6096865764388474, 'distribution': 'uniform', 'factor': 0.9413286159123742, 'self_conf': 2.968470107568462, 'swarm_conf': 2.9705133477993764, 'version': 'constriction', 'radius': 0.8896036004674297, 'angle': 23.88781636893203, 'sigma': 0.35546268274581994, 'num_of_agents': 50}. Best is trial 10 with value: 38.077472874619495.
