Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.6842744871282056, 'angle': 21.652416239767817, 'sigma': 0.0702595514328313, 'probability': 0.6870605461624807, 'scale': 1.7315207235524075, 'distribution': 'uniform', 'factor': 0.3523541261933827, 'self_conf': 2.5972101044774156, 'swarm_conf': 2.6557617680490453, 'version': 'constriction'}
Mejor rendimiento encontrado:
40.51087112226277

Stderr:
[I 2025-01-10 15:04:37,431] A new study created in memory with name: no-name-8c85197a-f711-44b2-9d44-271194ee2b9c
[I 2025-01-10 15:04:40,146] Trial 0 finished with value: 147.91783073496157 and parameters: {'radius': 0.7393362678116224, 'angle': 22.042758285882677, 'sigma': 0.06123168272822921, 'probability': 0.5012152933749272, 'scale': 1.7439806371278728, 'distribution': 'uniform', 'factor': 0.40804771682799396, 'self_conf': 2.4158874916615574, 'swarm_conf': 2.4702000163250104, 'version': 'inertial'}. Best is trial 0 with value: 147.91783073496157.
[I 2025-01-10 15:04:41,192] Trial 1 finished with value: 126.12932802758866 and parameters: {'radius': 0.6523414966333989, 'angle': 23.945211989609685, 'sigma': 0.07523445355812595, 'probability': 0.6541057376886671, 'scale': 0.5845393997510706, 'distribution': 'gaussian', 'factor': 0.8159507879867018, 'self_conf': 2.4755218251231224, 'swarm_conf': 2.7460596122980303, 'version': 'constriction'}. Best is trial 1 with value: 126.12932802758866.
[I 2025-01-10 15:04:42,223] Trial 2 finished with value: 137.8051677898535 and parameters: {'radius': 0.8983856405811818, 'angle': 22.43164639939607, 'sigma': 0.08879768674206061, 'probability': 0.7176930773690151, 'scale': 1.2603061789497478, 'distribution': 'gaussian', 'factor': 0.4429645544934044, 'self_conf': 2.1377756408414497, 'swarm_conf': 2.8709797899062792, 'version': 'constriction'}. Best is trial 1 with value: 126.12932802758866.
[I 2025-01-10 15:04:43,278] Trial 3 finished with value: 142.24356227221875 and parameters: {'radius': 0.7981721984383386, 'angle': 20.325987426358452, 'sigma': 0.09312798696965605, 'probability': 0.6383641185563202, 'scale': 0.9785888339046511, 'distribution': 'uniform', 'factor': 0.6473521069966212, 'self_conf': 2.5983314510749564, 'swarm_conf': 2.89913737436794, 'version': 'inertial'}. Best is trial 1 with value: 126.12932802758866.
[I 2025-01-10 15:04:44,384] Trial 4 finished with value: 132.40147355828032 and parameters: {'radius': 0.50307763112783, 'angle': 21.607683813532827, 'sigma': 0.052463842355632416, 'probability': 0.5318828947143098, 'scale': 1.2244282534905055, 'distribution': 'levy', 'factor': 0.7216584511990971, 'self_conf': 2.900695811711992, 'swarm_conf': 2.909600305296794, 'version': 'inertial'}. Best is trial 1 with value: 126.12932802758866.
[I 2025-01-10 15:04:45,441] Trial 5 finished with value: 132.6603359470521 and parameters: {'radius': 0.5595345191013218, 'angle': 23.253520681135974, 'sigma': 0.07931649399008406, 'probability': 0.6227464467473935, 'scale': 1.721041606669854, 'distribution': 'uniform', 'factor': 0.30118642628405906, 'self_conf': 2.8369510413744785, 'swarm_conf': 2.920133236669707, 'version': 'inertial'}. Best is trial 1 with value: 126.12932802758866.
[I 2025-01-10 15:04:46,492] Trial 6 finished with value: 40.51087112226277 and parameters: {'radius': 0.6842744871282056, 'angle': 21.652416239767817, 'sigma': 0.0702595514328313, 'probability': 0.6870605461624807, 'scale': 1.7315207235524075, 'distribution': 'uniform', 'factor': 0.3523541261933827, 'self_conf': 2.5972101044774156, 'swarm_conf': 2.6557617680490453, 'version': 'constriction'}. Best is trial 6 with value: 40.51087112226277.
[I 2025-01-10 15:04:47,566] Trial 7 finished with value: 125.1150588280946 and parameters: {'radius': 0.5290218034922485, 'angle': 20.785951738559703, 'sigma': 0.05514514614900017, 'probability': 0.6044446694522575, 'scale': 1.4571101666800208, 'distribution': 'uniform', 'factor': 0.703226490168627, 'self_conf': 2.214416632067072, 'swarm_conf': 2.9928340965526345, 'version': 'inertial'}. Best is trial 6 with value: 40.51087112226277.
[I 2025-01-10 15:04:48,661] Trial 8 finished with value: 47.74812442399798 and parameters: {'radius': 0.7239484152887515, 'angle': 23.264174447023855, 'sigma': 0.050183886147073586, 'probability': 0.5322640503530816, 'scale': 0.9965677660619525, 'distribution': 'uniform', 'factor': 0.8439671931695276, 'self_conf': 2.504301659629151, 'swarm_conf': 2.2133284428845963, 'version': 'constriction'}. Best is trial 6 with value: 40.51087112226277.
[I 2025-01-10 15:04:49,718] Trial 9 finished with value: 125.68807488086303 and parameters: {'radius': 0.5232301377118105, 'angle': 22.14129676817864, 'sigma': 0.05661370919981588, 'probability': 0.5497400535913399, 'scale': 1.8704537622826292, 'distribution': 'uniform', 'factor': 0.7717913636092154, 'self_conf': 2.481311254746483, 'swarm_conf': 2.826947780568896, 'version': 'inertial'}. Best is trial 6 with value: 40.51087112226277.
[I 2025-01-10 15:04:50,820] Trial 10 finished with value: 123.83788069675153 and parameters: {'radius': 0.6230507989790088, 'angle': 24.704703510702817, 'sigma': 0.06652038010319353, 'probability': 0.7473460033445204, 'scale': 1.5156158315319121, 'distribution': 'levy', 'factor': 0.5265451034049384, 'self_conf': 2.7102691191507047, 'swarm_conf': 2.5641858332594594, 'version': 'constriction'}. Best is trial 6 with value: 40.51087112226277.
[I 2025-01-10 15:04:51,883] Trial 11 finished with value: 47.5103042665213 and parameters: {'radius': 0.7507770178424215, 'angle': 23.342675240698277, 'sigma': 0.06863951209951004, 'probability': 0.6969266263393696, 'scale': 0.9711994320664034, 'distribution': 'uniform', 'factor': 0.8937334082938948, 'self_conf': 2.679782679183532, 'swarm_conf': 2.1009008312887607, 'version': 'constriction'}. Best is trial 6 with value: 40.51087112226277.
[I 2025-01-10 15:04:52,952] Trial 12 finished with value: 43.33489544598285 and parameters: {'radius': 0.798934759041627, 'angle': 21.185728415925723, 'sigma': 0.06818055505262835, 'probability': 0.6894625166961709, 'scale': 0.6852680603538656, 'distribution': 'uniform', 'factor': 0.8999136573013772, 'self_conf': 2.7072317970473656, 'swarm_conf': 2.1237344608580466, 'version': 'constriction'}. Best is trial 6 with value: 40.51087112226277.
[I 2025-01-10 15:04:54,054] Trial 13 finished with value: 139.408461614477 and parameters: {'radius': 0.8357559881780017, 'angle': 21.101802860482405, 'sigma': 0.08112342209635522, 'probability': 0.6780814627583487, 'scale': 0.5984022440392472, 'distribution': 'levy', 'factor': 0.5666898538855528, 'self_conf': 2.325141142579364, 'swarm_conf': 2.435145274977263, 'version': 'constriction'}. Best is trial 6 with value: 40.51087112226277.
[I 2025-01-10 15:04:55,132] Trial 14 finished with value: 52.44822425085188 and parameters: {'radius': 0.6679172657987021, 'angle': 20.114721138728466, 'sigma': 0.06885530148203214, 'probability': 0.7279781381378732, 'scale': 0.7672581722268936, 'distribution': 'uniform', 'factor': 0.3095475963148562, 'self_conf': 2.99042783942679, 'swarm_conf': 2.6607035509635346, 'version': 'constriction'}. Best is trial 6 with value: 40.51087112226277.
