Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.8163715829892713, 'self_conf': 2.4205837826174648, 'swarm_conf': 2.7540164876556066, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7734414284232455, 'angle': 23.446440125885115, 'sigma': 0.03794197867421192}
Mejor rendimiento encontrado:
53.153788551039064

Stderr:
[I 2025-01-10 15:25:27,448] A new study created in memory with name: no-name-bb89bd0d-c48f-4b7c-840b-2bc35d587005
[I 2025-01-10 15:25:29,986] Trial 0 finished with value: 160.10945066688842 and parameters: {'factor': 0.5598170276717895, 'self_conf': 2.5499346537805883, 'swarm_conf': 2.1202513429182184, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8655549244605074, 'angle': 22.96451120886973, 'sigma': 0.0799017574486512}. Best is trial 0 with value: 160.10945066688842.
[I 2025-01-10 15:25:31,058] Trial 1 finished with value: 150.83586684198153 and parameters: {'factor': 0.9772186831630891, 'self_conf': 2.7387870578007663, 'swarm_conf': 2.23294546992271, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8428524723720473, 'angle': 21.25726685549474, 'sigma': 0.06585761499560917}. Best is trial 1 with value: 150.83586684198153.
[I 2025-01-10 15:25:32,120] Trial 2 finished with value: 136.91001111271538 and parameters: {'factor': 0.7855637376892753, 'self_conf': 2.4688403976208866, 'swarm_conf': 2.7841256612810588, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.775243763922421, 'angle': 20.40893315940742, 'sigma': 0.03336714079286501}. Best is trial 2 with value: 136.91001111271538.
[I 2025-01-10 15:25:33,173] Trial 3 finished with value: 145.20027217312634 and parameters: {'factor': 0.7062664840482311, 'self_conf': 2.490615093567758, 'swarm_conf': 2.0867816766332323, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8555298986711544, 'angle': 24.65735326544143, 'sigma': 0.04832448296206869}. Best is trial 2 with value: 136.91001111271538.
[I 2025-01-10 15:25:34,259] Trial 4 finished with value: 139.14492667678041 and parameters: {'factor': 0.9946772155523154, 'self_conf': 2.969847071764376, 'swarm_conf': 2.167118118501622, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8041523707139484, 'angle': 21.412711575260545, 'sigma': 0.07508109876523786}. Best is trial 2 with value: 136.91001111271538.
[I 2025-01-10 15:25:35,316] Trial 5 finished with value: 148.47812987110518 and parameters: {'factor': 0.6258802450041856, 'self_conf': 2.9957885628388112, 'swarm_conf': 2.29274751317947, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8793113156557972, 'angle': 24.958870126564122, 'sigma': 0.02235719723482471}. Best is trial 2 with value: 136.91001111271538.
[I 2025-01-10 15:25:36,401] Trial 6 finished with value: 53.153788551039064 and parameters: {'factor': 0.8163715829892713, 'self_conf': 2.4205837826174648, 'swarm_conf': 2.7540164876556066, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7734414284232455, 'angle': 23.446440125885115, 'sigma': 0.03794197867421192}. Best is trial 6 with value: 53.153788551039064.
[I 2025-01-10 15:25:37,470] Trial 7 finished with value: 144.8180254888602 and parameters: {'factor': 0.5786238496288236, 'self_conf': 2.1532058561690293, 'swarm_conf': 2.660198897805505, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.7905304570228536, 'angle': 23.23424249021998, 'sigma': 0.09296711986829277}. Best is trial 6 with value: 53.153788551039064.
[I 2025-01-10 15:25:38,539] Trial 8 finished with value: 81.20875107879476 and parameters: {'factor': 0.9123774838063557, 'self_conf': 2.5484553591409727, 'swarm_conf': 2.7400972687106733, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5007458335683845, 'angle': 21.31123357995478, 'sigma': 0.06229511179078829}. Best is trial 6 with value: 53.153788551039064.
[I 2025-01-10 15:25:39,592] Trial 9 finished with value: 138.82787994117857 and parameters: {'factor': 0.940678630439602, 'self_conf': 2.7465697465478525, 'swarm_conf': 2.4720273221684264, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.634503614683366, 'angle': 21.72647899169817, 'sigma': 0.019639152117249165}. Best is trial 6 with value: 53.153788551039064.
[I 2025-01-10 15:25:40,641] Trial 10 finished with value: 143.85748873811417 and parameters: {'factor': 0.8197476845772559, 'self_conf': 2.024249284349927, 'swarm_conf': 2.992134908311076, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7005098756950375, 'angle': 24.001923708935852, 'sigma': 0.042486667632293224}. Best is trial 6 with value: 53.153788551039064.
