Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.03329486082554466, 'gravity': 0.001604471458047079, 'alpha': 0.09323527436000552, 'beta': 3.4748133884506625, 'dt': 1.480504965698449, 'factor': 0.6549946043353777, 'self_conf': 2.982286108793042, 'swarm_conf': 2.5362264764868536, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
31.718343181903357

Stderr:
[I 2025-01-10 15:30:51,268] A new study created in memory with name: no-name-0c6ce55e-2d8b-465c-b397-9df6b5e0c23a
[I 2025-01-10 15:30:54,582] Trial 0 finished with value: 138.76785209636688 and parameters: {'scale': 0.011795016832948174, 'gravity': 0.007972649709809662, 'alpha': 0.033746418149841466, 'beta': 2.9292403590987575, 'dt': 1.8661065446321097, 'factor': 0.6178049379551331, 'self_conf': 2.459372223876148, 'swarm_conf': 2.1200278100709395, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 138.76785209636688.
[I 2025-01-10 15:30:55,575] Trial 1 finished with value: 68.33388619258986 and parameters: {'scale': 0.0792725004896632, 'gravity': 0.006000295627975573, 'alpha': 0.05556719351406179, 'beta': 4.064472930710342, 'dt': 0.5501597359676964, 'factor': 0.7466855515101799, 'self_conf': 2.289870689262374, 'swarm_conf': 2.0529069929396093, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 68.33388619258986.
[I 2025-01-10 15:30:56,588] Trial 2 finished with value: 195.21118774533204 and parameters: {'scale': 0.03223630731225063, 'gravity': 0.005330077460604901, 'alpha': 0.05047145345256185, 'beta': 3.770006615832002, 'dt': 1.2977586524806282, 'factor': 0.7424416985754203, 'self_conf': 1.9569098995219092, 'swarm_conf': 2.795279304681602, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 1 with value: 68.33388619258986.
[I 2025-01-10 15:30:57,576] Trial 3 finished with value: 179.70570892591877 and parameters: {'scale': 0.07222275456565161, 'gravity': 0.009339673650406414, 'alpha': 0.0947004330091182, 'beta': 2.0884590013921733, 'dt': 1.060429667897362, 'factor': 0.6023873862900044, 'self_conf': 1.6311603115610052, 'swarm_conf': 1.9808365920312405, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 1 with value: 68.33388619258986.
[I 2025-01-10 15:30:58,577] Trial 4 finished with value: 136.27911545680664 and parameters: {'scale': 0.013916089174906724, 'gravity': 0.007732952176386658, 'alpha': 0.05280413721143996, 'beta': 4.103537630058932, 'dt': 0.8027632187581011, 'factor': 0.7026565940410409, 'self_conf': 2.230804444295276, 'swarm_conf': 1.9652959259650464, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 68.33388619258986.
[I 2025-01-10 15:30:59,585] Trial 5 finished with value: 176.12913129707803 and parameters: {'scale': 0.09841761904242305, 'gravity': 0.005272683663944582, 'alpha': 0.020539928842570488, 'beta': 4.182827793262114, 'dt': 1.0856918206381807, 'factor': 0.7196208428059043, 'self_conf': 2.5186121041886262, 'swarm_conf': 2.325163753211886, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 1 with value: 68.33388619258986.
[I 2025-01-10 15:31:00,561] Trial 6 finished with value: 93.37823915278264 and parameters: {'scale': 0.04837735681952577, 'gravity': 0.004953939989031722, 'alpha': 0.011722004283862495, 'beta': 2.9859723328091663, 'dt': 0.8252956192110257, 'factor': 0.6627257897013817, 'self_conf': 1.7471903384067065, 'swarm_conf': 1.713663453279966, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 68.33388619258986.
[I 2025-01-10 15:31:01,570] Trial 7 finished with value: 58.690209138467246 and parameters: {'scale': 0.013032796344866189, 'gravity': 0.004454467164843374, 'alpha': 0.020506505863939022, 'beta': 4.237536163100731, 'dt': 1.6271021815335742, 'factor': 0.616494131466583, 'self_conf': 1.8105825824580188, 'swarm_conf': 2.3723530665775154, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 7 with value: 58.690209138467246.
[I 2025-01-10 15:31:02,662] Trial 8 finished with value: 190.34711849748763 and parameters: {'scale': 0.08696293319804665, 'gravity': 0.0067106651076456235, 'alpha': 0.013652737852356957, 'beta': 1.857282660054445, 'dt': 1.9295992415027783, 'factor': 0.7452348235149318, 'self_conf': 1.7656944821748217, 'swarm_conf': 1.8329870423164636, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 7 with value: 58.690209138467246.
[I 2025-01-10 15:31:03,738] Trial 9 finished with value: 156.2492738367548 and parameters: {'scale': 0.05320106005110015, 'gravity': 0.007140947791249943, 'alpha': 0.012919904024709251, 'beta': 4.420695911421334, 'dt': 1.5483334426343471, 'factor': 0.6885803032612473, 'self_conf': 1.8203340246952373, 'swarm_conf': 2.6318619043366107, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 7 with value: 58.690209138467246.
[I 2025-01-10 15:31:04,806] Trial 10 finished with value: 32.466191864677 and parameters: {'scale': 0.03189010068011898, 'gravity': 0.0022899550295533222, 'alpha': 0.0793864865009327, 'beta': 3.4513469199272406, 'dt': 1.5559569265819089, 'factor': 0.6399337896325151, 'self_conf': 2.9802458898237068, 'swarm_conf': 2.5266394045401652, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 32.466191864677.
[I 2025-01-10 15:31:05,880] Trial 11 finished with value: 35.80437503222353 and parameters: {'scale': 0.03083126029944514, 'gravity': 0.0021620717266159785, 'alpha': 0.08805400087908138, 'beta': 3.546624327201738, 'dt': 1.5846673581575084, 'factor': 0.6482664940963538, 'self_conf': 2.9112260035255284, 'swarm_conf': 2.437924670518861, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 32.466191864677.
[I 2025-01-10 15:31:06,964] Trial 12 finished with value: 31.718343181903357 and parameters: {'scale': 0.03329486082554466, 'gravity': 0.001604471458047079, 'alpha': 0.09323527436000552, 'beta': 3.4748133884506625, 'dt': 1.480504965698449, 'factor': 0.6549946043353777, 'self_conf': 2.982286108793042, 'swarm_conf': 2.5362264764868536, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 12 with value: 31.718343181903357.
[I 2025-01-10 15:31:08,080] Trial 13 finished with value: 32.083020068883044 and parameters: {'scale': 0.03645440291559823, 'gravity': 0.001066492526519849, 'alpha': 0.08014425206132025, 'beta': 3.3918579897960908, 'dt': 1.3708575774314766, 'factor': 0.6549529338336435, 'self_conf': 2.957465624416674, 'swarm_conf': 2.919722297452777, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 12 with value: 31.718343181903357.
[I 2025-01-10 15:31:09,202] Trial 14 finished with value: 39.52939393685253 and parameters: {'scale': 0.042619803309680876, 'gravity': 0.0010844093374968028, 'alpha': 0.07206446316515595, 'beta': 2.5246881756445028, 'dt': 1.3129389268932865, 'factor': 0.7838745679599769, 'self_conf': 2.7477107123229327, 'swarm_conf': 2.9389680809964123, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 12 with value: 31.718343181903357.
