Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.17149074202836695, 'distribution': 'uniform', 'gravity': 0.10130338142980982, 'beta': 2.6330362163173193, 'factor': 0.7275019705703156, 'self_conf': 2.53056648995854, 'swarm_conf': 2.314786512539641, 'version': 'constriction', 'angle': 21.999715068009408, 'sigma': 0.050039428292913204}
Mejor rendimiento encontrado:
48.28019026821701

Stderr:
[I 2025-01-10 15:36:47,704] A new study created in memory with name: no-name-3f9556a3-c986-4c89-8701-a8585569fe7f
[I 2025-01-10 15:36:51,645] Trial 0 finished with value: 88.69915951689008 and parameters: {'scale': 0.03994721815574244, 'distribution': 'uniform', 'gravity': 0.37606208402500324, 'beta': 2.961033982444967, 'factor': 0.6465202149008216, 'self_conf': 2.3305053890847343, 'swarm_conf': 2.429904047256012, 'version': 'inertial', 'angle': 20.88690739976184, 'sigma': 0.12795028001963138}. Best is trial 0 with value: 88.69915951689008.
[I 2025-01-10 15:36:53,361] Trial 1 finished with value: 81.11550816214108 and parameters: {'scale': 0.08443012341290514, 'distribution': 'levy', 'gravity': 0.3918243701974651, 'beta': 2.353998481591384, 'factor': 0.668739608424355, 'self_conf': 2.629052035412837, 'swarm_conf': 2.4912517901840316, 'version': 'constriction', 'angle': 24.97752071590682, 'sigma': 0.07754381473025893}. Best is trial 1 with value: 81.11550816214108.
[I 2025-01-10 15:36:55,027] Trial 2 finished with value: 56.3939818642415 and parameters: {'scale': 0.1595464944038056, 'distribution': 'uniform', 'gravity': 0.1690429817673693, 'beta': 2.9047513471861315, 'factor': 0.7709257107008154, 'self_conf': 2.770424892115977, 'swarm_conf': 2.3797803618050013, 'version': 'constriction', 'angle': 24.980887810718613, 'sigma': 0.07316582693137372}. Best is trial 2 with value: 56.3939818642415.
[I 2025-01-10 15:36:56,719] Trial 3 finished with value: 63.264806920771456 and parameters: {'scale': 0.1915062095972095, 'distribution': 'levy', 'gravity': 0.2848907766549409, 'beta': 1.9022658956169562, 'factor': 0.6359993424010536, 'self_conf': 2.450904520306793, 'swarm_conf': 2.742941733643727, 'version': 'constriction', 'angle': 23.547016387022097, 'sigma': 0.1264282011008051}. Best is trial 2 with value: 56.3939818642415.
[I 2025-01-10 15:36:58,449] Trial 4 finished with value: 72.46812609141277 and parameters: {'scale': 0.13560001027567053, 'distribution': 'levy', 'gravity': 0.36064783004722656, 'beta': 1.7097097930692018, 'factor': 0.7706149164299518, 'self_conf': 2.7518756089984464, 'swarm_conf': 2.4323960712796087, 'version': 'inertial', 'angle': 20.366892864119183, 'sigma': 0.11939153714645276}. Best is trial 2 with value: 56.3939818642415.
[I 2025-01-10 15:37:00,115] Trial 5 finished with value: 70.0645432487218 and parameters: {'scale': 0.030927617736242054, 'distribution': 'levy', 'gravity': 0.39897503863758876, 'beta': 1.8462740539636897, 'factor': 0.7674051202813496, 'self_conf': 2.2971233899238914, 'swarm_conf': 2.615181014128146, 'version': 'constriction', 'angle': 20.404321130820016, 'sigma': 0.08648105160052619}. Best is trial 2 with value: 56.3939818642415.
[I 2025-01-10 15:37:01,741] Trial 6 finished with value: 83.79822420938757 and parameters: {'scale': 0.10641170003101941, 'distribution': 'gaussian', 'gravity': 0.1808597554988637, 'beta': 1.618795534976113, 'factor': 0.6469399808019126, 'self_conf': 2.4054436832606907, 'swarm_conf': 2.4506205998180026, 'version': 'inertial', 'angle': 24.972719736348672, 'sigma': 0.1218882991986244}. Best is trial 2 with value: 56.3939818642415.
[I 2025-01-10 15:37:03,388] Trial 7 finished with value: 141.02691843144441 and parameters: {'scale': 0.15559656675187492, 'distribution': 'gaussian', 'gravity': 0.21475219330577733, 'beta': 2.7981259769375972, 'factor': 0.7815037093757151, 'self_conf': 2.634881931681792, 'swarm_conf': 2.423585041989155, 'version': 'inertial', 'angle': 24.68448568094235, 'sigma': 0.06379029860283685}. Best is trial 2 with value: 56.3939818642415.
[I 2025-01-10 15:37:05,021] Trial 8 finished with value: 75.85290227655257 and parameters: {'scale': 0.08982262893156472, 'distribution': 'gaussian', 'gravity': 0.2292980394759715, 'beta': 2.3037244449811847, 'factor': 0.6614982946334823, 'self_conf': 2.299714372744799, 'swarm_conf': 2.7052756383634513, 'version': 'constriction', 'angle': 24.770353748339133, 'sigma': 0.08901920086335954}. Best is trial 2 with value: 56.3939818642415.
[I 2025-01-10 15:37:06,650] Trial 9 finished with value: 80.66857753030641 and parameters: {'scale': 0.14404281919482112, 'distribution': 'gaussian', 'gravity': 0.25810825449827585, 'beta': 2.880604614546035, 'factor': 0.78440211814039, 'self_conf': 2.7725354106278965, 'swarm_conf': 2.2780364604914003, 'version': 'constriction', 'angle': 22.98032380483887, 'sigma': 0.11829090509362683}. Best is trial 2 with value: 56.3939818642415.
[I 2025-01-10 15:37:08,271] Trial 10 finished with value: 59.50949361609018 and parameters: {'scale': 0.18864688466739488, 'distribution': 'uniform', 'gravity': 0.12103788188533979, 'beta': 2.5856838665503576, 'factor': 0.7258256481494988, 'self_conf': 2.5802082729170404, 'swarm_conf': 2.2419193403456084, 'version': 'constriction', 'angle': 21.82677725114989, 'sigma': 0.05223869406368366}. Best is trial 2 with value: 56.3939818642415.
[I 2025-01-10 15:37:09,890] Trial 11 finished with value: 57.015497162618914 and parameters: {'scale': 0.19379869698585986, 'distribution': 'uniform', 'gravity': 0.10996762609801868, 'beta': 2.5794667105540303, 'factor': 0.721503688555548, 'self_conf': 2.5677148056230106, 'swarm_conf': 2.213547797441709, 'version': 'constriction', 'angle': 21.96752871111218, 'sigma': 0.0500580882612119}. Best is trial 2 with value: 56.3939818642415.
[I 2025-01-10 15:37:11,504] Trial 12 finished with value: 48.28019026821701 and parameters: {'scale': 0.17149074202836695, 'distribution': 'uniform', 'gravity': 0.10130338142980982, 'beta': 2.6330362163173193, 'factor': 0.7275019705703156, 'self_conf': 2.53056648995854, 'swarm_conf': 2.314786512539641, 'version': 'constriction', 'angle': 21.999715068009408, 'sigma': 0.050039428292913204}. Best is trial 12 with value: 48.28019026821701.
[I 2025-01-10 15:37:13,146] Trial 13 finished with value: 53.863378204742205 and parameters: {'scale': 0.16389508157259813, 'distribution': 'uniform', 'gravity': 0.16028894111425332, 'beta': 2.6059774275737357, 'factor': 0.7352696670045374, 'self_conf': 2.734256400487828, 'swarm_conf': 2.334067978421041, 'version': 'constriction', 'angle': 23.612693921688887, 'sigma': 0.1489396624934339}. Best is trial 12 with value: 48.28019026821701.
[I 2025-01-10 15:37:14,798] Trial 14 finished with value: 50.792754032969604 and parameters: {'scale': 0.12026112850666068, 'distribution': 'uniform', 'gravity': 0.14843457402320964, 'beta': 2.4772040849906425, 'factor': 0.6044175431170455, 'self_conf': 2.7041183310117796, 'swarm_conf': 2.33236495921911, 'version': 'constriction', 'angle': 23.74421812713415, 'sigma': 0.14368760246670578}. Best is trial 12 with value: 48.28019026821701.
