Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.07227683036632991, 'distribution': 'uniform', 'gravity': 0.007235458348182218, 'alpha': 0.07132130015699502, 'beta': 4.300256807355229, 'dt': 1.0010712373535615, 'factor': 0.7300173446047333, 'self_conf': 2.9914127374079515, 'swarm_conf': 2.8071137931678485, 'version': 'constriction', 'radius': 0.8017988926444446, 'angle': 21.328865487110964, 'sigma': 0.05579892819016799}
Mejor rendimiento encontrado:
53.700044823822665

Stderr:
[I 2025-01-10 16:26:53,103] A new study created in memory with name: no-name-632f6130-d83c-4e4d-ac3b-ab0537ce4913
[I 2025-01-10 16:26:56,382] Trial 0 finished with value: 61.95381484692959 and parameters: {'scale': 0.09528576769587528, 'distribution': 'uniform', 'gravity': 0.008147844679226583, 'alpha': 0.05326293459143707, 'beta': 3.744484538413977, 'dt': 1.5141001258477367, 'factor': 0.7419151415897765, 'self_conf': 2.9103039125916608, 'swarm_conf': 2.8563653350028284, 'version': 'constriction', 'radius': 0.8207170733436833, 'angle': 21.330035941357384, 'sigma': 0.085772211798185}. Best is trial 0 with value: 61.95381484692959.
[I 2025-01-10 16:26:57,993] Trial 1 finished with value: 149.28082999145755 and parameters: {'scale': 0.026055998604356992, 'distribution': 'levy', 'gravity': 0.009661376774452984, 'alpha': 0.03581593276536784, 'beta': 3.202622888354058, 'dt': 1.5879526507062849, 'factor': 0.7650731304908042, 'self_conf': 2.8437707222005524, 'swarm_conf': 2.675694793091878, 'version': 'constriction', 'radius': 0.8310173024029767, 'angle': 24.06951063173598, 'sigma': 0.06999033840745289}. Best is trial 0 with value: 61.95381484692959.
[I 2025-01-10 16:26:59,619] Trial 2 finished with value: 129.02233779252958 and parameters: {'scale': 0.031145716649186094, 'distribution': 'gaussian', 'gravity': 0.0029491534970652973, 'alpha': 0.029348274742338976, 'beta': 2.1077013981957586, 'dt': 1.6453143500779932, 'factor': 0.788008512776118, 'self_conf': 2.7384266842659035, 'swarm_conf': 2.852730950797398, 'version': 'constriction', 'radius': 0.8387107520020494, 'angle': 20.124709141127433, 'sigma': 0.07614493142699144}. Best is trial 0 with value: 61.95381484692959.
[I 2025-01-10 16:27:01,235] Trial 3 finished with value: 110.27205893478748 and parameters: {'scale': 0.01670490511651937, 'distribution': 'gaussian', 'gravity': 0.004783221014068779, 'alpha': 0.0855056387336378, 'beta': 2.799450543745598, 'dt': 0.4625397240972506, 'factor': 0.7126885835535801, 'self_conf': 2.6556026750338138, 'swarm_conf': 2.9377463441802916, 'version': 'constriction', 'radius': 0.8440768194034071, 'angle': 23.267425469023305, 'sigma': 0.08043092480634767}. Best is trial 0 with value: 61.95381484692959.
[I 2025-01-10 16:27:02,908] Trial 4 finished with value: 165.77288903668924 and parameters: {'scale': 0.03564256832831706, 'distribution': 'levy', 'gravity': 0.0030124171931818905, 'alpha': 0.09869255798147616, 'beta': 1.6065789688150258, 'dt': 1.7027256305329581, 'factor': 0.752322371915956, 'self_conf': 2.885144041902207, 'swarm_conf': 2.95450511706921, 'version': 'inertial', 'radius': 0.8131242875480045, 'angle': 21.540043672716553, 'sigma': 0.06399130864870263}. Best is trial 0 with value: 61.95381484692959.
[I 2025-01-10 16:27:04,557] Trial 5 finished with value: 168.39048461059397 and parameters: {'scale': 0.04628472356990041, 'distribution': 'levy', 'gravity': 0.009301300951656185, 'alpha': 0.0602591550096046, 'beta': 3.5224642974872906, 'dt': 1.4922387582689776, 'factor': 0.7496831152644333, 'self_conf': 2.797156580539438, 'swarm_conf': 2.6447928713017688, 'version': 'inertial', 'radius': 0.8249375549385743, 'angle': 20.143956478564427, 'sigma': 0.08882412270500822}. Best is trial 0 with value: 61.95381484692959.
[I 2025-01-10 16:27:06,214] Trial 6 finished with value: 140.28681662999628 and parameters: {'scale': 0.0548639489975518, 'distribution': 'levy', 'gravity': 0.009387801358315644, 'alpha': 0.033175860403187776, 'beta': 2.189541994792682, 'dt': 1.9655211556665382, 'factor': 0.7740798039320074, 'self_conf': 2.613364830676912, 'swarm_conf': 2.709658656048611, 'version': 'constriction', 'radius': 0.8172366001176378, 'angle': 22.13673523344943, 'sigma': 0.08693007428252389}. Best is trial 0 with value: 61.95381484692959.
[I 2025-01-10 16:27:07,859] Trial 7 finished with value: 166.00297707137412 and parameters: {'scale': 0.09691196522430214, 'distribution': 'uniform', 'gravity': 0.0016639321105116345, 'alpha': 0.014566144684391406, 'beta': 3.722579005121078, 'dt': 0.12883306103404246, 'factor': 0.7191354654481743, 'self_conf': 2.7038463183511983, 'swarm_conf': 2.862407140660521, 'version': 'inertial', 'radius': 0.8805908714052763, 'angle': 22.260163757987726, 'sigma': 0.09784858876409838}. Best is trial 0 with value: 61.95381484692959.
[I 2025-01-10 16:27:09,524] Trial 8 finished with value: 171.18975705967526 and parameters: {'scale': 0.08243580495815084, 'distribution': 'levy', 'gravity': 0.005200577200957695, 'alpha': 0.05515718995702362, 'beta': 4.423139383824407, 'dt': 0.4198509099017727, 'factor': 0.7499993243775204, 'self_conf': 2.8794403122124836, 'swarm_conf': 2.748898652552312, 'version': 'inertial', 'radius': 0.8908451548955294, 'angle': 23.50951852830638, 'sigma': 0.06454767751914545}. Best is trial 0 with value: 61.95381484692959.
[I 2025-01-10 16:27:11,194] Trial 9 finished with value: 172.22250385857595 and parameters: {'scale': 0.08880024224911891, 'distribution': 'levy', 'gravity': 0.004047749622954408, 'alpha': 0.042761102299490705, 'beta': 2.7328486273987758, 'dt': 1.194795870628442, 'factor': 0.7601757385451279, 'self_conf': 2.7230063944462986, 'swarm_conf': 2.914891742089595, 'version': 'inertial', 'radius': 0.8711627107056744, 'angle': 20.038277398739375, 'sigma': 0.09965914196438444}. Best is trial 0 with value: 61.95381484692959.
[I 2025-01-10 16:27:12,842] Trial 10 finished with value: 62.107722043535915 and parameters: {'scale': 0.07271563666263374, 'distribution': 'uniform', 'gravity': 0.0072852560793193015, 'alpha': 0.07189173162969001, 'beta': 4.497933603817619, 'dt': 1.031609972172527, 'factor': 0.7312765152797239, 'self_conf': 2.9754376874075903, 'swarm_conf': 2.808259061321611, 'version': 'constriction', 'radius': 0.803156567996457, 'angle': 21.31356279722874, 'sigma': 0.050486413310010025}. Best is trial 0 with value: 61.95381484692959.
[I 2025-01-10 16:27:14,467] Trial 11 finished with value: 53.700044823822665 and parameters: {'scale': 0.07227683036632991, 'distribution': 'uniform', 'gravity': 0.007235458348182218, 'alpha': 0.07132130015699502, 'beta': 4.300256807355229, 'dt': 1.0010712373535615, 'factor': 0.7300173446047333, 'self_conf': 2.9914127374079515, 'swarm_conf': 2.8071137931678485, 'version': 'constriction', 'radius': 0.8017988926444446, 'angle': 21.328865487110964, 'sigma': 0.05579892819016799}. Best is trial 11 with value: 53.700044823822665.
[I 2025-01-10 16:27:16,105] Trial 12 finished with value: 72.33020123279337 and parameters: {'scale': 0.06641461968589553, 'distribution': 'uniform', 'gravity': 0.007037427210251095, 'alpha': 0.0730331500725009, 'beta': 3.9570236602466515, 'dt': 0.9463918049585889, 'factor': 0.7300971677770394, 'self_conf': 2.9924866021849565, 'swarm_conf': 2.5724988796653983, 'version': 'constriction', 'radius': 0.8003810350712016, 'angle': 21.158677270590008, 'sigma': 0.05356646178749495}. Best is trial 11 with value: 53.700044823822665.
[I 2025-01-10 16:27:17,757] Trial 13 finished with value: 67.15653048509172 and parameters: {'scale': 0.0734740570007379, 'distribution': 'uniform', 'gravity': 0.007429816595056618, 'alpha': 0.06789659320373785, 'beta': 4.067455591646894, 'dt': 1.2657892524542278, 'factor': 0.7339660929122483, 'self_conf': 2.9261931187452133, 'swarm_conf': 2.999158103790047, 'version': 'constriction', 'radius': 0.8618270880198449, 'angle': 20.912927646600025, 'sigma': 0.05775409737451889}. Best is trial 11 with value: 53.700044823822665.
[I 2025-01-10 16:27:19,401] Trial 14 finished with value: 70.21625525286356 and parameters: {'scale': 0.09807047280621975, 'distribution': 'uniform', 'gravity': 0.00806349682397339, 'alpha': 0.04942183439736682, 'beta': 3.3578745360273397, 'dt': 0.8370496168506726, 'factor': 0.7001537765671098, 'self_conf': 2.938970866332276, 'swarm_conf': 2.7964251892448817, 'version': 'constriction', 'radius': 0.8121690296593124, 'angle': 22.958391196131245, 'sigma': 0.08414513915361307}. Best is trial 11 with value: 53.700044823822665.
