Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.06858479916409348, 'distribution': 'gaussian', 'factor': 0.7984545097913769, 'self_conf': 2.69905573237369, 'swarm_conf': 2.018361617721047, 'version': 'constriction', 'radius': 0.704609524196219, 'angle': 24.953411675998133, 'sigma': 0.09772408454620213}
Mejor rendimiento encontrado:
121.9198766307464

Stderr:
[I 2025-01-10 16:36:45,334] A new study created in memory with name: no-name-4bc684a6-f41e-4b1d-9829-06cc949851e5
[I 2025-01-10 16:36:48,088] Trial 0 finished with value: 141.60830398360304 and parameters: {'scale': 0.06879380338811515, 'distribution': 'uniform', 'factor': 0.5394530675939473, 'self_conf': 2.9154339020969937, 'swarm_conf': 2.37100163970083, 'version': 'inertial', 'radius': 0.8223555661932984, 'angle': 20.973223075347533, 'sigma': 0.06040330529412114}. Best is trial 0 with value: 141.60830398360304.
[I 2025-01-10 16:36:49,107] Trial 1 finished with value: 137.5063148592642 and parameters: {'scale': 0.05236182865726318, 'distribution': 'gaussian', 'factor': 0.9870440519417697, 'self_conf': 2.9921249731692603, 'swarm_conf': 2.0921803068039733, 'version': 'constriction', 'radius': 0.7613781002692326, 'angle': 24.27837666025666, 'sigma': 0.07510098947952923}. Best is trial 1 with value: 137.5063148592642.
[I 2025-01-10 16:36:50,127] Trial 2 finished with value: 148.4386690403221 and parameters: {'scale': 0.0846390974218774, 'distribution': 'levy', 'factor': 0.6168385070213671, 'self_conf': 2.035268694937262, 'swarm_conf': 2.537515523424918, 'version': 'constriction', 'radius': 0.8059598120799891, 'angle': 21.579027679305806, 'sigma': 0.020109613459513547}. Best is trial 1 with value: 137.5063148592642.
[I 2025-01-10 16:36:51,145] Trial 3 finished with value: 175.43721749453454 and parameters: {'scale': 0.01898236063599119, 'distribution': 'gaussian', 'factor': 0.9345565986638018, 'self_conf': 2.2958047479090453, 'swarm_conf': 2.8415445297178645, 'version': 'inertial', 'radius': 0.8309622943713378, 'angle': 22.241823747766144, 'sigma': 0.07532389624929181}. Best is trial 1 with value: 137.5063148592642.
[I 2025-01-10 16:36:52,158] Trial 4 finished with value: 171.5357529990192 and parameters: {'scale': 0.01894203424754484, 'distribution': 'gaussian', 'factor': 0.9018102011899309, 'self_conf': 2.9081802021416037, 'swarm_conf': 2.9608567110512345, 'version': 'inertial', 'radius': 0.7574741202719942, 'angle': 23.894208641981077, 'sigma': 0.0664480021803929}. Best is trial 1 with value: 137.5063148592642.
[I 2025-01-10 16:36:53,175] Trial 5 finished with value: 149.02097820748844 and parameters: {'scale': 0.0880669960565977, 'distribution': 'uniform', 'factor': 0.716699455111604, 'self_conf': 2.4240870939822345, 'swarm_conf': 2.635197626925857, 'version': 'inertial', 'radius': 0.8082113117350567, 'angle': 20.37184596234073, 'sigma': 0.05388995750115877}. Best is trial 1 with value: 137.5063148592642.
[I 2025-01-10 16:36:54,252] Trial 6 finished with value: 164.35373269833204 and parameters: {'scale': 0.04172755471261748, 'distribution': 'levy', 'factor': 0.9027501356227241, 'self_conf': 2.965157121100776, 'swarm_conf': 2.3708384592080045, 'version': 'inertial', 'radius': 0.7697947672237206, 'angle': 22.47360982248571, 'sigma': 0.041249611876184145}. Best is trial 1 with value: 137.5063148592642.
[I 2025-01-10 16:36:55,318] Trial 7 finished with value: 148.439402521041 and parameters: {'scale': 0.04218726347691978, 'distribution': 'levy', 'factor': 0.75414715260961, 'self_conf': 2.487085232492295, 'swarm_conf': 2.3846916905716973, 'version': 'constriction', 'radius': 0.8354941356768885, 'angle': 23.845796895244373, 'sigma': 0.03238642489607318}. Best is trial 1 with value: 137.5063148592642.
[I 2025-01-10 16:36:56,353] Trial 8 finished with value: 134.56782700971334 and parameters: {'scale': 0.04264431621281598, 'distribution': 'gaussian', 'factor': 0.6584809151221649, 'self_conf': 2.0958348311242685, 'swarm_conf': 2.5724573626830174, 'version': 'constriction', 'radius': 0.7661976135780624, 'angle': 24.51347974993588, 'sigma': 0.07517552445986703}. Best is trial 8 with value: 134.56782700971334.
[I 2025-01-10 16:36:57,407] Trial 9 finished with value: 154.1273837596563 and parameters: {'scale': 0.029874046872425467, 'distribution': 'gaussian', 'factor': 0.9361627631560862, 'self_conf': 2.0630205650768874, 'swarm_conf': 2.8143384479914784, 'version': 'constriction', 'radius': 0.898556697876171, 'angle': 20.657212032604193, 'sigma': 0.07574258979775154}. Best is trial 8 with value: 134.56782700971334.
[I 2025-01-10 16:36:58,431] Trial 10 finished with value: 131.24227677202438 and parameters: {'scale': 0.06817326168017837, 'distribution': 'gaussian', 'factor': 0.7492888402169386, 'self_conf': 2.6932398535518867, 'swarm_conf': 2.1156993532935733, 'version': 'constriction', 'radius': 0.7082982069012077, 'angle': 24.988734515822514, 'sigma': 0.09248640677968142}. Best is trial 10 with value: 131.24227677202438.
