Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.8032593857324106, 'angle': 21.637417353071353, 'sigma': 0.2969171670056508, 'factor': 0.8648183374096744, 'self_conf': 2.9906991704539814, 'swarm_conf': 2.3700764638303347, 'version': 'constriction', 'distribution': 'uniform', 'num_of_agents': 100}
Mejor rendimiento encontrado:
39.05219095409984

Stderr:
[I 2025-01-10 16:50:13,371] A new study created in memory with name: no-name-7292c7b3-e1bc-4d05-86a7-528bc670cea9
[I 2025-01-10 16:50:16,135] Trial 0 finished with value: 150.0682925525253 and parameters: {'radius': 0.7733639783224602, 'angle': 20.18367865682273, 'sigma': 0.15389148262674843, 'factor': 0.6545271296409746, 'self_conf': 2.471886989394719, 'swarm_conf': 2.8706550154952755, 'version': 'inertial', 'distribution': 'levy', 'num_of_agents': 34}. Best is trial 0 with value: 150.0682925525253.
[I 2025-01-10 16:50:17,818] Trial 1 finished with value: 142.36765465622983 and parameters: {'radius': 0.8148457294158449, 'angle': 23.992901670221205, 'sigma': 0.045605103544608824, 'factor': 0.7446293996017342, 'self_conf': 2.489686515465966, 'swarm_conf': 2.2062024896261505, 'version': 'inertial', 'distribution': 'gaussian', 'num_of_agents': 70}. Best is trial 1 with value: 142.36765465622983.
[I 2025-01-10 16:50:18,771] Trial 2 finished with value: 130.67279794085255 and parameters: {'radius': 0.6114801878301793, 'angle': 22.342516853708723, 'sigma': 0.1521317279569499, 'factor': 0.4338219933544658, 'self_conf': 2.225972522228623, 'swarm_conf': 2.1777436784177038, 'version': 'inertial', 'distribution': 'uniform', 'num_of_agents': 27}. Best is trial 2 with value: 130.67279794085255.
[I 2025-01-10 16:50:19,862] Trial 3 finished with value: 57.470760433260025 and parameters: {'radius': 0.866157570250664, 'angle': 23.861700377622984, 'sigma': 0.28107469366439014, 'factor': 0.5948784162091598, 'self_conf': 2.816561976111559, 'swarm_conf': 2.38172352920087, 'version': 'constriction', 'distribution': 'uniform', 'num_of_agents': 32}. Best is trial 3 with value: 57.470760433260025.
[I 2025-01-10 16:50:22,034] Trial 4 finished with value: 71.99084740740324 and parameters: {'radius': 0.8801409523370157, 'angle': 20.56235439121204, 'sigma': 0.10703720701006045, 'factor': 0.4048426027167153, 'self_conf': 2.9307764236973153, 'swarm_conf': 2.595202728300957, 'version': 'constriction', 'distribution': 'uniform', 'num_of_agents': 92}. Best is trial 3 with value: 57.470760433260025.
[I 2025-01-10 16:50:23,310] Trial 5 finished with value: 131.11389668021536 and parameters: {'radius': 0.5523344545892247, 'angle': 23.362216808120408, 'sigma': 0.17864406132241295, 'factor': 0.6559403020686702, 'self_conf': 2.6910240576007167, 'swarm_conf': 2.6722255566329878, 'version': 'inertial', 'distribution': 'uniform', 'num_of_agents': 43}. Best is trial 3 with value: 57.470760433260025.
[I 2025-01-10 16:50:25,088] Trial 6 finished with value: 116.37889786604838 and parameters: {'radius': 0.8517719785878192, 'angle': 22.53754909439189, 'sigma': 0.09463618324361109, 'factor': 0.43584872334139807, 'self_conf': 2.9001870464907147, 'swarm_conf': 2.7534449863558663, 'version': 'constriction', 'distribution': 'gaussian', 'num_of_agents': 69}. Best is trial 3 with value: 57.470760433260025.
[I 2025-01-10 16:50:26,485] Trial 7 finished with value: 154.68173210912232 and parameters: {'radius': 0.7319459193923425, 'angle': 20.46018315233845, 'sigma': 0.15943745306985224, 'factor': 0.8043797116339544, 'self_conf': 2.8320866045679596, 'swarm_conf': 2.8885599183070676, 'version': 'inertial', 'distribution': 'levy', 'num_of_agents': 47}. Best is trial 3 with value: 57.470760433260025.
[I 2025-01-10 16:50:27,393] Trial 8 finished with value: 106.60947461193719 and parameters: {'radius': 0.5463732346600898, 'angle': 20.519770567775595, 'sigma': 0.09571825310903363, 'factor': 0.40767433025462163, 'self_conf': 2.2155351495267688, 'swarm_conf': 2.484943535891179, 'version': 'constriction', 'distribution': 'gaussian', 'num_of_agents': 23}. Best is trial 3 with value: 57.470760433260025.
[I 2025-01-10 16:50:28,574] Trial 9 finished with value: 153.2913766098171 and parameters: {'radius': 0.8984098918552631, 'angle': 20.53081175049585, 'sigma': 0.08920476475565947, 'factor': 0.49833087276773746, 'self_conf': 2.28515695602486, 'swarm_conf': 2.01980930316769, 'version': 'inertial', 'distribution': 'levy', 'num_of_agents': 37}. Best is trial 3 with value: 57.470760433260025.
[I 2025-01-10 16:50:29,283] Trial 10 finished with value: 119.83902749364321 and parameters: {'radius': 0.6840859351391555, 'angle': 24.86410989738357, 'sigma': 0.2946086975802618, 'factor': 0.5644739286727234, 'self_conf': 2.675977002527301, 'swarm_conf': 2.392992518728723, 'version': 'constriction', 'distribution': 'uniform', 'num_of_agents': 10}. Best is trial 3 with value: 57.470760433260025.
