Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.0505630042076315, 'distribution': 'uniform', 'gravity': 0.0026104583982490626, 'alpha': 0.0321661574451113, 'beta': 2.1269427602970716, 'dt': 1.023851115432475, 'factor': 0.6505238783531381, 'self_conf': 1.0043255054261404, 'swarm_conf': 1.4179294320521998, 'version': 'constriction', 'radius': 0.8373711251266779, 'angle': 21.17474953581598, 'sigma': 0.19988327009330467, 'num_of_agents': 50}
Mejor rendimiento encontrado:
113.88483691605886

Stderr:
[I 2025-01-10 16:57:25,763] A new study created in memory with name: no-name-2e1f478c-7440-4d8e-b81f-d97d82a317d4
[I 2025-01-10 16:57:28,513] Trial 0 finished with value: 160.9329753251595 and parameters: {'scale': 0.021517388375895955, 'distribution': 'uniform', 'gravity': 0.0038578976260273076, 'alpha': 0.019670172980473917, 'beta': 2.911576521426892, 'dt': 1.5628375659476714, 'factor': 0.6866892455098179, 'self_conf': 3.0345489945163213, 'swarm_conf': 3.3948654420456577, 'version': 'inertial', 'radius': 0.8435063864947834, 'angle': 22.61983026321293, 'sigma': 0.13051353329127022, 'num_of_agents': 20}. Best is trial 0 with value: 160.9329753251595.
[I 2025-01-10 16:57:29,482] Trial 1 finished with value: 166.1212059826899 and parameters: {'scale': 0.07199544989465505, 'distribution': 'uniform', 'gravity': 0.005041184123828287, 'alpha': 0.05300157294519315, 'beta': 3.3945037751346985, 'dt': 1.3880508473815791, 'factor': 0.7277858411098277, 'self_conf': 2.3277674324819047, 'swarm_conf': 2.547470551300284, 'version': 'inertial', 'radius': 0.8767151195263094, 'angle': 23.135081268549285, 'sigma': 0.15847967120327536, 'num_of_agents': 11}. Best is trial 0 with value: 160.9329753251595.
[I 2025-01-10 16:57:31,084] Trial 2 finished with value: 141.16200775207884 and parameters: {'scale': 0.0814878129119843, 'distribution': 'gaussian', 'gravity': 0.005096010662064263, 'alpha': 0.013487760350878472, 'beta': 3.1573866705399425, 'dt': 1.2642787270852016, 'factor': 0.6935233123157626, 'self_conf': 2.638532325277777, 'swarm_conf': 1.8599783372631788, 'version': 'constriction', 'radius': 0.8574750255683685, 'angle': 20.202957960281672, 'sigma': 0.16132472550204838, 'num_of_agents': 28}. Best is trial 2 with value: 141.16200775207884.
[I 2025-01-10 16:57:32,498] Trial 3 finished with value: 168.02899322610904 and parameters: {'scale': 0.022066554548782775, 'distribution': 'gaussian', 'gravity': 0.004284444007029144, 'alpha': 0.01894099756495092, 'beta': 4.106314873641339, 'dt': 1.7558855288819226, 'factor': 0.7393828344245643, 'self_conf': 1.4119602135608051, 'swarm_conf': 2.717680318791991, 'version': 'inertial', 'radius': 0.8882281455293549, 'angle': 22.30627204878012, 'sigma': 0.09358186990113948, 'num_of_agents': 22}. Best is trial 2 with value: 141.16200775207884.
[I 2025-01-10 16:57:34,367] Trial 4 finished with value: 174.0456901824112 and parameters: {'scale': 0.02379242687272239, 'distribution': 'gaussian', 'gravity': 0.008246823023245177, 'alpha': 0.048289093599461104, 'beta': 2.7948197200894422, 'dt': 0.8540811728552821, 'factor': 0.7562492688829865, 'self_conf': 2.6735155409912035, 'swarm_conf': 1.1581720665636477, 'version': 'constriction', 'radius': 0.8977600946069358, 'angle': 22.81090670882314, 'sigma': 0.051306291585119464, 'num_of_agents': 35}. Best is trial 2 with value: 141.16200775207884.
[I 2025-01-10 16:57:36,061] Trial 5 finished with value: 158.6087253927645 and parameters: {'scale': 0.07309253097199667, 'distribution': 'levy', 'gravity': 0.005690412901825646, 'alpha': 0.08593991505980045, 'beta': 2.5571632136338787, 'dt': 0.6315344515562786, 'factor': 0.760580474849467, 'self_conf': 3.2534982047582384, 'swarm_conf': 3.0810894183510813, 'version': 'inertial', 'radius': 0.826252722428925, 'angle': 22.333619932009185, 'sigma': 0.14982464406177368, 'num_of_agents': 30}. Best is trial 2 with value: 141.16200775207884.
[I 2025-01-10 16:57:37,769] Trial 6 finished with value: 167.5450301598647 and parameters: {'scale': 0.06911905005147433, 'distribution': 'gaussian', 'gravity': 0.0073140241906527815, 'alpha': 0.05639027397131121, 'beta': 3.8148107663681476, 'dt': 0.7690655664674748, 'factor': 0.6803698730497486, 'self_conf': 1.5268013659932802, 'swarm_conf': 1.0699604425407538, 'version': 'inertial', 'radius': 0.8476836513321279, 'angle': 21.89827011596682, 'sigma': 0.17830525944431536, 'num_of_agents': 32}. Best is trial 2 with value: 141.16200775207884.
[I 2025-01-10 16:57:38,850] Trial 7 finished with value: 154.51672334005903 and parameters: {'scale': 0.03276567042969568, 'distribution': 'uniform', 'gravity': 0.006963670677376313, 'alpha': 0.08822253660464602, 'beta': 4.28055719183742, 'dt': 0.7574202828135232, 'factor': 0.612244881377318, 'self_conf': 1.529678553348166, 'swarm_conf': 2.404051253319861, 'version': 'inertial', 'radius': 0.8722791037489391, 'angle': 23.17862783875542, 'sigma': 0.15673653335299081, 'num_of_agents': 14}. Best is trial 2 with value: 141.16200775207884.
[I 2025-01-10 16:57:40,060] Trial 8 finished with value: 186.6831017184569 and parameters: {'scale': 0.012566245607845515, 'distribution': 'gaussian', 'gravity': 0.0035779242313141424, 'alpha': 0.03460578612223792, 'beta': 2.7361751144629296, 'dt': 1.0730502074637616, 'factor': 0.7168526391991185, 'self_conf': 3.2944151820162983, 'swarm_conf': 2.251844659946793, 'version': 'inertial', 'radius': 0.8187455675994477, 'angle': 24.892714171706842, 'sigma': 0.09777014173564477, 'num_of_agents': 18}. Best is trial 2 with value: 141.16200775207884.
[I 2025-01-10 16:57:40,985] Trial 9 finished with value: 147.57248797002768 and parameters: {'scale': 0.025308999880595057, 'distribution': 'uniform', 'gravity': 0.0012874918114958054, 'alpha': 0.04867732422760051, 'beta': 2.566334352078301, 'dt': 1.4709514868474391, 'factor': 0.7456926406721834, 'self_conf': 1.3073971879756305, 'swarm_conf': 2.074840099169066, 'version': 'inertial', 'radius': 0.8187446686306601, 'angle': 22.574608771622295, 'sigma': 0.1868586386587339, 'num_of_agents': 10}. Best is trial 2 with value: 141.16200775207884.
[I 2025-01-10 16:57:43,143] Trial 10 finished with value: 153.7129557081193 and parameters: {'scale': 0.09749824179119937, 'distribution': 'levy', 'gravity': 0.009844848381547037, 'alpha': 0.0722300862817238, 'beta': 1.7240802517147968, 'dt': 1.9968743175456647, 'factor': 0.7989549765392273, 'self_conf': 2.3080226506005834, 'swarm_conf': 1.6941427520384633, 'version': 'constriction', 'radius': 0.800523904868268, 'angle': 20.081471774748227, 'sigma': 0.10698597771605475, 'num_of_agents': 42}. Best is trial 2 with value: 141.16200775207884.
[I 2025-01-10 16:57:45,490] Trial 11 finished with value: 114.46423726878065 and parameters: {'scale': 0.0459311365801884, 'distribution': 'uniform', 'gravity': 0.0017529076761746152, 'alpha': 0.012723687748041236, 'beta': 2.0767750635799915, 'dt': 1.1798390440478306, 'factor': 0.6380318100724914, 'self_conf': 1.0467481763764044, 'swarm_conf': 1.7673670492491476, 'version': 'constriction', 'radius': 0.862016911294415, 'angle': 20.661635717180406, 'sigma': 0.19952961788734175, 'num_of_agents': 49}. Best is trial 11 with value: 114.46423726878065.
[I 2025-01-10 16:57:48,194] Trial 12 finished with value: 151.86742719576083 and parameters: {'scale': 0.04568514186762437, 'distribution': 'gaussian', 'gravity': 0.0012791562030437095, 'alpha': 0.011520283109030317, 'beta': 1.84397733777497, 'dt': 1.1913474470797243, 'factor': 0.6415365457392059, 'self_conf': 1.9535943243404144, 'swarm_conf': 1.6977925227003259, 'version': 'constriction', 'radius': 0.8657390033721215, 'angle': 20.04715466529616, 'sigma': 0.199052133156054, 'num_of_agents': 50}. Best is trial 11 with value: 114.46423726878065.
[I 2025-01-10 16:57:50,720] Trial 13 finished with value: 120.8987460795544 and parameters: {'scale': 0.09985005583761497, 'distribution': 'uniform', 'gravity': 0.0025716298877624046, 'alpha': 0.03109712306419076, 'beta': 3.5718965410704575, 'dt': 1.0394245395921304, 'factor': 0.6513844553580298, 'self_conf': 1.0239022305428758, 'swarm_conf': 1.7451545731144962, 'version': 'constriction', 'radius': 0.8622865943686548, 'angle': 21.01138215124243, 'sigma': 0.17632419736876853, 'num_of_agents': 41}. Best is trial 11 with value: 114.46423726878065.
[I 2025-01-10 16:57:53,779] Trial 14 finished with value: 113.88483691605886 and parameters: {'scale': 0.0505630042076315, 'distribution': 'uniform', 'gravity': 0.0026104583982490626, 'alpha': 0.0321661574451113, 'beta': 2.1269427602970716, 'dt': 1.023851115432475, 'factor': 0.6505238783531381, 'self_conf': 1.0043255054261404, 'swarm_conf': 1.4179294320521998, 'version': 'constriction', 'radius': 0.8373711251266779, 'angle': 21.17474953581598, 'sigma': 0.19988327009330467, 'num_of_agents': 50}. Best is trial 14 with value: 113.88483691605886.
