Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.06552392608519672, 'distribution': 'levy', 'gravity': 0.0023709653571989528, 'beta': 2.725989382503411, 'factor': 0.7387253377840668, 'self_conf': 2.509294019498595, 'swarm_conf': 2.4116373375690507, 'version': 'constriction', 'radius': 0.8999901485220182, 'angle': 21.28977222509448}
Mejor rendimiento encontrado:
50.34283927772583

Stderr:
[I 2025-01-10 17:03:04,742] A new study created in memory with name: no-name-f30546b2-86fc-435d-88d0-884630d239bd
[I 2025-01-10 17:03:09,288] Trial 0 finished with value: 62.286930643478975 and parameters: {'scale': 0.08611796202892293, 'distribution': 'gaussian', 'gravity': 0.0076599137108102665, 'beta': 4.057826661839367, 'factor': 0.7895958696386267, 'self_conf': 2.375042414336056, 'swarm_conf': 2.943148532430729, 'version': 'constriction', 'radius': 0.8509002805716616, 'angle': 20.596269308636945}. Best is trial 0 with value: 62.286930643478975.
[I 2025-01-10 17:03:11,020] Trial 1 finished with value: 158.02842775881373 and parameters: {'scale': 0.0328059391061435, 'distribution': 'gaussian', 'gravity': 0.006441395121283843, 'beta': 4.024560860198892, 'factor': 0.6416774508741474, 'self_conf': 2.370992059170033, 'swarm_conf': 2.4830357825930016, 'version': 'inertial', 'radius': 0.8012441376518668, 'angle': 24.792325776621205}. Best is trial 0 with value: 62.286930643478975.
[I 2025-01-10 17:03:12,736] Trial 2 finished with value: 60.21141851786787 and parameters: {'scale': 0.054063560164450575, 'distribution': 'uniform', 'gravity': 0.003846475673123474, 'beta': 1.5095167118753179, 'factor': 0.6067291370646218, 'self_conf': 2.515634240535439, 'swarm_conf': 2.3038189416387893, 'version': 'constriction', 'radius': 0.8540658214988518, 'angle': 22.91735670807143}. Best is trial 2 with value: 60.21141851786787.
[I 2025-01-10 17:03:14,468] Trial 3 finished with value: 152.0281958157286 and parameters: {'scale': 0.04941259160984724, 'distribution': 'levy', 'gravity': 0.006352948786023938, 'beta': 4.181227625730691, 'factor': 0.7070619179712357, 'self_conf': 2.8319551418915707, 'swarm_conf': 2.51651919365215, 'version': 'inertial', 'radius': 0.8261207900695762, 'angle': 21.805770904833416}. Best is trial 2 with value: 60.21141851786787.
[I 2025-01-10 17:03:16,183] Trial 4 finished with value: 52.006456044551896 and parameters: {'scale': 0.035957109784891354, 'distribution': 'levy', 'gravity': 0.0034437513016912355, 'beta': 1.552081648324443, 'factor': 0.6568177803968362, 'self_conf': 2.5581298402758352, 'swarm_conf': 2.4745998328812537, 'version': 'constriction', 'radius': 0.8731488497187293, 'angle': 22.66645101328232}. Best is trial 4 with value: 52.006456044551896.
[I 2025-01-10 17:03:17,896] Trial 5 finished with value: 56.37811981819439 and parameters: {'scale': 0.0971613226432289, 'distribution': 'uniform', 'gravity': 0.002651724549874214, 'beta': 2.1235092966290683, 'factor': 0.7643194215576375, 'self_conf': 2.578547117570672, 'swarm_conf': 2.646341109369162, 'version': 'constriction', 'radius': 0.8022133319245722, 'angle': 23.18350197115191}. Best is trial 4 with value: 52.006456044551896.
[I 2025-01-10 17:03:19,591] Trial 6 finished with value: 155.01565740627368 and parameters: {'scale': 0.0481290722198516, 'distribution': 'levy', 'gravity': 0.001415672539424548, 'beta': 2.572531966817495, 'factor': 0.6846885711175756, 'self_conf': 2.5306101415628293, 'swarm_conf': 2.9529014460555416, 'version': 'inertial', 'radius': 0.8563189224922442, 'angle': 20.97944073254078}. Best is trial 4 with value: 52.006456044551896.
[I 2025-01-10 17:03:21,317] Trial 7 finished with value: 62.68677933060966 and parameters: {'scale': 0.03384553636478217, 'distribution': 'levy', 'gravity': 0.0011988790472227638, 'beta': 1.5718725476457929, 'factor': 0.7673040484600994, 'self_conf': 2.870536031154064, 'swarm_conf': 2.5865691774444772, 'version': 'constriction', 'radius': 0.8114769397421728, 'angle': 20.331917660667557}. Best is trial 4 with value: 52.006456044551896.
[I 2025-01-10 17:03:23,001] Trial 8 finished with value: 163.7943932441371 and parameters: {'scale': 0.0519518827358707, 'distribution': 'uniform', 'gravity': 0.009618144737796918, 'beta': 2.310515291086899, 'factor': 0.7891772067595093, 'self_conf': 2.8553023087252396, 'swarm_conf': 2.3120970733064152, 'version': 'inertial', 'radius': 0.8319046773253077, 'angle': 21.9892520446016}. Best is trial 4 with value: 52.006456044551896.
[I 2025-01-10 17:03:24,731] Trial 9 finished with value: 159.99094349299207 and parameters: {'scale': 0.07762460470061594, 'distribution': 'gaussian', 'gravity': 0.006647022458063533, 'beta': 3.9623184628058445, 'factor': 0.656928530711992, 'self_conf': 2.4052470109796533, 'swarm_conf': 2.7136494522397716, 'version': 'inertial', 'radius': 0.8808704399325892, 'angle': 23.64385591943922}. Best is trial 4 with value: 52.006456044551896.
[I 2025-01-10 17:03:26,459] Trial 10 finished with value: 62.01028390461721 and parameters: {'scale': 0.010518986711754032, 'distribution': 'levy', 'gravity': 0.004234937041658609, 'beta': 3.2843579113755976, 'factor': 0.7171327301969119, 'self_conf': 2.7092595414656735, 'swarm_conf': 2.8031871023890385, 'version': 'constriction', 'radius': 0.8970644686783882, 'angle': 24.55776552177298}. Best is trial 4 with value: 52.006456044551896.
[I 2025-01-10 17:03:28,139] Trial 11 finished with value: 63.75804689303112 and parameters: {'scale': 0.09968365147959689, 'distribution': 'uniform', 'gravity': 0.003327776908696005, 'beta': 2.1347272131248864, 'factor': 0.742023080415892, 'self_conf': 2.648463339102452, 'swarm_conf': 2.439834250761706, 'version': 'constriction', 'radius': 0.8733463510491699, 'angle': 23.132458062582163}. Best is trial 4 with value: 52.006456044551896.
[I 2025-01-10 17:03:29,843] Trial 12 finished with value: 73.82779728481518 and parameters: {'scale': 0.07489203206006725, 'distribution': 'uniform', 'gravity': 0.002763174966679001, 'beta': 1.9992295319869564, 'factor': 0.6684925662271402, 'self_conf': 2.614653377272233, 'swarm_conf': 2.6969279746876826, 'version': 'constriction', 'radius': 0.8730560476978213, 'angle': 23.739870440573043}. Best is trial 4 with value: 52.006456044551896.
[I 2025-01-10 17:03:31,591] Trial 13 finished with value: 62.004972927412226 and parameters: {'scale': 0.01823246441750489, 'distribution': 'uniform', 'gravity': 0.00487741216543848, 'beta': 2.9409895287505807, 'factor': 0.6262590377464244, 'self_conf': 2.9887491107339983, 'swarm_conf': 2.6197004833143778, 'version': 'constriction', 'radius': 0.8276048051384729, 'angle': 22.1824172234528}. Best is trial 4 with value: 52.006456044551896.
