Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'probability': 0.8904348643293517, 'scale': 1.1744797972192265, 'distribution': 'uniform', 'factor': 0.5712342490371567, 'self_conf': 2.250360933034478, 'swarm_conf': 2.8166234728286534, 'version': 'constriction'}
Mejor rendimiento encontrado:
39.49775075746872

Stderr:
[I 2025-01-10 17:20:02,256] A new study created in memory with name: no-name-2fabccd5-f6dd-425a-8df4-2726bb438f16
[I 2025-01-10 17:20:04,516] Trial 0 finished with value: 90.43847450690987 and parameters: {'probability': 0.7744512593518081, 'scale': 1.9681419637445567, 'distribution': 'gaussian', 'factor': 0.6519194214144539, 'self_conf': 2.806046287076897, 'swarm_conf': 2.083482512392964, 'version': 'constriction'}. Best is trial 0 with value: 90.43847450690987.
[I 2025-01-10 17:20:05,015] Trial 1 finished with value: 139.7470230265384 and parameters: {'probability': 0.6324848677017233, 'scale': 1.7471661452153107, 'distribution': 'gaussian', 'factor': 0.8481583676891388, 'self_conf': 2.062543160706266, 'swarm_conf': 2.720530982825761, 'version': 'inertial'}. Best is trial 0 with value: 90.43847450690987.
[I 2025-01-10 17:20:05,465] Trial 2 finished with value: 86.25721891148562 and parameters: {'probability': 0.6600726473151074, 'scale': 1.2901838730615967, 'distribution': 'uniform', 'factor': 0.7767756585756289, 'self_conf': 2.601780063642187, 'swarm_conf': 2.276621719254438, 'version': 'inertial'}. Best is trial 2 with value: 86.25721891148562.
[I 2025-01-10 17:20:05,925] Trial 3 finished with value: 54.19285902400701 and parameters: {'probability': 0.6795443547667663, 'scale': 1.4201768561681583, 'distribution': 'uniform', 'factor': 0.7454689180257261, 'self_conf': 2.058018624107766, 'swarm_conf': 2.846695174135885, 'version': 'constriction'}. Best is trial 3 with value: 54.19285902400701.
[I 2025-01-10 17:20:06,370] Trial 4 finished with value: 108.63057287224828 and parameters: {'probability': 0.8095894362832906, 'scale': 1.793792174747681, 'distribution': 'gaussian', 'factor': 0.5098919591332602, 'self_conf': 2.862623537320024, 'swarm_conf': 2.44976000998961, 'version': 'inertial'}. Best is trial 3 with value: 54.19285902400701.
[I 2025-01-10 17:20:06,815] Trial 5 finished with value: 102.49285901665337 and parameters: {'probability': 0.6490612510602867, 'scale': 1.8591054057880902, 'distribution': 'uniform', 'factor': 0.9788996658553608, 'self_conf': 2.43488310440821, 'swarm_conf': 2.6349096220532555, 'version': 'inertial'}. Best is trial 3 with value: 54.19285902400701.
[I 2025-01-10 17:20:07,285] Trial 6 finished with value: 93.48383524163927 and parameters: {'probability': 0.8259392244664542, 'scale': 1.84555004724545, 'distribution': 'gaussian', 'factor': 0.8652578541287352, 'self_conf': 2.4122173731764085, 'swarm_conf': 2.6046510303211683, 'version': 'constriction'}. Best is trial 3 with value: 54.19285902400701.
[I 2025-01-10 17:20:07,742] Trial 7 finished with value: 130.25597638186585 and parameters: {'probability': 0.5916889566059752, 'scale': 1.3578794976889288, 'distribution': 'gaussian', 'factor': 0.8683170187371374, 'self_conf': 2.7425965360610043, 'swarm_conf': 2.0271414042002998, 'version': 'inertial'}. Best is trial 3 with value: 54.19285902400701.
[I 2025-01-10 17:20:08,232] Trial 8 finished with value: 97.65875842781186 and parameters: {'probability': 0.7999979748230434, 'scale': 1.80619885111506, 'distribution': 'gaussian', 'factor': 0.6751845599860291, 'self_conf': 2.0429828912764645, 'swarm_conf': 2.6427777374075117, 'version': 'constriction'}. Best is trial 3 with value: 54.19285902400701.
[I 2025-01-10 17:20:08,691] Trial 9 finished with value: 147.70909944436295 and parameters: {'probability': 0.6039033611759712, 'scale': 1.6984470592996557, 'distribution': 'gaussian', 'factor': 0.8654463483909689, 'self_conf': 2.0330610581914774, 'swarm_conf': 2.038335562960867, 'version': 'inertial'}. Best is trial 3 with value: 54.19285902400701.
[I 2025-01-10 17:20:09,171] Trial 10 finished with value: 51.09514678376705 and parameters: {'probability': 0.5002623547918696, 'scale': 1.015316300663499, 'distribution': 'uniform', 'factor': 0.5474303412664744, 'self_conf': 2.2495545403144592, 'swarm_conf': 2.9605151989831184, 'version': 'constriction'}. Best is trial 10 with value: 51.09514678376705.
[I 2025-01-10 17:20:09,640] Trial 11 finished with value: 63.12052485796651 and parameters: {'probability': 0.5030824843939128, 'scale': 1.007845507653406, 'distribution': 'uniform', 'factor': 0.6169412432219121, 'self_conf': 2.2510016373586312, 'swarm_conf': 2.929040735723464, 'version': 'constriction'}. Best is trial 10 with value: 51.09514678376705.
[I 2025-01-10 17:20:10,102] Trial 12 finished with value: 59.13588497787437 and parameters: {'probability': 0.5076766197010457, 'scale': 1.0283563956706006, 'distribution': 'uniform', 'factor': 0.5026346931250663, 'self_conf': 2.2357567833403325, 'swarm_conf': 2.967845305384561, 'version': 'constriction'}. Best is trial 10 with value: 51.09514678376705.
[I 2025-01-10 17:20:10,572] Trial 13 finished with value: 40.35694350630132 and parameters: {'probability': 0.893423950049459, 'scale': 1.4898263087032346, 'distribution': 'uniform', 'factor': 0.5825589576545327, 'self_conf': 2.2377263172117225, 'swarm_conf': 2.818123834118774, 'version': 'constriction'}. Best is trial 13 with value: 40.35694350630132.
[I 2025-01-10 17:20:11,044] Trial 14 finished with value: 39.49775075746872 and parameters: {'probability': 0.8904348643293517, 'scale': 1.1744797972192265, 'distribution': 'uniform', 'factor': 0.5712342490371567, 'self_conf': 2.250360933034478, 'swarm_conf': 2.8166234728286534, 'version': 'constriction'}. Best is trial 14 with value: 39.49775075746872.
