Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.9165884052487395, 'self_conf': 2.4106064292011347, 'swarm_conf': 2.850324228403919, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8639905731265611, 'angle': 22.03148320076455, 'sigma': 0.047434342587783826}
Mejor rendimiento encontrado:
61.637536943398636

Stderr:
[I 2025-01-10 18:25:08,445] A new study created in memory with name: no-name-3b1103e4-8c38-46bd-9f15-1c07b4e17237
[I 2025-01-10 18:25:11,441] Trial 0 finished with value: 158.8446675741744 and parameters: {'factor': 0.634387585011451, 'self_conf': 2.7846877431558794, 'swarm_conf': 2.3913311545083173, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8236076215319813, 'angle': 24.894577160725607, 'sigma': 0.032852536573006345}. Best is trial 0 with value: 158.8446675741744.
[I 2025-01-10 18:25:12,433] Trial 1 finished with value: 151.22550535638413 and parameters: {'factor': 0.53393840557459, 'self_conf': 2.3345011201076673, 'swarm_conf': 2.1009282931587454, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.767660607344549, 'angle': 21.439000072796446, 'sigma': 0.030403243453449833}. Best is trial 1 with value: 151.22550535638413.
[I 2025-01-10 18:25:13,403] Trial 2 finished with value: 142.43420136252007 and parameters: {'factor': 0.7425891428382028, 'self_conf': 2.0143796995301506, 'swarm_conf': 2.747043378634344, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7983610228443365, 'angle': 20.335320383600333, 'sigma': 0.0406554851466659}. Best is trial 2 with value: 142.43420136252007.
[I 2025-01-10 18:25:14,386] Trial 3 finished with value: 131.607334857274 and parameters: {'factor': 0.8970323910948337, 'self_conf': 2.463067999312596, 'swarm_conf': 2.6298258412908404, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7649930851187946, 'angle': 20.61699461050627, 'sigma': 0.07225413907630043}. Best is trial 3 with value: 131.607334857274.
[I 2025-01-10 18:25:15,396] Trial 4 finished with value: 159.14811162715878 and parameters: {'factor': 0.8495653670312164, 'self_conf': 2.0667817598003535, 'swarm_conf': 2.5891922323153835, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7088385062106806, 'angle': 23.761436517129223, 'sigma': 0.08992982816189848}. Best is trial 3 with value: 131.607334857274.
[I 2025-01-10 18:25:16,427] Trial 5 finished with value: 130.32806711444206 and parameters: {'factor': 0.7966410077989248, 'self_conf': 2.89664430973282, 'swarm_conf': 2.178048476203763, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.848238438074179, 'angle': 24.091311797879868, 'sigma': 0.03554061724995317}. Best is trial 5 with value: 130.32806711444206.
[I 2025-01-10 18:25:17,436] Trial 6 finished with value: 167.48253486001718 and parameters: {'factor': 0.5188258161913859, 'self_conf': 2.767518047704618, 'swarm_conf': 2.621444776601784, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8217764925857873, 'angle': 22.672598818809632, 'sigma': 0.055936164786792975}. Best is trial 5 with value: 130.32806711444206.
[I 2025-01-10 18:25:18,437] Trial 7 finished with value: 164.65764994950854 and parameters: {'factor': 0.54590034533681, 'self_conf': 2.8836709766933275, 'swarm_conf': 2.7391008722733057, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.752730920239073, 'angle': 22.857444663735663, 'sigma': 0.0653184071720436}. Best is trial 5 with value: 130.32806711444206.
[I 2025-01-10 18:25:19,447] Trial 8 finished with value: 163.26955091497638 and parameters: {'factor': 0.8161753666253181, 'self_conf': 2.269780124187161, 'swarm_conf': 2.418511520232034, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.7404454174466936, 'angle': 22.11278439377112, 'sigma': 0.01349821040009715}. Best is trial 5 with value: 130.32806711444206.
[I 2025-01-10 18:25:20,412] Trial 9 finished with value: 81.60983192213567 and parameters: {'factor': 0.6978985656020544, 'self_conf': 2.7085976911862875, 'swarm_conf': 2.0713081018893633, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7788839751540452, 'angle': 20.27657344584484, 'sigma': 0.016850982860558503}. Best is trial 9 with value: 81.60983192213567.
[I 2025-01-10 18:25:21,385] Trial 10 finished with value: 68.98221935278465 and parameters: {'factor': 0.9730633690259858, 'self_conf': 2.6240712718548584, 'swarm_conf': 2.993011273674442, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8942079731669406, 'angle': 21.28938465329032, 'sigma': 0.011822076618038357}. Best is trial 10 with value: 68.98221935278465.
