Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.774268458314538, 'self_conf': 2.782761241652103, 'swarm_conf': 2.744863052391015, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8992661353610305, 'angle': 17.580490835548474, 'sigma': 0.11085348413374976}
Mejor rendimiento encontrado:
53.33934377514671

Stderr:
[I 2025-01-10 18:46:33,221] A new study created in memory with name: no-name-08276e7d-75c3-4efd-b3ae-fa544ef0a21b
[I 2025-01-10 18:46:37,364] Trial 0 finished with value: 120.996832013116 and parameters: {'factor': 0.520167593066315, 'self_conf': 2.1865233713589864, 'swarm_conf': 2.53094114682124, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.5773981936117288, 'angle': 15.806969574276016, 'sigma': 0.08478240502541941}. Best is trial 0 with value: 120.996832013116.
[I 2025-01-10 18:46:38,538] Trial 1 finished with value: 83.57699568543858 and parameters: {'factor': 0.846411740528735, 'self_conf': 2.364229391985909, 'swarm_conf': 2.562099533332515, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5896405423540966, 'angle': 15.789187005958292, 'sigma': 0.19935956878398642}. Best is trial 1 with value: 83.57699568543858.
[I 2025-01-10 18:46:39,750] Trial 2 finished with value: 65.45977462785493 and parameters: {'factor': 0.6958346191259349, 'self_conf': 2.652372883269444, 'swarm_conf': 2.2808525746869037, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.628440187177561, 'angle': 20.74656302201181, 'sigma': 0.1248157704164644}. Best is trial 2 with value: 65.45977462785493.
[I 2025-01-10 18:46:40,914] Trial 3 finished with value: 117.30130235076552 and parameters: {'factor': 0.9229445291887011, 'self_conf': 2.9864612254390726, 'swarm_conf': 2.0677791465106976, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.5354566523635358, 'angle': 16.048618203645123, 'sigma': 0.17509027424770832}. Best is trial 2 with value: 65.45977462785493.
[I 2025-01-10 18:46:42,142] Trial 4 finished with value: 82.1306905256674 and parameters: {'factor': 0.6444619552523857, 'self_conf': 2.40032530004844, 'swarm_conf': 2.8233291751341714, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5829047107812577, 'angle': 24.817734006575943, 'sigma': 0.110321843510357}. Best is trial 2 with value: 65.45977462785493.
[I 2025-01-10 18:46:43,308] Trial 5 finished with value: 135.70409199532804 and parameters: {'factor': 0.9452437886501732, 'self_conf': 2.0244705634227866, 'swarm_conf': 2.1127202050959415, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6945616773672374, 'angle': 24.11609599755252, 'sigma': 0.09661015491089607}. Best is trial 2 with value: 65.45977462785493.
[I 2025-01-10 18:46:44,516] Trial 6 finished with value: 92.88922644562332 and parameters: {'factor': 0.5489869475198295, 'self_conf': 2.6093084870564716, 'swarm_conf': 2.369550932887728, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6140868520312833, 'angle': 21.62044946191184, 'sigma': 0.17777364248601943}. Best is trial 2 with value: 65.45977462785493.
[I 2025-01-10 18:46:45,693] Trial 7 finished with value: 144.1408991723099 and parameters: {'factor': 0.8461019699739596, 'self_conf': 2.488771909070004, 'swarm_conf': 2.005112245502575, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.855092696461481, 'angle': 22.713851098082294, 'sigma': 0.16810458532867853}. Best is trial 2 with value: 65.45977462785493.
[I 2025-01-10 18:46:46,895] Trial 8 finished with value: 67.23400604101286 and parameters: {'factor': 0.7001715601250524, 'self_conf': 2.5891798669202766, 'swarm_conf': 2.959423116365501, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5894707322763121, 'angle': 21.639789205409308, 'sigma': 0.1537777355127597}. Best is trial 2 with value: 65.45977462785493.
[I 2025-01-10 18:46:48,066] Trial 9 finished with value: 121.8177292334916 and parameters: {'factor': 0.5679133262691264, 'self_conf': 2.2145398570119976, 'swarm_conf': 2.1043812547168557, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6703187116625108, 'angle': 21.688718439213872, 'sigma': 0.0625321783886659}. Best is trial 2 with value: 65.45977462785493.
[I 2025-01-10 18:46:49,228] Trial 10 finished with value: 145.26799077827414 and parameters: {'factor': 0.7705957100402598, 'self_conf': 2.8530204315532464, 'swarm_conf': 2.325161083168379, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7955993113897714, 'angle': 18.638660555469585, 'sigma': 0.13919772847589962}. Best is trial 2 with value: 65.45977462785493.
