Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.7875886887518272, 'angle': 19.32684384731014, 'sigma': 0.13312542635062263, 'factor': 0.8425106536803727, 'self_conf': 2.6318327293618946, 'swarm_conf': 2.8899256869436094, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
49.744631581564136

Stderr:
[I 2025-01-10 19:52:44,249] A new study created in memory with name: no-name-fbf94b7e-8f96-4908-9148-2c3d25e141e4
[I 2025-01-10 19:52:48,209] Trial 0 finished with value: 123.62774044190289 and parameters: {'radius': 0.5215985856712583, 'angle': 22.715018023969822, 'sigma': 0.26931536310571136, 'factor': 0.9929896931109822, 'self_conf': 2.5604554077939143, 'swarm_conf': 2.3336268375794433, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 123.62774044190289.
[I 2025-01-10 19:52:49,320] Trial 1 finished with value: 141.81904723349783 and parameters: {'radius': 0.8427310239723498, 'angle': 20.145167416496143, 'sigma': 0.27835408518764937, 'factor': 0.8036454047856528, 'self_conf': 2.1394208502401617, 'swarm_conf': 2.8416798818812765, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 123.62774044190289.
[I 2025-01-10 19:52:50,450] Trial 2 finished with value: 151.79156355575736 and parameters: {'radius': 0.6860505471136074, 'angle': 21.852111928871327, 'sigma': 0.18115172225088355, 'factor': 0.6662070339993329, 'self_conf': 2.229067599911612, 'swarm_conf': 2.933899198551961, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 123.62774044190289.
[I 2025-01-10 19:52:51,571] Trial 3 finished with value: 155.2678933950948 and parameters: {'radius': 0.8666986745844206, 'angle': 22.339328349766873, 'sigma': 0.26358839709928406, 'factor': 0.5903324626627622, 'self_conf': 2.8995779989474215, 'swarm_conf': 2.7809280237463905, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 123.62774044190289.
[I 2025-01-10 19:52:52,681] Trial 4 finished with value: 87.34852035053012 and parameters: {'radius': 0.695881427971579, 'angle': 21.360481727616456, 'sigma': 0.22359844853369798, 'factor': 0.5668260034217424, 'self_conf': 2.232705209039047, 'swarm_conf': 2.086115976709828, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 4 with value: 87.34852035053012.
[I 2025-01-10 19:52:53,831] Trial 5 finished with value: 53.06362556154241 and parameters: {'radius': 0.8188486905361857, 'angle': 24.209816132439638, 'sigma': 0.1346188439446135, 'factor': 0.6474152386545472, 'self_conf': 2.800976293935617, 'swarm_conf': 2.4103034341166136, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 5 with value: 53.06362556154241.
[I 2025-01-10 19:52:54,930] Trial 6 finished with value: 135.8784315444555 and parameters: {'radius': 0.7543413891413046, 'angle': 19.141790688279638, 'sigma': 0.2749143031948856, 'factor': 0.9171284449611117, 'self_conf': 2.6303865848524017, 'swarm_conf': 2.1844557053159814, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 5 with value: 53.06362556154241.
[I 2025-01-10 19:52:56,056] Trial 7 finished with value: 58.70059711680308 and parameters: {'radius': 0.7474062026842235, 'angle': 17.889986550855852, 'sigma': 0.15097008793532057, 'factor': 0.8838067287161768, 'self_conf': 2.394412775094723, 'swarm_conf': 2.0607358519700005, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 5 with value: 53.06362556154241.
[I 2025-01-10 19:52:57,165] Trial 8 finished with value: 146.3798510041585 and parameters: {'radius': 0.8864617559111312, 'angle': 15.08226874406673, 'sigma': 0.10614674592545355, 'factor': 0.7440918361751974, 'self_conf': 2.3089430856982998, 'swarm_conf': 2.8951273960019717, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 5 with value: 53.06362556154241.
[I 2025-01-10 19:52:58,312] Trial 9 finished with value: 49.744631581564136 and parameters: {'radius': 0.7875886887518272, 'angle': 19.32684384731014, 'sigma': 0.13312542635062263, 'factor': 0.8425106536803727, 'self_conf': 2.6318327293618946, 'swarm_conf': 2.8899256869436094, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 9 with value: 49.744631581564136.
[I 2025-01-10 19:52:59,483] Trial 10 finished with value: 76.13630162983921 and parameters: {'radius': 0.5979287747584406, 'angle': 16.699076858785574, 'sigma': 0.059768308965517464, 'factor': 0.47429628915205124, 'self_conf': 2.7381166381684396, 'swarm_conf': 2.6556070711926356, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 9 with value: 49.744631581564136.
[I 2025-01-10 19:53:00,625] Trial 11 finished with value: 54.33675530539138 and parameters: {'radius': 0.8063407795187901, 'angle': 24.9414159859754, 'sigma': 0.11701225440505175, 'factor': 0.7906064111265811, 'self_conf': 2.983295498570436, 'swarm_conf': 2.460275698142678, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 9 with value: 49.744631581564136.
[I 2025-01-10 19:53:01,778] Trial 12 finished with value: 140.13894360056085 and parameters: {'radius': 0.8002343217714811, 'angle': 24.52345009577552, 'sigma': 0.17883550259362108, 'factor': 0.6665946250191416, 'self_conf': 2.781445790346742, 'swarm_conf': 2.5886229459558616, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 9 with value: 49.744631581564136.
[I 2025-01-10 19:53:02,928] Trial 13 finished with value: 64.5141955451632 and parameters: {'radius': 0.7591589764267956, 'angle': 19.848038323989982, 'sigma': 0.12206715571098191, 'factor': 0.45510787981076706, 'self_conf': 2.718123178322536, 'swarm_conf': 2.384930875578738, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 9 with value: 49.744631581564136.
