Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.745259582972196, 'angle': 20.360127679398126, 'sigma': 0.010268674430911187, 'factor': 0.8964692117678443, 'self_conf': 2.1053772175074377, 'swarm_conf': 2.817536458632691, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
63.41856353799123

Stderr:
[I 2025-01-10 20:05:41,984] A new study created in memory with name: no-name-d5343946-de16-4524-90f5-a7091393a0bf
[I 2025-01-10 20:05:45,452] Trial 0 finished with value: 122.57347083108625 and parameters: {'radius': 0.6462637141916894, 'angle': 23.00131441535543, 'sigma': 0.047025190566897856, 'factor': 0.5145603688092322, 'self_conf': 2.237635030697344, 'swarm_conf': 2.6353550519586912, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 122.57347083108625.
[I 2025-01-10 20:05:46,327] Trial 1 finished with value: 150.16413967078023 and parameters: {'radius': 0.8149043694366109, 'angle': 22.94976954215852, 'sigma': 0.09178069315446664, 'factor': 0.8202680110524506, 'self_conf': 2.9604477563664147, 'swarm_conf': 2.95430381155217, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 122.57347083108625.
[I 2025-01-10 20:05:47,115] Trial 2 finished with value: 76.2976276897168 and parameters: {'radius': 0.6669539738269783, 'angle': 20.459896410789998, 'sigma': 0.06453186005678352, 'factor': 0.7803169580474806, 'self_conf': 2.227831276349565, 'swarm_conf': 2.550928719535786, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 76.2976276897168.
[I 2025-01-10 20:05:47,883] Trial 3 finished with value: 179.1798079912378 and parameters: {'radius': 0.6808596671096849, 'angle': 22.0502413943401, 'sigma': 0.03473816265898044, 'factor': 0.7462128741217929, 'self_conf': 2.5565982033298704, 'swarm_conf': 2.607483308258381, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 76.2976276897168.
[I 2025-01-10 20:05:48,696] Trial 4 finished with value: 93.35744180542657 and parameters: {'radius': 0.7446137276379066, 'angle': 21.461396274833273, 'sigma': 0.0704822212520785, 'factor': 0.5677086271443612, 'self_conf': 2.7680664374323687, 'swarm_conf': 2.1524350619436032, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 76.2976276897168.
[I 2025-01-10 20:05:49,468] Trial 5 finished with value: 199.44913601182012 and parameters: {'radius': 0.8910519086433444, 'angle': 21.565688900729164, 'sigma': 0.07805620763346269, 'factor': 0.6969197925791173, 'self_conf': 2.78075057011725, 'swarm_conf': 2.354664740003894, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 2 with value: 76.2976276897168.
[I 2025-01-10 20:05:50,239] Trial 6 finished with value: 128.85386251899274 and parameters: {'radius': 0.5683855060820759, 'angle': 24.12477007565011, 'sigma': 0.041104495791732344, 'factor': 0.8780260311908173, 'self_conf': 2.464056647614445, 'swarm_conf': 2.422379966354603, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 76.2976276897168.
[I 2025-01-10 20:05:51,009] Trial 7 finished with value: 158.034833436606 and parameters: {'radius': 0.509600657643638, 'angle': 20.217499555795797, 'sigma': 0.04337612845073032, 'factor': 0.7948925560044828, 'self_conf': 2.2204187161711193, 'swarm_conf': 2.51856796573713, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 2 with value: 76.2976276897168.
[I 2025-01-10 20:05:51,772] Trial 8 finished with value: 158.5786494097999 and parameters: {'radius': 0.6128698841200554, 'angle': 21.375882985465786, 'sigma': 0.03116999316846972, 'factor': 0.6427903102214554, 'self_conf': 2.7338298158558882, 'swarm_conf': 2.21826496385339, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 76.2976276897168.
[I 2025-01-10 20:05:52,559] Trial 9 finished with value: 124.20677475313717 and parameters: {'radius': 0.5456495457856548, 'angle': 23.823407184773778, 'sigma': 0.055922134536171904, 'factor': 0.6145996307428182, 'self_conf': 2.7496455331631986, 'swarm_conf': 2.325125300574938, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 76.2976276897168.
[I 2025-01-10 20:05:53,337] Trial 10 finished with value: 63.41856353799123 and parameters: {'radius': 0.745259582972196, 'angle': 20.360127679398126, 'sigma': 0.010268674430911187, 'factor': 0.8964692117678443, 'self_conf': 2.1053772175074377, 'swarm_conf': 2.817536458632691, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 63.41856353799123.
[I 2025-01-10 20:05:54,123] Trial 11 finished with value: 77.00345752499621 and parameters: {'radius': 0.7437031403808434, 'angle': 20.02074853094074, 'sigma': 0.010907796186720366, 'factor': 0.8992257076552896, 'self_conf': 2.109789757924105, 'swarm_conf': 2.8345927044876635, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 63.41856353799123.
[I 2025-01-10 20:05:54,903] Trial 12 finished with value: 81.48960144067917 and parameters: {'radius': 0.7446613945416807, 'angle': 20.726079146757154, 'sigma': 0.01636524101222812, 'factor': 0.8267202687248411, 'self_conf': 2.344459783938951, 'swarm_conf': 2.759187771043375, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 63.41856353799123.
[I 2025-01-10 20:05:55,723] Trial 13 finished with value: 84.89483257976144 and parameters: {'radius': 0.8129243646590624, 'angle': 21.033126450546806, 'sigma': 0.059585580709510755, 'factor': 0.7295809647768173, 'self_conf': 2.1401616324733985, 'swarm_conf': 2.759995045860906, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 63.41856353799123.
[I 2025-01-10 20:05:56,510] Trial 14 finished with value: 81.69361651492764 and parameters: {'radius': 0.6865631496895231, 'angle': 24.89185599858493, 'sigma': 0.07122713799069148, 'factor': 0.7793352240128136, 'self_conf': 2.3281577457956297, 'swarm_conf': 2.936715667157689, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 10 with value: 63.41856353799123.
