Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.03754584004594502, 'distribution': 'uniform', 'gravity': 0.004447297341023438, 'alpha': 0.062396505388299016, 'beta': 1.8054988324880594, 'factor': 0.783001485136959, 'self_conf': 2.7733652869830276, 'swarm_conf': 2.685225593383218, 'version': 'constriction', 'radius': 0.7881773834542583, 'angle': 23.689204807562895, 'sigma': 0.08156556487853431}
Mejor rendimiento encontrado:
42.275660057201065

Stderr:
[I 2025-01-10 20:13:04,877] A new study created in memory with name: no-name-353d1b4b-dd80-46f6-97da-b9d895997bd9
[I 2025-01-10 20:13:08,173] Trial 0 finished with value: 147.27368737311798 and parameters: {'scale': 0.02878768063573943, 'distribution': 'uniform', 'gravity': 0.009834578430794418, 'alpha': 0.046342018709504974, 'beta': 3.8102957548470924, 'factor': 0.7003626119610157, 'self_conf': 2.901970193972005, 'swarm_conf': 2.5454659878891728, 'version': 'inertial', 'radius': 0.8306072629153696, 'angle': 20.63689198670803, 'sigma': 0.09409821354965221}. Best is trial 0 with value: 147.27368737311798.
[I 2025-01-10 20:13:09,843] Trial 1 finished with value: 152.7406763619974 and parameters: {'scale': 0.07641736646618291, 'distribution': 'levy', 'gravity': 0.004169156833692322, 'alpha': 0.0977352901586963, 'beta': 1.7333889591945444, 'factor': 0.7296977900016519, 'self_conf': 2.540147446808368, 'swarm_conf': 2.7806912599124787, 'version': 'inertial', 'radius': 0.8133246490416227, 'angle': 22.84342608367947, 'sigma': 0.055880165378328205}. Best is trial 0 with value: 147.27368737311798.
[I 2025-01-10 20:13:11,446] Trial 2 finished with value: 149.32570303552762 and parameters: {'scale': 0.02338018295878225, 'distribution': 'gaussian', 'gravity': 0.006521516626786071, 'alpha': 0.011210769798226937, 'beta': 4.04273967203165, 'factor': 0.7519004161431782, 'self_conf': 2.5883042741320454, 'swarm_conf': 2.9504001238458226, 'version': 'inertial', 'radius': 0.7074125717394598, 'angle': 20.34450252449998, 'sigma': 0.08473082468211371}. Best is trial 0 with value: 147.27368737311798.
[I 2025-01-10 20:13:13,117] Trial 3 finished with value: 148.80061251312947 and parameters: {'scale': 0.07324104156316498, 'distribution': 'levy', 'gravity': 0.005932722721838104, 'alpha': 0.07650595447538928, 'beta': 3.1048647856228286, 'factor': 0.7648154295323629, 'self_conf': 2.5175366946106057, 'swarm_conf': 2.7379863765128567, 'version': 'inertial', 'radius': 0.7801597493069591, 'angle': 22.693554259246493, 'sigma': 0.07713489349263247}. Best is trial 0 with value: 147.27368737311798.
[I 2025-01-10 20:13:14,731] Trial 4 finished with value: 137.03520713555145 and parameters: {'scale': 0.09327150699800704, 'distribution': 'uniform', 'gravity': 0.006020571315345653, 'alpha': 0.05256995491713382, 'beta': 3.8981867337097422, 'factor': 0.7256483709804442, 'self_conf': 2.524781358967502, 'swarm_conf': 2.8502727462838795, 'version': 'inertial', 'radius': 0.7198726300814946, 'angle': 21.943703968476374, 'sigma': 0.06447896662710226}. Best is trial 4 with value: 137.03520713555145.
[I 2025-01-10 20:13:16,329] Trial 5 finished with value: 142.51130348240684 and parameters: {'scale': 0.056626713263218026, 'distribution': 'uniform', 'gravity': 0.0015308696080552462, 'alpha': 0.07907547258219869, 'beta': 3.361747149239731, 'factor': 0.7449027896253028, 'self_conf': 2.88531720525261, 'swarm_conf': 2.7636689051251837, 'version': 'inertial', 'radius': 0.7288032238148914, 'angle': 24.376993435609787, 'sigma': 0.05450654123253551}. Best is trial 4 with value: 137.03520713555145.
[I 2025-01-10 20:13:17,944] Trial 6 finished with value: 123.78665007026903 and parameters: {'scale': 0.048278174627857766, 'distribution': 'gaussian', 'gravity': 0.005337024093890257, 'alpha': 0.04175762736615904, 'beta': 4.0807152264344735, 'factor': 0.744743007512979, 'self_conf': 2.9128936476327825, 'swarm_conf': 2.6154039875344557, 'version': 'constriction', 'radius': 0.815092521749313, 'angle': 24.460676946792088, 'sigma': 0.08796210796408471}. Best is trial 6 with value: 123.78665007026903.
[I 2025-01-10 20:13:19,604] Trial 7 finished with value: 154.89015286971159 and parameters: {'scale': 0.06156868623666801, 'distribution': 'levy', 'gravity': 0.0011207301204400166, 'alpha': 0.038459909256013, 'beta': 3.660343366853772, 'factor': 0.7670794429213017, 'self_conf': 2.7999677632277784, 'swarm_conf': 2.614472494172627, 'version': 'inertial', 'radius': 0.8675844320107923, 'angle': 24.231232325078818, 'sigma': 0.09144207710096099}. Best is trial 6 with value: 123.78665007026903.
[I 2025-01-10 20:13:21,222] Trial 8 finished with value: 155.6529367704665 and parameters: {'scale': 0.04860837839595982, 'distribution': 'gaussian', 'gravity': 0.0011055863945775098, 'alpha': 0.026722096492522232, 'beta': 3.4263456061200244, 'factor': 0.7201737407810888, 'self_conf': 2.8779420223569496, 'swarm_conf': 2.88918212805453, 'version': 'inertial', 'radius': 0.8136416511466221, 'angle': 21.168350709755842, 'sigma': 0.06221790220485748}. Best is trial 6 with value: 123.78665007026903.
[I 2025-01-10 20:13:22,836] Trial 9 finished with value: 46.097123732229704 and parameters: {'scale': 0.023775262856334425, 'distribution': 'uniform', 'gravity': 0.0019920232289155184, 'alpha': 0.05097953163568501, 'beta': 2.702077027909305, 'factor': 0.7958159315290808, 'self_conf': 2.683778966526069, 'swarm_conf': 2.788390133634029, 'version': 'constriction', 'radius': 0.7702406736346955, 'angle': 23.178724124031472, 'sigma': 0.07861620223136925}. Best is trial 9 with value: 46.097123732229704.
[I 2025-01-10 20:13:24,466] Trial 10 finished with value: 44.707925336230915 and parameters: {'scale': 0.015230148499427273, 'distribution': 'uniform', 'gravity': 0.0035470973605483047, 'alpha': 0.06921740644213926, 'beta': 2.390382342211231, 'factor': 0.7961770874695743, 'self_conf': 2.6720089180503783, 'swarm_conf': 2.9802555587671247, 'version': 'constriction', 'radius': 0.7632292428633836, 'angle': 23.519245606798403, 'sigma': 0.07321635584800054}. Best is trial 10 with value: 44.707925336230915.
