Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.3797444628922573, 'self_conf': 2.492872690384274, 'swarm_conf': 2.7210792805218764, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7019872907544645, 'angle': 13.354514101255447, 'sigma': 0.02780859453787276, 'num_of_agents': 31}
Mejor rendimiento encontrado:
76.55063593785208

Stderr:
[I 2025-01-10 20:21:26,930] A new study created in memory with name: no-name-a567790e-337d-429a-b325-862735edeaae
[I 2025-01-10 20:21:30,493] Trial 0 finished with value: 149.70588601067513 and parameters: {'factor': 0.36554290534463546, 'self_conf': 2.0142741728678444, 'swarm_conf': 2.6219538145982657, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.6796004038717771, 'angle': 9.789521166987498, 'sigma': 0.12849512342184113, 'num_of_agents': 15}. Best is trial 0 with value: 149.70588601067513.
[I 2025-01-10 20:21:31,701] Trial 1 finished with value: 76.55063593785208 and parameters: {'factor': 0.3797444628922573, 'self_conf': 2.492872690384274, 'swarm_conf': 2.7210792805218764, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7019872907544645, 'angle': 13.354514101255447, 'sigma': 0.02780859453787276, 'num_of_agents': 31}. Best is trial 1 with value: 76.55063593785208.
[I 2025-01-10 20:21:32,694] Trial 2 finished with value: 155.88324423602558 and parameters: {'factor': 0.8366433528200928, 'self_conf': 2.76401151469127, 'swarm_conf': 2.8262124014033847, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.7941293743914323, 'angle': 13.625840454045669, 'sigma': 0.07264344400068434, 'num_of_agents': 23}. Best is trial 1 with value: 76.55063593785208.
[I 2025-01-10 20:21:33,870] Trial 3 finished with value: 142.60984491824627 and parameters: {'factor': 0.41874608221427084, 'self_conf': 2.667403312440513, 'swarm_conf': 2.9008140748399596, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.13907322511863587, 'angle': 7.112810145343859, 'sigma': 0.06653005466823127, 'num_of_agents': 30}. Best is trial 1 with value: 76.55063593785208.
[I 2025-01-10 20:21:35,091] Trial 4 finished with value: 104.54625292242501 and parameters: {'factor': 0.4874443843387126, 'self_conf': 2.9976558200370214, 'swarm_conf': 2.7723328939134064, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.1019214880544027, 'angle': 7.261305176794288, 'sigma': 0.15093695333714174, 'num_of_agents': 33}. Best is trial 1 with value: 76.55063593785208.
[I 2025-01-10 20:21:35,981] Trial 5 finished with value: 88.53860401981228 and parameters: {'factor': 0.6822844996361112, 'self_conf': 2.496717963443318, 'swarm_conf': 2.6108312424875333, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5590243773744915, 'angle': 23.370645055214233, 'sigma': 0.015130037503300936, 'num_of_agents': 17}. Best is trial 1 with value: 76.55063593785208.
[I 2025-01-10 20:21:36,964] Trial 6 finished with value: 139.44160053317154 and parameters: {'factor': 0.5771896298752129, 'self_conf': 2.7532811663527568, 'swarm_conf': 2.0582401772348, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.537903379060443, 'angle': 22.614221004032995, 'sigma': 0.015419311766949408, 'num_of_agents': 21}. Best is trial 1 with value: 76.55063593785208.
[I 2025-01-10 20:21:38,353] Trial 7 finished with value: 120.40587902818717 and parameters: {'factor': 0.6445774539861037, 'self_conf': 2.446171735160678, 'swarm_conf': 2.998999858216483, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.14417594208013051, 'angle': 19.359718716503338, 'sigma': 0.19396641763650105, 'num_of_agents': 40}. Best is trial 1 with value: 76.55063593785208.
[I 2025-01-10 20:21:39,296] Trial 8 finished with value: 146.67461873607385 and parameters: {'factor': 0.24485949749378183, 'self_conf': 2.9834176506073256, 'swarm_conf': 2.4821872136195444, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.28007062261940724, 'angle': 13.77761636557661, 'sigma': 0.024881274015015036, 'num_of_agents': 17}. Best is trial 1 with value: 76.55063593785208.
[I 2025-01-10 20:21:40,270] Trial 9 finished with value: 109.81857502698197 and parameters: {'factor': 0.8060915301608931, 'self_conf': 2.02343596971749, 'swarm_conf': 2.869954115209562, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.15145240158054288, 'angle': 23.773843952845468, 'sigma': 0.08309388897845482, 'num_of_agents': 19}. Best is trial 1 with value: 76.55063593785208.
[I 2025-01-10 20:21:41,773] Trial 10 finished with value: 79.82510259790969 and parameters: {'factor': 0.10637413135434354, 'self_conf': 2.3193537599030836, 'swarm_conf': 2.2993077752184927, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8679788233061104, 'angle': 17.991906285657613, 'sigma': 0.046009652416366516, 'num_of_agents': 47}. Best is trial 1 with value: 76.55063593785208.
[I 2025-01-10 20:21:43,306] Trial 11 finished with value: 96.41105012405771 and parameters: {'factor': 0.11244671668303151, 'self_conf': 2.27993605421079, 'swarm_conf': 2.2973759131226554, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8849119174115575, 'angle': 17.643307601299682, 'sigma': 0.049955491909868616, 'num_of_agents': 49}. Best is trial 1 with value: 76.55063593785208.
