Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.6417721485470366, 'self_conf': 2.5924199587667434, 'swarm_conf': 2.992456719690023, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.838447545906818, 'angle': 22.042102800755632, 'sigma': 0.11817087132260369}
Mejor rendimiento encontrado:
28.424972708290145

Stderr:
[I 2025-01-11 00:29:09,282] A new study created in memory with name: no-name-b20daf30-df12-4a8e-b11a-fd80b0e58422
[I 2025-01-11 00:29:15,071] Trial 0 finished with value: 74.75236861656664 and parameters: {'factor': 0.593354271687329, 'self_conf': 2.1082886347627294, 'swarm_conf': 2.882424877616896, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8117770145938172, 'angle': 24.30833425823139, 'sigma': 0.09311707818370471}. Best is trial 0 with value: 74.75236861656664.
[I 2025-01-11 00:29:18,242] Trial 1 finished with value: 78.18707549561967 and parameters: {'factor': 0.8778238424253811, 'self_conf': 2.6149272533323833, 'swarm_conf': 2.579181075316276, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8005951761167811, 'angle': 24.544910862573506, 'sigma': 0.09285480846627224}. Best is trial 0 with value: 74.75236861656664.
[I 2025-01-11 00:29:21,450] Trial 2 finished with value: 28.424972708290145 and parameters: {'factor': 0.6417721485470366, 'self_conf': 2.5924199587667434, 'swarm_conf': 2.992456719690023, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.838447545906818, 'angle': 22.042102800755632, 'sigma': 0.11817087132260369}. Best is trial 2 with value: 28.424972708290145.
[I 2025-01-11 00:29:24,640] Trial 3 finished with value: 70.61570833864211 and parameters: {'factor': 0.758528083959922, 'self_conf': 2.060656061274896, 'swarm_conf': 2.9618522701139485, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8680369574384642, 'angle': 21.717738071784538, 'sigma': 0.10285060455419082}. Best is trial 2 with value: 28.424972708290145.
[I 2025-01-11 00:29:27,811] Trial 4 finished with value: 96.41795729250377 and parameters: {'factor': 0.755315079753236, 'self_conf': 2.357051256965736, 'swarm_conf': 2.4768722507671983, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8691910110354685, 'angle': 20.196150651363933, 'sigma': 0.05229710351299971}. Best is trial 2 with value: 28.424972708290145.
[I 2025-01-11 00:29:30,990] Trial 5 finished with value: 69.17218351388611 and parameters: {'factor': 0.8561157202769352, 'self_conf': 2.618362274655542, 'swarm_conf': 2.1412149726339784, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8309723783964114, 'angle': 20.12880106059756, 'sigma': 0.08635492249830581}. Best is trial 2 with value: 28.424972708290145.
[I 2025-01-11 00:29:34,051] Trial 6 finished with value: 77.60701076290061 and parameters: {'factor': 0.931825271448752, 'self_conf': 2.2627338171023466, 'swarm_conf': 2.0118596735654792, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8077861989126656, 'angle': 23.506795070269735, 'sigma': 0.11851310140751772}. Best is trial 2 with value: 28.424972708290145.
[I 2025-01-11 00:29:37,032] Trial 7 finished with value: 90.62923956230176 and parameters: {'factor': 0.5677139726188134, 'self_conf': 2.199433912405339, 'swarm_conf': 2.4539395064050513, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8779210283350015, 'angle': 23.287622074697797, 'sigma': 0.1446558155497526}. Best is trial 2 with value: 28.424972708290145.
[I 2025-01-11 00:29:40,215] Trial 8 finished with value: 79.63059003750949 and parameters: {'factor': 0.7556184262278436, 'self_conf': 2.016399158541998, 'swarm_conf': 2.1019363900606853, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8710583829100366, 'angle': 24.611714514006323, 'sigma': 0.052261864892165825}. Best is trial 2 with value: 28.424972708290145.
[I 2025-01-11 00:29:43,250] Trial 9 finished with value: 81.75979918168163 and parameters: {'factor': 0.9690264372018031, 'self_conf': 2.0488384818476075, 'swarm_conf': 2.085865415103101, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8962975555591871, 'angle': 24.152131950432274, 'sigma': 0.08774641896943756}. Best is trial 2 with value: 28.424972708290145.
[I 2025-01-11 00:29:46,400] Trial 10 finished with value: 37.600619259551735 and parameters: {'factor': 0.6469268679501661, 'self_conf': 2.8618189280081454, 'swarm_conf': 2.7173898558481824, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8427708525990132, 'angle': 21.484588979613584, 'sigma': 0.14459171700172724}. Best is trial 2 with value: 28.424972708290145.
[I 2025-01-11 00:29:49,541] Trial 11 finished with value: 35.29194426304331 and parameters: {'factor': 0.6468976534131182, 'self_conf': 2.9532634859373466, 'swarm_conf': 2.757753218976818, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8406762018967973, 'angle': 21.76455349659342, 'sigma': 0.14860541286688414}. Best is trial 2 with value: 28.424972708290145.
[I 2025-01-11 00:29:52,987] Trial 12 finished with value: 38.88525835830269 and parameters: {'factor': 0.5054832570409575, 'self_conf': 2.945367502453858, 'swarm_conf': 2.8138231752179506, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8380394988481693, 'angle': 22.04949909857997, 'sigma': 0.12621989569948447}. Best is trial 2 with value: 28.424972708290145.
[I 2025-01-11 00:29:56,307] Trial 13 finished with value: 39.588312476657165 and parameters: {'factor': 0.657155299480608, 'self_conf': 2.7700323740064823, 'swarm_conf': 2.9904716747199407, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.824199022196035, 'angle': 20.918083667210272, 'sigma': 0.1272638771740698}. Best is trial 2 with value: 28.424972708290145.
[I 2025-01-11 00:29:59,577] Trial 14 finished with value: 43.74055535083274 and parameters: {'factor': 0.6762861655578649, 'self_conf': 2.471626301731583, 'swarm_conf': 2.698779511222541, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.854188943282025, 'angle': 22.70990599716166, 'sigma': 0.14850063698320676}. Best is trial 2 with value: 28.424972708290145.
