Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.1311674029668554, 'distribution': 'uniform', 'factor': 0.5020998916211454, 'self_conf': 1.8090699777052455, 'swarm_conf': 2.4324194755998785, 'version': 'inertial'}
Mejor rendimiento encontrado:
88.106360816452

Stderr:
[I 2025-01-11 00:38:01,692] A new study created in memory with name: no-name-beacee98-2edb-4556-8ec3-8a699e77fdc8
[I 2025-01-11 00:38:09,275] Trial 0 finished with value: 160.59076497951128 and parameters: {'scale': 0.019884936450003148, 'distribution': 'levy', 'factor': 0.6498530952548239, 'self_conf': 1.3572967957026105, 'swarm_conf': 2.7812977722897454, 'version': 'constriction'}. Best is trial 0 with value: 160.59076497951128.
[I 2025-01-11 00:38:13,176] Trial 1 finished with value: 176.4146685235464 and parameters: {'scale': 0.18823709319766727, 'distribution': 'gaussian', 'factor': 0.7969186369250759, 'self_conf': 2.9124609102005943, 'swarm_conf': 1.0317454264062738, 'version': 'constriction'}. Best is trial 0 with value: 160.59076497951128.
[I 2025-01-11 00:38:17,606] Trial 2 finished with value: 147.5762868159012 and parameters: {'scale': 0.044852355249900035, 'distribution': 'gaussian', 'factor': 0.7131388240902085, 'self_conf': 2.5817042231777, 'swarm_conf': 2.010816000918263, 'version': 'constriction'}. Best is trial 2 with value: 147.5762868159012.
[I 2025-01-11 00:38:23,748] Trial 3 finished with value: 163.82354759278383 and parameters: {'scale': 0.1767633408794886, 'distribution': 'levy', 'factor': 0.5598178906957806, 'self_conf': 2.223921594952559, 'swarm_conf': 1.891277540870727, 'version': 'constriction'}. Best is trial 2 with value: 147.5762868159012.
[I 2025-01-11 00:38:31,313] Trial 4 finished with value: 165.7864633088883 and parameters: {'scale': 0.08487540808746381, 'distribution': 'levy', 'factor': 0.6254064211937987, 'self_conf': 1.009654120818264, 'swarm_conf': 1.6711195056606256, 'version': 'inertial'}. Best is trial 2 with value: 147.5762868159012.
[I 2025-01-11 00:38:37,166] Trial 5 finished with value: 112.00758151730786 and parameters: {'scale': 0.19327024522855168, 'distribution': 'uniform', 'factor': 0.5565811489789996, 'self_conf': 1.7565483943354014, 'swarm_conf': 2.3128413636443144, 'version': 'inertial'}. Best is trial 5 with value: 112.00758151730786.
[I 2025-01-11 00:38:42,700] Trial 6 finished with value: 164.14954659628376 and parameters: {'scale': 0.15164989782634766, 'distribution': 'levy', 'factor': 0.5702858382853229, 'self_conf': 2.108379740041798, 'swarm_conf': 2.1716009355918473, 'version': 'constriction'}. Best is trial 5 with value: 112.00758151730786.
[I 2025-01-11 00:38:47,795] Trial 7 finished with value: 169.47646614342145 and parameters: {'scale': 0.08584767860485988, 'distribution': 'uniform', 'factor': 0.7202180836625597, 'self_conf': 2.878147682518756, 'swarm_conf': 2.992988525738541, 'version': 'inertial'}. Best is trial 5 with value: 112.00758151730786.
[I 2025-01-11 00:38:52,636] Trial 8 finished with value: 186.88709903876924 and parameters: {'scale': 0.13676217779284838, 'distribution': 'gaussian', 'factor': 0.6003462662162252, 'self_conf': 1.569627906971817, 'swarm_conf': 1.9924359962143594, 'version': 'constriction'}. Best is trial 5 with value: 112.00758151730786.
[I 2025-01-11 00:38:57,353] Trial 9 finished with value: 175.4959290314163 and parameters: {'scale': 0.06635143711617127, 'distribution': 'gaussian', 'factor': 0.5812380066358145, 'self_conf': 1.2853951983728604, 'swarm_conf': 2.7143699303742546, 'version': 'constriction'}. Best is trial 5 with value: 112.00758151730786.
[I 2025-01-11 00:39:01,946] Trial 10 finished with value: 96.18206511686965 and parameters: {'scale': 0.12559599567543078, 'distribution': 'uniform', 'factor': 0.5069131194981575, 'self_conf': 1.7907385710888675, 'swarm_conf': 2.4028519766846554, 'version': 'inertial'}. Best is trial 10 with value: 96.18206511686965.
[I 2025-01-11 00:39:06,953] Trial 11 finished with value: 88.106360816452 and parameters: {'scale': 0.1311674029668554, 'distribution': 'uniform', 'factor': 0.5020998916211454, 'self_conf': 1.8090699777052455, 'swarm_conf': 2.4324194755998785, 'version': 'inertial'}. Best is trial 11 with value: 88.106360816452.
[I 2025-01-11 00:39:10,685] Trial 12 finished with value: 105.15010734799473 and parameters: {'scale': 0.12250483587012126, 'distribution': 'uniform', 'factor': 0.5195016121039211, 'self_conf': 1.9125932985491043, 'swarm_conf': 2.473187952569135, 'version': 'inertial'}. Best is trial 11 with value: 88.106360816452.
[I 2025-01-11 00:39:14,317] Trial 13 finished with value: 143.5975144245124 and parameters: {'scale': 0.1080145868007545, 'distribution': 'uniform', 'factor': 0.505272973557167, 'self_conf': 2.4289537785547735, 'swarm_conf': 2.534314795806049, 'version': 'inertial'}. Best is trial 11 with value: 88.106360816452.
[I 2025-01-11 00:39:17,409] Trial 14 finished with value: 88.78058475038969 and parameters: {'scale': 0.15583178093459624, 'distribution': 'uniform', 'factor': 0.5229781351617434, 'self_conf': 1.687232930349734, 'swarm_conf': 2.3743524883338774, 'version': 'inertial'}. Best is trial 11 with value: 88.106360816452.
