Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.612838170263184, 'self_conf': 2.4903857487364522, 'swarm_conf': 2.676860396673298, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.880410928007161, 'scale': 0.8642527224001965}
Mejor rendimiento encontrado:
16.13604135432236

Stderr:
[I 2025-01-11 01:03:27,684] A new study created in memory with name: no-name-81b2450e-a08a-4af1-8a3e-867655d64858
[I 2025-01-11 01:03:35,796] Trial 0 finished with value: 19.510776655589495 and parameters: {'factor': 0.9824985657772111, 'self_conf': 2.7123147434725974, 'swarm_conf': 2.327326567891507, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.5142185574056031, 'scale': 1.988723445932406}. Best is trial 0 with value: 19.510776655589495.
[I 2025-01-11 01:03:40,349] Trial 1 finished with value: 149.33420787332233 and parameters: {'factor': 0.9804867546843135, 'self_conf': 2.2843285253302965, 'swarm_conf': 2.06931821251918, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.9659267350121828, 'scale': 1.1683990004609588}. Best is trial 0 with value: 19.510776655589495.
[I 2025-01-11 01:03:44,836] Trial 2 finished with value: 139.27389862327107 and parameters: {'factor': 0.9574729230775026, 'self_conf': 2.8599699067040625, 'swarm_conf': 2.0952773956695814, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.7285325935763769, 'scale': 1.7372491009089246}. Best is trial 0 with value: 19.510776655589495.
[I 2025-01-11 01:03:49,090] Trial 3 finished with value: 138.65807597237887 and parameters: {'factor': 0.7382400893805351, 'self_conf': 2.2309082262633497, 'swarm_conf': 2.522685586749918, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.7311422370273846, 'scale': 1.7034019328410104}. Best is trial 0 with value: 19.510776655589495.
[I 2025-01-11 01:03:53,859] Trial 4 finished with value: 18.94457434424126 and parameters: {'factor': 0.5484617879285254, 'self_conf': 2.2430165931580452, 'swarm_conf': 2.4611045946638295, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.7520329165334079, 'scale': 0.5173554143829517}. Best is trial 4 with value: 18.94457434424126.
[I 2025-01-11 01:03:58,478] Trial 5 finished with value: 141.78435211615977 and parameters: {'factor': 0.9616864809438235, 'self_conf': 2.677875500295455, 'swarm_conf': 2.354793464436246, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.667829528116281, 'scale': 1.7845695803112795}. Best is trial 4 with value: 18.94457434424126.
[I 2025-01-11 01:04:02,987] Trial 6 finished with value: 139.04732440134126 and parameters: {'factor': 0.757895596854439, 'self_conf': 2.596554523791869, 'swarm_conf': 2.0315991470982144, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.5064159671000514, 'scale': 1.929445742838808}. Best is trial 4 with value: 18.94457434424126.
[I 2025-01-11 01:04:07,317] Trial 7 finished with value: 143.85301838517648 and parameters: {'factor': 0.991616141783809, 'self_conf': 2.8812182987284825, 'swarm_conf': 2.8702082197682754, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.7385454611768392, 'scale': 1.8502261722632376}. Best is trial 4 with value: 18.94457434424126.
[I 2025-01-11 01:04:11,630] Trial 8 finished with value: 137.93536616067357 and parameters: {'factor': 0.9403968358111678, 'self_conf': 2.678381689272963, 'swarm_conf': 2.009524592141557, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.8650052367431631, 'scale': 1.9664355466337682}. Best is trial 4 with value: 18.94457434424126.
[I 2025-01-11 01:04:16,104] Trial 9 finished with value: 134.85364461310928 and parameters: {'factor': 0.6848747188744905, 'self_conf': 2.235978210734817, 'swarm_conf': 2.1891337542077696, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.9963795622609903, 'scale': 1.3232601988420458}. Best is trial 4 with value: 18.94457434424126.
[I 2025-01-11 01:04:20,506] Trial 10 finished with value: 22.895887091239615 and parameters: {'factor': 0.508415120492265, 'self_conf': 2.0527243464588905, 'swarm_conf': 2.693556102567728, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.8509374273033758, 'scale': 0.5055310930517593}. Best is trial 4 with value: 18.94457434424126.
[I 2025-01-11 01:04:24,825] Trial 11 finished with value: 20.659519506910193 and parameters: {'factor': 0.5059916891643856, 'self_conf': 2.429470930168191, 'swarm_conf': 2.4072111786717576, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.5858496773189548, 'scale': 0.5606188353592487}. Best is trial 4 with value: 18.94457434424126.
[I 2025-01-11 01:04:29,062] Trial 12 finished with value: 17.500034424492277 and parameters: {'factor': 0.6226275243682973, 'self_conf': 2.447445078468077, 'swarm_conf': 2.600686482429911, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.8357875997902575, 'scale': 0.8718550580951188}. Best is trial 12 with value: 17.500034424492277.
[I 2025-01-11 01:04:33,307] Trial 13 finished with value: 17.39276313543276 and parameters: {'factor': 0.6039181096224367, 'self_conf': 2.4316702521542886, 'swarm_conf': 2.637979254272468, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.8513823783344044, 'scale': 0.8200832966936703}. Best is trial 13 with value: 17.39276313543276.
[I 2025-01-11 01:04:38,346] Trial 14 finished with value: 16.13604135432236 and parameters: {'factor': 0.612838170263184, 'self_conf': 2.4903857487364522, 'swarm_conf': 2.676860396673298, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.880410928007161, 'scale': 0.8642527224001965}. Best is trial 14 with value: 16.13604135432236.
