Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5619137418882504, 'self_conf': 2.732585582071534, 'swarm_conf': 2.273283928594351, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
32.12486449831656

Stderr:
[I 2025-01-11 01:16:52,983] A new study created in memory with name: no-name-db8e9b9d-846e-406d-adf4-09ac847733cf
[I 2025-01-11 01:16:58,832] Trial 0 finished with value: 132.51827422166684 and parameters: {'factor': 0.7450339869005957, 'self_conf': 2.6236325413701373, 'swarm_conf': 2.4490584073252872, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 132.51827422166684.
[I 2025-01-11 01:17:01,804] Trial 1 finished with value: 140.5145056195364 and parameters: {'factor': 0.818240478104916, 'self_conf': 2.8955585692636263, 'swarm_conf': 2.2201668063514264, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 0 with value: 132.51827422166684.
[I 2025-01-11 01:17:04,780] Trial 2 finished with value: 132.6435626491321 and parameters: {'factor': 0.749968392052658, 'self_conf': 2.858953746737566, 'swarm_conf': 2.4306804755535723, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 0 with value: 132.51827422166684.
[I 2025-01-11 01:17:07,638] Trial 3 finished with value: 135.25877379843817 and parameters: {'factor': 0.8364578976387507, 'self_conf': 2.0857022212619545, 'swarm_conf': 2.0527589856203576, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 132.51827422166684.
[I 2025-01-11 01:17:10,488] Trial 4 finished with value: 103.83607021947323 and parameters: {'factor': 0.6628194025008405, 'self_conf': 2.8440335065297098, 'swarm_conf': 2.7676865740691112, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 4 with value: 103.83607021947323.
[I 2025-01-11 01:17:13,586] Trial 5 finished with value: 139.71408516824695 and parameters: {'factor': 0.7795343450502008, 'self_conf': 2.288323747182382, 'swarm_conf': 2.466714185779202, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 4 with value: 103.83607021947323.
[I 2025-01-11 01:17:16,439] Trial 6 finished with value: 134.55513382409825 and parameters: {'factor': 0.3416466262154814, 'self_conf': 2.5246382416032107, 'swarm_conf': 2.5289125691853673, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 4 with value: 103.83607021947323.
[I 2025-01-11 01:17:19,379] Trial 7 finished with value: 140.82081938297523 and parameters: {'factor': 0.6849538292785399, 'self_conf': 2.60853714300983, 'swarm_conf': 2.5845569618106596, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 4 with value: 103.83607021947323.
[I 2025-01-11 01:17:22,364] Trial 8 finished with value: 48.673723002036866 and parameters: {'factor': 0.4672367859574622, 'self_conf': 2.9235930018232885, 'swarm_conf': 2.13589541415619, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 8 with value: 48.673723002036866.
[I 2025-01-11 01:17:25,362] Trial 9 finished with value: 51.54454255939119 and parameters: {'factor': 0.48189599501463215, 'self_conf': 2.9068496953349414, 'swarm_conf': 2.3922098769965867, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 8 with value: 48.673723002036866.
[I 2025-01-11 01:17:28,287] Trial 10 finished with value: 66.4310289868405 and parameters: {'factor': 0.11250624960921773, 'self_conf': 2.3334602500206665, 'swarm_conf': 2.15061730967114, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 8 with value: 48.673723002036866.
[I 2025-01-11 01:17:31,262] Trial 11 finished with value: 50.60449040792485 and parameters: {'factor': 0.4544302017657883, 'self_conf': 2.9874207821559806, 'swarm_conf': 2.26831379805751, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 8 with value: 48.673723002036866.
[I 2025-01-11 01:17:34,233] Trial 12 finished with value: 65.48432831826503 and parameters: {'factor': 0.4350334625235129, 'self_conf': 2.9756109834245796, 'swarm_conf': 2.259339568538937, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 8 with value: 48.673723002036866.
[I 2025-01-11 01:17:37,219] Trial 13 finished with value: 62.010964930129916 and parameters: {'factor': 0.27295420877217, 'self_conf': 2.742169259636655, 'swarm_conf': 2.004510087847598, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 8 with value: 48.673723002036866.
[I 2025-01-11 01:17:40,270] Trial 14 finished with value: 32.12486449831656 and parameters: {'factor': 0.5619137418882504, 'self_conf': 2.732585582071534, 'swarm_conf': 2.273283928594351, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 14 with value: 32.12486449831656.
