Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5089046921411614, 'self_conf': 2.0077236862995003, 'swarm_conf': 2.352607061429133, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
30.88522651518381

Stderr:
[I 2025-01-16 21:25:07,352] A new study created in memory with name: no-name-c4dfb969-8433-426c-993c-67ef49865cd4
[I 2025-01-16 21:25:12,078] Trial 0 finished with value: 136.30670589988694 and parameters: {'factor': 0.8882323065757548, 'self_conf': 2.2879558863997747, 'swarm_conf': 2.5880771232719804, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 0 with value: 136.30670589988694.
[I 2025-01-16 21:25:14,868] Trial 1 finished with value: 141.33515690428854 and parameters: {'factor': 0.7380783243717789, 'self_conf': 2.501658126946616, 'swarm_conf': 2.965149424906467, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 0 with value: 136.30670589988694.
[I 2025-01-16 21:25:17,534] Trial 2 finished with value: 57.24899228481264 and parameters: {'factor': 0.32875169867853515, 'self_conf': 2.321702139077716, 'swarm_conf': 2.263501191395879, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 57.24899228481264.
[I 2025-01-16 21:25:20,127] Trial 3 finished with value: 145.3104431073995 and parameters: {'factor': 0.30955339275665256, 'self_conf': 2.9977971743791985, 'swarm_conf': 2.644562393368939, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 57.24899228481264.
[I 2025-01-16 21:25:22,841] Trial 4 finished with value: 48.37916579144596 and parameters: {'factor': 0.5119174328804329, 'self_conf': 2.7957220158165574, 'swarm_conf': 2.893843630519892, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 4 with value: 48.37916579144596.
[I 2025-01-16 21:25:25,654] Trial 5 finished with value: 39.80457203606645 and parameters: {'factor': 0.6750603945425758, 'self_conf': 2.163050322344348, 'swarm_conf': 2.055968338524327, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 5 with value: 39.80457203606645.
[I 2025-01-16 21:25:28,466] Trial 6 finished with value: 142.55915754992628 and parameters: {'factor': 0.7741618508336049, 'self_conf': 2.8006425654239844, 'swarm_conf': 2.2748572268894334, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 5 with value: 39.80457203606645.
[I 2025-01-16 21:25:31,299] Trial 7 finished with value: 35.14767791672415 and parameters: {'factor': 0.5235421182145167, 'self_conf': 2.1218713732744066, 'swarm_conf': 2.728937518508876, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 7 with value: 35.14767791672415.
[I 2025-01-16 21:25:33,997] Trial 8 finished with value: 144.19306234321482 and parameters: {'factor': 0.6168043687471075, 'self_conf': 2.6598900114447854, 'swarm_conf': 2.818983437945423, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 7 with value: 35.14767791672415.
[I 2025-01-16 21:25:36,877] Trial 9 finished with value: 116.291445392722 and parameters: {'factor': 0.4750883290958735, 'self_conf': 2.6402456192397894, 'swarm_conf': 2.50842137537018, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 7 with value: 35.14767791672415.
[I 2025-01-16 21:25:39,641] Trial 10 finished with value: 61.06266981004445 and parameters: {'factor': 0.20757113101588853, 'self_conf': 2.0050232595108026, 'swarm_conf': 2.7511465692921626, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 7 with value: 35.14767791672415.
[I 2025-01-16 21:25:42,643] Trial 11 finished with value: 38.80430067121554 and parameters: {'factor': 0.5886476062596295, 'self_conf': 2.063845129447411, 'swarm_conf': 2.0093802710311213, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 7 with value: 35.14767791672415.
[I 2025-01-16 21:25:46,064] Trial 12 finished with value: 30.88522651518381 and parameters: {'factor': 0.5089046921411614, 'self_conf': 2.0077236862995003, 'swarm_conf': 2.352607061429133, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 12 with value: 30.88522651518381.
[I 2025-01-16 21:25:49,067] Trial 13 finished with value: 36.924982088382336 and parameters: {'factor': 0.44785965926344495, 'self_conf': 2.223500148703015, 'swarm_conf': 2.351412554338406, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 12 with value: 30.88522651518381.
[I 2025-01-16 21:25:51,990] Trial 14 finished with value: 49.373695359010625 and parameters: {'factor': 0.37565848421857156, 'self_conf': 2.4230311935102273, 'swarm_conf': 2.4233374376528007, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 12 with value: 30.88522651518381.
