Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.63157840037779, 'distribution': 'uniform', 'factor': 0.6974674051882006, 'self_conf': 2.7480931119240735, 'swarm_conf': 2.2231080541366084, 'version': 'constriction'}
Mejor rendimiento encontrado:
28.569592290840106

Stderr:
[I 2025-01-16 22:21:36,697] A new study created in memory with name: no-name-68810beb-7f6f-481a-8acc-c3203bc8520b
[I 2025-01-16 22:21:43,435] Trial 0 finished with value: 45.43922626239274 and parameters: {'scale': 0.26487874994059935, 'distribution': 'uniform', 'factor': 0.5957865423395708, 'self_conf': 2.6205350901005153, 'swarm_conf': 2.365095879395339, 'version': 'constriction'}. Best is trial 0 with value: 45.43922626239274.
[I 2025-01-16 22:21:46,979] Trial 1 finished with value: 43.541916950300255 and parameters: {'scale': 0.9142337566875719, 'distribution': 'uniform', 'factor': 0.799538175235216, 'self_conf': 2.5103595536438688, 'swarm_conf': 2.3004702769809473, 'version': 'constriction'}. Best is trial 1 with value: 43.541916950300255.
[I 2025-01-16 22:21:50,546] Trial 2 finished with value: 101.32515025656244 and parameters: {'scale': 1.822222319984207, 'distribution': 'gaussian', 'factor': 0.7988576348476328, 'self_conf': 2.8786700262022453, 'swarm_conf': 2.4252455014258074, 'version': 'constriction'}. Best is trial 1 with value: 43.541916950300255.
[I 2025-01-16 22:21:54,127] Trial 3 finished with value: 154.07899736578455 and parameters: {'scale': 1.8879662473305518, 'distribution': 'uniform', 'factor': 0.7756435672972755, 'self_conf': 2.1680214167910896, 'swarm_conf': 2.5362898153582067, 'version': 'inertial'}. Best is trial 1 with value: 43.541916950300255.
[I 2025-01-16 22:21:57,642] Trial 4 finished with value: 44.5330833662302 and parameters: {'scale': 1.2597184554909964, 'distribution': 'uniform', 'factor': 0.6335109893548567, 'self_conf': 2.906058200624585, 'swarm_conf': 2.408110966029582, 'version': 'constriction'}. Best is trial 1 with value: 43.541916950300255.
[I 2025-01-16 22:22:01,186] Trial 5 finished with value: 36.04809102796905 and parameters: {'scale': 1.9215883738878732, 'distribution': 'uniform', 'factor': 0.7200928104760653, 'self_conf': 2.8767358603303785, 'swarm_conf': 2.3384295824496943, 'version': 'constriction'}. Best is trial 5 with value: 36.04809102796905.
[I 2025-01-16 22:22:05,080] Trial 6 finished with value: 102.62476728093706 and parameters: {'scale': 0.10147191233913892, 'distribution': 'levy', 'factor': 0.9598411458279605, 'self_conf': 2.5644707189931966, 'swarm_conf': 2.726104295360149, 'version': 'constriction'}. Best is trial 5 with value: 36.04809102796905.
[I 2025-01-16 22:22:08,680] Trial 7 finished with value: 179.11679968053548 and parameters: {'scale': 0.9440144608342984, 'distribution': 'gaussian', 'factor': 0.5970569072887024, 'self_conf': 2.1972595615364243, 'swarm_conf': 2.939640992850499, 'version': 'inertial'}. Best is trial 5 with value: 36.04809102796905.
[I 2025-01-16 22:22:12,246] Trial 8 finished with value: 122.94440163038371 and parameters: {'scale': 0.15912411245183167, 'distribution': 'gaussian', 'factor': 0.8936487093646124, 'self_conf': 2.4612306810619473, 'swarm_conf': 2.9127608271170318, 'version': 'inertial'}. Best is trial 5 with value: 36.04809102796905.
[I 2025-01-16 22:22:15,728] Trial 9 finished with value: 45.18818917556273 and parameters: {'scale': 1.8646960106703891, 'distribution': 'uniform', 'factor': 0.559570847662658, 'self_conf': 2.591381954620364, 'swarm_conf': 2.892082707055331, 'version': 'constriction'}. Best is trial 5 with value: 36.04809102796905.
[I 2025-01-16 22:22:19,607] Trial 10 finished with value: 170.11118806494784 and parameters: {'scale': 1.3805621354966902, 'distribution': 'levy', 'factor': 0.6937892229850267, 'self_conf': 2.991643174957352, 'swarm_conf': 2.002297973348965, 'version': 'inertial'}. Best is trial 5 with value: 36.04809102796905.
[I 2025-01-16 22:22:23,195] Trial 11 finished with value: 50.894299348886975 and parameters: {'scale': 0.7589034219934184, 'distribution': 'uniform', 'factor': 0.8213703434304975, 'self_conf': 2.3592625875286077, 'swarm_conf': 2.151728739443707, 'version': 'constriction'}. Best is trial 5 with value: 36.04809102796905.
[I 2025-01-16 22:22:26,676] Trial 12 finished with value: 28.569592290840106 and parameters: {'scale': 0.63157840037779, 'distribution': 'uniform', 'factor': 0.6974674051882006, 'self_conf': 2.7480931119240735, 'swarm_conf': 2.2231080541366084, 'version': 'constriction'}. Best is trial 12 with value: 28.569592290840106.
[I 2025-01-16 22:22:30,164] Trial 13 finished with value: 30.063748537076258 and parameters: {'scale': 0.5762977425850191, 'distribution': 'uniform', 'factor': 0.7121051417886243, 'self_conf': 2.7480365526770147, 'swarm_conf': 2.2028839284307997, 'version': 'constriction'}. Best is trial 12 with value: 28.569592290840106.
[I 2025-01-16 22:22:33,571] Trial 14 finished with value: 30.436579042647086 and parameters: {'scale': 0.5331571645367689, 'distribution': 'uniform', 'factor': 0.6679776694910275, 'self_conf': 2.7972958594659283, 'swarm_conf': 2.1512076660837214, 'version': 'constriction'}. Best is trial 12 with value: 28.569592290840106.
