Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.6173347677973039, 'self_conf': 2.300785182025453, 'swarm_conf': 2.048056197763719, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8881229303510555, 'angle': 21.88761860341234, 'sigma': 0.08891962099803055}
Mejor rendimiento encontrado:
32.833604826109514

Stderr:
[I 2025-01-17 09:29:45,490] A new study created in memory with name: no-name-7fafa6ee-636a-4282-bc1e-375c640d7ceb
[I 2025-01-17 09:29:50,562] Trial 0 finished with value: 68.92015989327548 and parameters: {'factor': 0.535033505019135, 'self_conf': 2.316651311750393, 'swarm_conf': 2.793354858060969, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.780233866539574, 'angle': 24.22135089691055, 'sigma': 0.16317188863275578}. Best is trial 0 with value: 68.92015989327548.
[I 2025-01-17 09:29:53,566] Trial 1 finished with value: 119.0129139636369 and parameters: {'factor': 0.8502384372572763, 'self_conf': 2.536495759781504, 'swarm_conf': 2.8345435431586212, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7725612321827329, 'angle': 21.285128364730404, 'sigma': 0.05377230249744163}. Best is trial 0 with value: 68.92015989327548.
[I 2025-01-17 09:29:56,533] Trial 2 finished with value: 105.7969264120072 and parameters: {'factor': 0.8062834747717643, 'self_conf': 2.411978756815698, 'swarm_conf': 2.8685645262413964, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.665061591503259, 'angle': 21.55536836033389, 'sigma': 0.08831671365346927}. Best is trial 0 with value: 68.92015989327548.
[I 2025-01-17 09:29:59,577] Trial 3 finished with value: 66.16453819145215 and parameters: {'factor': 0.6778807374189992, 'self_conf': 2.6370808228345815, 'swarm_conf': 2.9351954358083905, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6970574083695245, 'angle': 21.95592755616656, 'sigma': 0.15539369519788895}. Best is trial 3 with value: 66.16453819145215.
[I 2025-01-17 09:30:02,647] Trial 4 finished with value: 32.833604826109514 and parameters: {'factor': 0.6173347677973039, 'self_conf': 2.300785182025453, 'swarm_conf': 2.048056197763719, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8881229303510555, 'angle': 21.88761860341234, 'sigma': 0.08891962099803055}. Best is trial 4 with value: 32.833604826109514.
[I 2025-01-17 09:30:05,772] Trial 5 finished with value: 67.65669663654423 and parameters: {'factor': 0.5071608729374184, 'self_conf': 2.6658507655532917, 'swarm_conf': 2.779428459612401, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6525752643628033, 'angle': 20.5619523689924, 'sigma': 0.08991999301355419}. Best is trial 4 with value: 32.833604826109514.
[I 2025-01-17 09:30:08,692] Trial 6 finished with value: 113.09330561761874 and parameters: {'factor': 0.7805480961024814, 'self_conf': 2.7151698145265257, 'swarm_conf': 2.0195202636670357, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7353726486015083, 'angle': 23.030684142711724, 'sigma': 0.07064749734369088}. Best is trial 4 with value: 32.833604826109514.
[I 2025-01-17 09:30:11,731] Trial 7 finished with value: 42.78309675792622 and parameters: {'factor': 0.9988649669113154, 'self_conf': 2.6438156588468784, 'swarm_conf': 2.137886407494141, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7348322952141391, 'angle': 24.164622278288892, 'sigma': 0.09294066677342051}. Best is trial 4 with value: 32.833604826109514.
[I 2025-01-17 09:30:14,735] Trial 8 finished with value: 123.33668080007494 and parameters: {'factor': 0.8896075133718213, 'self_conf': 2.7527312018103745, 'swarm_conf': 2.0368591179671642, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8338854169642447, 'angle': 21.720873623058967, 'sigma': 0.058306713876265855}. Best is trial 4 with value: 32.833604826109514.
[I 2025-01-17 09:30:17,685] Trial 9 finished with value: 65.40362360361298 and parameters: {'factor': 0.8089003620455051, 'self_conf': 2.193726147012286, 'swarm_conf': 2.9530146403620723, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7023829846406744, 'angle': 24.091254845560652, 'sigma': 0.13609764693669074}. Best is trial 4 with value: 32.833604826109514.
[I 2025-01-17 09:30:20,743] Trial 10 finished with value: 95.63875250862094 and parameters: {'factor': 0.6443317043395232, 'self_conf': 2.965300851564174, 'swarm_conf': 2.330309308954724, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.536814902387658, 'angle': 22.93199440140605, 'sigma': 0.011394610002742403}. Best is trial 4 with value: 32.833604826109514.
[I 2025-01-17 09:30:23,883] Trial 11 finished with value: 83.78255535220252 and parameters: {'factor': 0.9938704382220732, 'self_conf': 2.055052384029857, 'swarm_conf': 2.2605680016349434, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8943347975582274, 'angle': 23.518436229567435, 'sigma': 0.19827028424662255}. Best is trial 4 with value: 32.833604826109514.
[I 2025-01-17 09:30:27,105] Trial 12 finished with value: 37.16955224738017 and parameters: {'factor': 0.6415806659668181, 'self_conf': 2.3236834641868485, 'swarm_conf': 2.2203502559888855, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5805443164648002, 'angle': 24.973540214058787, 'sigma': 0.12356845630692348}. Best is trial 4 with value: 32.833604826109514.
[I 2025-01-17 09:30:30,342] Trial 13 finished with value: 43.53657442065879 and parameters: {'factor': 0.6164286782837902, 'self_conf': 2.2439864795515754, 'swarm_conf': 2.5177702617301234, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5730180748993092, 'angle': 24.812871726434828, 'sigma': 0.13067964841336963}. Best is trial 4 with value: 32.833604826109514.
[I 2025-01-17 09:30:33,527] Trial 14 finished with value: 45.756501367831646 and parameters: {'factor': 0.6993934917170794, 'self_conf': 2.017261934253678, 'swarm_conf': 2.4300940824168853, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5824922558940183, 'angle': 20.284395492115802, 'sigma': 0.11655203099846584}. Best is trial 4 with value: 32.833604826109514.
