Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.15600035023019548, 'distribution': 'uniform', 'factor': 0.9089947343003356, 'self_conf': 2.018178285633897, 'swarm_conf': 2.1069152398170363, 'version': 'constriction'}
Mejor rendimiento encontrado:
24.627178082957055

Stderr:
[I 2025-01-17 17:20:52,842] A new study created in memory with name: no-name-a1902f5a-d6bf-4987-93f9-9cdb04fbb302
[I 2025-01-17 17:20:57,040] Trial 0 finished with value: 156.10599785862547 and parameters: {'scale': 0.44998554554190034, 'distribution': 'uniform', 'factor': 0.9224595901128716, 'self_conf': 2.539320856313203, 'swarm_conf': 2.907052141505138, 'version': 'inertial'}. Best is trial 0 with value: 156.10599785862547.
[I 2025-01-17 17:20:59,641] Trial 1 finished with value: 161.72112775540072 and parameters: {'scale': 0.0675006754841475, 'distribution': 'levy', 'factor': 0.9548386578565472, 'self_conf': 2.2226061576912715, 'swarm_conf': 2.870335877852473, 'version': 'constriction'}. Best is trial 0 with value: 156.10599785862547.
[I 2025-01-17 17:21:02,047] Trial 2 finished with value: 172.6762417390327 and parameters: {'scale': 0.41316368709850526, 'distribution': 'gaussian', 'factor': 0.9796422780350671, 'self_conf': 2.4367095202534474, 'swarm_conf': 2.450849719857734, 'version': 'inertial'}. Best is trial 0 with value: 156.10599785862547.
[I 2025-01-17 17:21:04,425] Trial 3 finished with value: 169.11458936174714 and parameters: {'scale': 0.3128925733103422, 'distribution': 'gaussian', 'factor': 0.8693715334937406, 'self_conf': 2.2327671955040813, 'swarm_conf': 2.403699216229316, 'version': 'inertial'}. Best is trial 0 with value: 156.10599785862547.
[I 2025-01-17 17:21:06,786] Trial 4 finished with value: 153.06100702083847 and parameters: {'scale': 0.14869429228581818, 'distribution': 'gaussian', 'factor': 0.9460010580306886, 'self_conf': 2.50033470166047, 'swarm_conf': 2.3396050949716147, 'version': 'constriction'}. Best is trial 4 with value: 153.06100702083847.
[I 2025-01-17 17:21:09,239] Trial 5 finished with value: 179.14294820034715 and parameters: {'scale': 0.405928453559494, 'distribution': 'gaussian', 'factor': 0.9600990273510985, 'self_conf': 2.5623238271418636, 'swarm_conf': 2.6846533611008767, 'version': 'inertial'}. Best is trial 4 with value: 153.06100702083847.
[I 2025-01-17 17:21:11,831] Trial 6 finished with value: 179.8796359247484 and parameters: {'scale': 0.45127432086322267, 'distribution': 'levy', 'factor': 0.8453310014032316, 'self_conf': 2.469252639600968, 'swarm_conf': 2.3862278619197936, 'version': 'inertial'}. Best is trial 4 with value: 153.06100702083847.
[I 2025-01-17 17:21:14,386] Trial 7 finished with value: 181.23429065056555 and parameters: {'scale': 0.3672246178482673, 'distribution': 'levy', 'factor': 0.9907299598402621, 'self_conf': 2.892252877434811, 'swarm_conf': 2.423964865372926, 'version': 'inertial'}. Best is trial 4 with value: 153.06100702083847.
[I 2025-01-17 17:21:16,717] Trial 8 finished with value: 175.10495734218688 and parameters: {'scale': 0.24816674771945377, 'distribution': 'gaussian', 'factor': 0.8145275708169353, 'self_conf': 2.7946523763217375, 'swarm_conf': 2.443698264887936, 'version': 'inertial'}. Best is trial 4 with value: 153.06100702083847.
[I 2025-01-17 17:21:19,221] Trial 9 finished with value: 32.3358601171779 and parameters: {'scale': 0.22253154961435903, 'distribution': 'uniform', 'factor': 0.9294425885178378, 'self_conf': 2.2605362506097073, 'swarm_conf': 2.0540689398631016, 'version': 'constriction'}. Best is trial 9 with value: 32.3358601171779.
[I 2025-01-17 17:21:21,886] Trial 10 finished with value: 109.86912029834228 and parameters: {'scale': 0.2227314341769456, 'distribution': 'uniform', 'factor': 0.8917163802198366, 'self_conf': 2.0116535940966385, 'swarm_conf': 2.003148355307511, 'version': 'constriction'}. Best is trial 9 with value: 32.3358601171779.
[I 2025-01-17 17:21:24,300] Trial 11 finished with value: 107.22511317033562 and parameters: {'scale': 0.20852153316795793, 'distribution': 'uniform', 'factor': 0.8952696553784415, 'self_conf': 2.0030927724072987, 'swarm_conf': 2.009369035303275, 'version': 'constriction'}. Best is trial 9 with value: 32.3358601171779.
[I 2025-01-17 17:21:26,715] Trial 12 finished with value: 24.627178082957055 and parameters: {'scale': 0.15600035023019548, 'distribution': 'uniform', 'factor': 0.9089947343003356, 'self_conf': 2.018178285633897, 'swarm_conf': 2.1069152398170363, 'version': 'constriction'}. Best is trial 12 with value: 24.627178082957055.
[I 2025-01-17 17:21:29,235] Trial 13 finished with value: 38.305971916251174 and parameters: {'scale': 0.11127583131464605, 'distribution': 'uniform', 'factor': 0.9235161854642363, 'self_conf': 2.206907911287196, 'swarm_conf': 2.1827243260425737, 'version': 'constriction'}. Best is trial 12 with value: 24.627178082957055.
[I 2025-01-17 17:21:31,747] Trial 14 finished with value: 38.55458155678925 and parameters: {'scale': 0.0220126052767613, 'distribution': 'uniform', 'factor': 0.8663078404882495, 'self_conf': 2.14087708457116, 'swarm_conf': 2.1716578079500857, 'version': 'constriction'}. Best is trial 12 with value: 24.627178082957055.
