Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.4092097712633707, 'distribution': 'uniform', 'factor': 0.7057879493503175, 'self_conf': 2.683090393749568, 'swarm_conf': 2.995428781717998, 'version': 'constriction'}
Mejor rendimiento encontrado:
72.48524617088043

Stderr:
[I 2025-01-17 19:16:08,124] A new study created in memory with name: no-name-409a3261-633e-4b54-bc5b-2a51bf2b279e
[I 2025-01-17 19:16:12,388] Trial 0 finished with value: 133.31424568600153 and parameters: {'scale': 0.042352357541875586, 'distribution': 'gaussian', 'factor': 0.7476921776409214, 'self_conf': 2.6069839256332257, 'swarm_conf': 2.6941637484980214, 'version': 'constriction'}. Best is trial 0 with value: 133.31424568600153.
[I 2025-01-17 19:16:14,791] Trial 1 finished with value: 174.39211365372017 and parameters: {'scale': 0.5993071632063295, 'distribution': 'uniform', 'factor': 0.8288433815661079, 'self_conf': 2.9289499815859945, 'swarm_conf': 2.852572522359651, 'version': 'inertial'}. Best is trial 0 with value: 133.31424568600153.
[I 2025-01-17 19:16:17,230] Trial 2 finished with value: 173.370612836211 and parameters: {'scale': 0.6763007861049316, 'distribution': 'uniform', 'factor': 0.740322786043037, 'self_conf': 2.993256036110696, 'swarm_conf': 2.733935363609362, 'version': 'inertial'}. Best is trial 0 with value: 133.31424568600153.
[I 2025-01-17 19:16:19,687] Trial 3 finished with value: 81.902207762767 and parameters: {'scale': 0.6745625576514004, 'distribution': 'uniform', 'factor': 0.7614271955435399, 'self_conf': 2.7586775753151547, 'swarm_conf': 2.753705374183474, 'version': 'constriction'}. Best is trial 3 with value: 81.902207762767.
[I 2025-01-17 19:16:22,118] Trial 4 finished with value: 75.1418039289641 and parameters: {'scale': 0.3412771562465725, 'distribution': 'uniform', 'factor': 0.7463008571602286, 'self_conf': 2.7264162325551617, 'swarm_conf': 2.9092126476263687, 'version': 'constriction'}. Best is trial 4 with value: 75.1418039289641.
[I 2025-01-17 19:16:24,865] Trial 5 finished with value: 177.24265500359078 and parameters: {'scale': 0.7245527903163155, 'distribution': 'levy', 'factor': 0.8747000073627141, 'self_conf': 2.885932495713682, 'swarm_conf': 2.8144228622418748, 'version': 'constriction'}. Best is trial 4 with value: 75.1418039289641.
[I 2025-01-17 19:16:27,320] Trial 6 finished with value: 167.73319329458903 and parameters: {'scale': 0.7313827539336585, 'distribution': 'uniform', 'factor': 0.7692042626940451, 'self_conf': 2.796126445204839, 'swarm_conf': 2.9004577228045907, 'version': 'inertial'}. Best is trial 4 with value: 75.1418039289641.
[I 2025-01-17 19:16:29,891] Trial 7 finished with value: 179.03596929728906 and parameters: {'scale': 0.16825909325940872, 'distribution': 'gaussian', 'factor': 0.8376648925564572, 'self_conf': 2.5859738469547975, 'swarm_conf': 2.654086331771922, 'version': 'inertial'}. Best is trial 4 with value: 75.1418039289641.
[I 2025-01-17 19:16:32,385] Trial 8 finished with value: 170.78958079955098 and parameters: {'scale': 0.24946303290378274, 'distribution': 'uniform', 'factor': 0.8615482051161516, 'self_conf': 2.7181009466859543, 'swarm_conf': 2.7592697820892726, 'version': 'inertial'}. Best is trial 4 with value: 75.1418039289641.
[I 2025-01-17 19:16:34,947] Trial 9 finished with value: 161.2796826073042 and parameters: {'scale': 0.6839018302832341, 'distribution': 'gaussian', 'factor': 0.8384461717684252, 'self_conf': 2.979477097536911, 'swarm_conf': 2.6921316947203273, 'version': 'constriction'}. Best is trial 4 with value: 75.1418039289641.
[I 2025-01-17 19:16:37,779] Trial 10 finished with value: 174.0083816439814 and parameters: {'scale': 0.4065728097934834, 'distribution': 'levy', 'factor': 0.7013212932058005, 'self_conf': 2.669181886920425, 'swarm_conf': 2.9929630125615043, 'version': 'constriction'}. Best is trial 4 with value: 75.1418039289641.
[I 2025-01-17 19:16:40,353] Trial 11 finished with value: 97.31832430163449 and parameters: {'scale': 0.8925389607742641, 'distribution': 'uniform', 'factor': 0.7875384724946021, 'self_conf': 2.812014117615977, 'swarm_conf': 2.5985016163413883, 'version': 'constriction'}. Best is trial 4 with value: 75.1418039289641.
[I 2025-01-17 19:16:42,921] Trial 12 finished with value: 72.99217172435499 and parameters: {'scale': 0.45072696378524135, 'distribution': 'uniform', 'factor': 0.7121862671475474, 'self_conf': 2.720371524241285, 'swarm_conf': 2.96759807774523, 'version': 'constriction'}. Best is trial 12 with value: 72.99217172435499.
[I 2025-01-17 19:16:45,496] Trial 13 finished with value: 72.48524617088043 and parameters: {'scale': 0.4092097712633707, 'distribution': 'uniform', 'factor': 0.7057879493503175, 'self_conf': 2.683090393749568, 'swarm_conf': 2.995428781717998, 'version': 'constriction'}. Best is trial 13 with value: 72.48524617088043.
[I 2025-01-17 19:16:48,122] Trial 14 finished with value: 76.01487925711591 and parameters: {'scale': 0.5284962448138633, 'distribution': 'uniform', 'factor': 0.7007183233069116, 'self_conf': 2.652967051150523, 'swarm_conf': 2.9953091549578756, 'version': 'constriction'}. Best is trial 13 with value: 72.48524617088043.
