Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.703915969274305, 'self_conf': 2.534063761525474, 'swarm_conf': 2.6026479644246505, 'version': 'constriction', 'distribution': 'levy', 'pairing': 'random', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.3453262082487612}
Mejor rendimiento encontrado:
6.010769130117005

Stderr:
[I 2025-01-17 19:57:56,768] A new study created in memory with name: no-name-95950d22-321c-4c6d-bebe-0a0e6d7486fe
[I 2025-01-17 19:58:01,329] Trial 0 finished with value: 57.40894378862686 and parameters: {'factor': 0.9165965180918703, 'self_conf': 2.9030164660948405, 'swarm_conf': 2.870678476333321, 'version': 'inertial', 'distribution': 'uniform', 'pairing': 'rank', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.5131338755021573}. Best is trial 0 with value: 57.40894378862686.
[I 2025-01-17 19:58:04,586] Trial 1 finished with value: 16.086068641868927 and parameters: {'factor': 0.5174742236716172, 'self_conf': 2.6621091632300344, 'swarm_conf': 2.4663663515252305, 'version': 'constriction', 'distribution': 'uniform', 'pairing': 'tournament_2_100', 'crossover': 'single', 'mating_pool_factor': 0.5328188563862765}. Best is trial 1 with value: 16.086068641868927.
[I 2025-01-17 19:58:07,989] Trial 2 finished with value: 7.80871667864573 and parameters: {'factor': 0.8880913052310339, 'self_conf': 2.024873828357397, 'swarm_conf': 2.7904742918598555, 'version': 'inertial', 'distribution': 'levy', 'pairing': 'tournament_2_100', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.5965445909422855}. Best is trial 2 with value: 7.80871667864573.
[I 2025-01-17 19:58:10,956] Trial 3 finished with value: 20.22343756187132 and parameters: {'factor': 0.5351794405044107, 'self_conf': 2.955212290100294, 'swarm_conf': 2.1305875056214663, 'version': 'inertial', 'distribution': 'levy', 'pairing': 'cost', 'crossover': 'uniform', 'mating_pool_factor': 0.4977399998013099}. Best is trial 2 with value: 7.80871667864573.
[I 2025-01-17 19:58:13,714] Trial 4 finished with value: 17.756035472314394 and parameters: {'factor': 0.5933952956971577, 'self_conf': 2.386027603152726, 'swarm_conf': 2.771998325118421, 'version': 'constriction', 'distribution': 'uniform', 'pairing': 'rank', 'crossover': 'two', 'mating_pool_factor': 0.3141501989772796}. Best is trial 2 with value: 7.80871667864573.
[I 2025-01-17 19:58:16,797] Trial 5 finished with value: 20.681464448877946 and parameters: {'factor': 0.8454842158051534, 'self_conf': 2.0124093182819367, 'swarm_conf': 2.4031679458769473, 'version': 'constriction', 'distribution': 'gaussian', 'pairing': 'tournament_2_100', 'crossover': 'two', 'mating_pool_factor': 0.7761895908452885}. Best is trial 2 with value: 7.80871667864573.
[I 2025-01-17 19:58:19,600] Trial 6 finished with value: 20.725618705449648 and parameters: {'factor': 0.8177744282587281, 'self_conf': 2.822203672892245, 'swarm_conf': 2.998262822116799, 'version': 'inertial', 'distribution': 'gaussian', 'pairing': 'rank', 'crossover': 'blend', 'mating_pool_factor': 0.7397578602492307}. Best is trial 2 with value: 7.80871667864573.
[I 2025-01-17 19:58:22,916] Trial 7 finished with value: 13.427930089513744 and parameters: {'factor': 0.7422977906913888, 'self_conf': 2.1690089210886003, 'swarm_conf': 2.7754917432772706, 'version': 'constriction', 'distribution': 'gaussian', 'pairing': 'tournament_2_100', 'crossover': 'uniform', 'mating_pool_factor': 0.5496448661260583}. Best is trial 2 with value: 7.80871667864573.
[I 2025-01-17 19:58:25,712] Trial 8 finished with value: 19.931521609180727 and parameters: {'factor': 0.7841066531380083, 'self_conf': 2.431379247524956, 'swarm_conf': 2.6386898283989453, 'version': 'inertial', 'distribution': 'uniform', 'pairing': 'rank', 'crossover': 'uniform', 'mating_pool_factor': 0.4703603323004292}. Best is trial 2 with value: 7.80871667864573.
[I 2025-01-17 19:58:28,713] Trial 9 finished with value: 9.109349253594921 and parameters: {'factor': 0.6004359109546622, 'self_conf': 2.744249357085014, 'swarm_conf': 2.7795796506276127, 'version': 'constriction', 'distribution': 'levy', 'pairing': 'cost', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.4627984680736272}. Best is trial 2 with value: 7.80871667864573.
[I 2025-01-17 19:58:31,738] Trial 10 finished with value: 14.128028110171662 and parameters: {'factor': 0.9971284277932788, 'self_conf': 2.2489677072105314, 'swarm_conf': 2.219302109311343, 'version': 'inertial', 'distribution': 'levy', 'pairing': 'random', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.6652365938540852}. Best is trial 2 with value: 7.80871667864573.
[I 2025-01-17 19:58:34,780] Trial 11 finished with value: 8.26194215156228 and parameters: {'factor': 0.667466186142259, 'self_conf': 2.6238941614856, 'swarm_conf': 2.6607610662130803, 'version': 'constriction', 'distribution': 'levy', 'pairing': 'cost', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.35920051338598463}. Best is trial 2 with value: 7.80871667864573.
[I 2025-01-17 19:58:37,803] Trial 12 finished with value: 44.87810768192625 and parameters: {'factor': 0.6927837871198346, 'self_conf': 2.580414061429188, 'swarm_conf': 2.6044895617535775, 'version': 'inertial', 'distribution': 'levy', 'pairing': 'cost', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.22096305180965536}. Best is trial 2 with value: 7.80871667864573.
[I 2025-01-17 19:58:40,908] Trial 13 finished with value: 6.010769130117005 and parameters: {'factor': 0.703915969274305, 'self_conf': 2.534063761525474, 'swarm_conf': 2.6026479644246505, 'version': 'constriction', 'distribution': 'levy', 'pairing': 'random', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.3453262082487612}. Best is trial 13 with value: 6.010769130117005.
[I 2025-01-17 19:58:44,082] Trial 14 finished with value: 6.437760758862524 and parameters: {'factor': 0.8775026985911315, 'self_conf': 2.2865804345549736, 'swarm_conf': 2.360924173665612, 'version': 'inertial', 'distribution': 'levy', 'pairing': 'random', 'crossover': 'blend', 'mating_pool_factor': 0.6192115890640831}. Best is trial 13 with value: 6.010769130117005.
