Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.2410407991798408, 'self_conf': 2.0235176725424373, 'swarm_conf': 2.4818549444247684, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.2718622139682812, 'scale': 0.10476855066982281}
Mejor rendimiento encontrado:
92.39809827895411

Stderr:
[I 2025-01-17 20:19:08,895] A new study created in memory with name: no-name-58aff880-87a6-4de8-8c3e-f39e9584f83a
[I 2025-01-17 20:19:17,537] Trial 0 finished with value: 181.9072977612214 and parameters: {'factor': 0.5215586271668273, 'self_conf': 2.0797665822823728, 'swarm_conf': 1.5360326693497037, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.6445599497596017, 'scale': 0.9030040215677463}. Best is trial 0 with value: 181.9072977612214.
[I 2025-01-17 20:19:21,771] Trial 1 finished with value: 193.71290079467067 and parameters: {'factor': 0.5295590353112105, 'self_conf': 1.80638882251575, 'swarm_conf': 2.9652114711486965, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.5778074639879607, 'scale': 0.8477538633365845}. Best is trial 0 with value: 181.9072977612214.
[I 2025-01-17 20:19:25,335] Trial 2 finished with value: 188.68382031792783 and parameters: {'factor': 0.8508062979724615, 'self_conf': 2.364212683185296, 'swarm_conf': 1.7542682473589337, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.4316708468970091, 'scale': 0.31287741797297364}. Best is trial 0 with value: 181.9072977612214.
[I 2025-01-17 20:19:28,636] Trial 3 finished with value: 141.67289092883328 and parameters: {'factor': 0.8181461107160153, 'self_conf': 1.8102925434229813, 'swarm_conf': 2.024530140855155, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.7223080775482571, 'scale': 0.989173776944421}. Best is trial 3 with value: 141.67289092883328.
[I 2025-01-17 20:19:32,269] Trial 4 finished with value: 190.01955576012284 and parameters: {'factor': 0.844962697685402, 'self_conf': 1.95364042520308, 'swarm_conf': 2.3908414126587094, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.3807658662802008, 'scale': 0.2331171341501197}. Best is trial 3 with value: 141.67289092883328.
[I 2025-01-17 20:19:35,470] Trial 5 finished with value: 136.20670249169325 and parameters: {'factor': 0.28808500228177747, 'self_conf': 1.5063299821660245, 'swarm_conf': 2.7934997749476613, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.3769925554582274, 'scale': 0.6987595392692264}. Best is trial 5 with value: 136.20670249169325.
[I 2025-01-17 20:19:38,987] Trial 6 finished with value: 183.99273698861165 and parameters: {'factor': 0.6061902702371684, 'self_conf': 2.165828999023627, 'swarm_conf': 1.7917818878267968, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.443109337410899, 'scale': 0.7562217364258794}. Best is trial 5 with value: 136.20670249169325.
[I 2025-01-17 20:19:42,406] Trial 7 finished with value: 184.960074331082 and parameters: {'factor': 0.4322821535701784, 'self_conf': 2.191175421207472, 'swarm_conf': 2.7389821644017616, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.42485065289580487, 'scale': 0.9272910559388651}. Best is trial 5 with value: 136.20670249169325.
[I 2025-01-17 20:19:45,774] Trial 8 finished with value: 150.43276028732345 and parameters: {'factor': 0.37635766924349323, 'self_conf': 2.814006545268817, 'swarm_conf': 1.9244098377777212, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.5666422153617485, 'scale': 0.48961614281394217}. Best is trial 5 with value: 136.20670249169325.
[I 2025-01-17 20:19:48,770] Trial 9 finished with value: 92.39809827895411 and parameters: {'factor': 0.2410407991798408, 'self_conf': 2.0235176725424373, 'swarm_conf': 2.4818549444247684, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.2718622139682812, 'scale': 0.10476855066982281}. Best is trial 9 with value: 92.39809827895411.
[I 2025-01-17 20:19:51,703] Trial 10 finished with value: 120.73864532859767 and parameters: {'factor': 0.11526229184628006, 'self_conf': 2.565726933405649, 'swarm_conf': 2.402528762524441, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.2563126187224344, 'scale': 0.1119168272809602}. Best is trial 9 with value: 92.39809827895411.
[I 2025-01-17 20:19:54,681] Trial 11 finished with value: 118.53171836069059 and parameters: {'factor': 0.12204567922912914, 'self_conf': 2.5147353706843214, 'swarm_conf': 2.3833471362906407, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.25240679959450724, 'scale': 0.12492498965341162}. Best is trial 9 with value: 92.39809827895411.
[I 2025-01-17 20:19:57,554] Trial 12 finished with value: 123.20442283124511 and parameters: {'factor': 0.10459515132113534, 'self_conf': 2.554126101379403, 'swarm_conf': 2.239093155171252, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.2677751555962655, 'scale': 0.12832675340678448}. Best is trial 9 with value: 92.39809827895411.
[I 2025-01-17 20:20:00,398] Trial 13 finished with value: 130.710068606158 and parameters: {'factor': 0.23657213611712408, 'self_conf': 2.988690107608746, 'swarm_conf': 2.544453794567753, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.3169900222826783, 'scale': 0.3864035696920971}. Best is trial 9 with value: 92.39809827895411.
[I 2025-01-17 20:20:03,214] Trial 14 finished with value: 116.4384432214535 and parameters: {'factor': 0.23135543343731196, 'self_conf': 2.4190683519591896, 'swarm_conf': 2.1964727648202906, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.3229976513037107, 'scale': 0.2428735897471432}. Best is trial 9 with value: 92.39809827895411.
