Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.8110128978321639, 'self_conf': 2.2867631704006275, 'swarm_conf': 2.9545089093107033, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8217443540291389, 'angle': 21.02930445612904, 'sigma': 0.10214115387684122}
Mejor rendimiento encontrado:
38.32479480767784

Stderr:
[I 2025-01-17 20:45:53,860] A new study created in memory with name: no-name-23c65641-56e4-4ebd-ba20-14a5a89c645f
[I 2025-01-17 20:45:58,625] Trial 0 finished with value: 128.3232838894186 and parameters: {'factor': 0.4377745058239454, 'self_conf': 2.420678480412972, 'swarm_conf': 2.191353626832558, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8120645314904966, 'angle': 20.966254308107114, 'sigma': 0.11065370007850024}. Best is trial 0 with value: 128.3232838894186.
[I 2025-01-17 20:46:01,858] Trial 1 finished with value: 154.206837322846 and parameters: {'factor': 0.45779205486402297, 'self_conf': 2.5391752087394286, 'swarm_conf': 2.1690602945723394, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7558629649484808, 'angle': 20.1369789747311, 'sigma': 0.08437900353030471}. Best is trial 0 with value: 128.3232838894186.
[I 2025-01-17 20:46:05,057] Trial 2 finished with value: 129.01796822589756 and parameters: {'factor': 0.7352076758385442, 'self_conf': 2.887667950460383, 'swarm_conf': 2.1399866510453167, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.7661289087041439, 'angle': 23.88445911887895, 'sigma': 0.148634140001568}. Best is trial 0 with value: 128.3232838894186.
[I 2025-01-17 20:46:08,026] Trial 3 finished with value: 128.4229896118899 and parameters: {'factor': 0.5006021847506618, 'self_conf': 2.181240402334798, 'swarm_conf': 2.3955744932096787, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8780212702917863, 'angle': 22.18540742122432, 'sigma': 0.10934055482218252}. Best is trial 0 with value: 128.3232838894186.
[I 2025-01-17 20:46:11,225] Trial 4 finished with value: 63.25218123101429 and parameters: {'factor': 0.167890210951255, 'self_conf': 2.763193042583407, 'swarm_conf': 2.5532065455216295, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.742317783679411, 'angle': 20.454087750894598, 'sigma': 0.13303158265620188}. Best is trial 4 with value: 63.25218123101429.
[I 2025-01-17 20:46:14,185] Trial 5 finished with value: 127.30811225588218 and parameters: {'factor': 0.7000683736300652, 'self_conf': 2.234619642864879, 'swarm_conf': 2.174112213600486, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8012409218816633, 'angle': 20.537822970379253, 'sigma': 0.043055089882632985}. Best is trial 4 with value: 63.25218123101429.
[I 2025-01-17 20:46:17,133] Trial 6 finished with value: 127.3869187309827 and parameters: {'factor': 0.4970926589630832, 'self_conf': 2.329512183247285, 'swarm_conf': 2.2573981008020714, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7790626686987046, 'angle': 23.2228285733717, 'sigma': 0.06770339950831708}. Best is trial 4 with value: 63.25218123101429.
[I 2025-01-17 20:46:20,315] Trial 7 finished with value: 38.32479480767784 and parameters: {'factor': 0.8110128978321639, 'self_conf': 2.2867631704006275, 'swarm_conf': 2.9545089093107033, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8217443540291389, 'angle': 21.02930445612904, 'sigma': 0.10214115387684122}. Best is trial 7 with value: 38.32479480767784.
[I 2025-01-17 20:46:23,289] Trial 8 finished with value: 129.33991099862507 and parameters: {'factor': 0.80892057919996, 'self_conf': 2.2675314201488725, 'swarm_conf': 2.2386668130626863, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7778903821019644, 'angle': 23.205980303979075, 'sigma': 0.16468837686737423}. Best is trial 7 with value: 38.32479480767784.
[I 2025-01-17 20:46:26,221] Trial 9 finished with value: 119.74148938089456 and parameters: {'factor': 0.38940284212133613, 'self_conf': 2.5738429340003695, 'swarm_conf': 2.3496618860561744, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7184607637800599, 'angle': 24.0541943406645, 'sigma': 0.0355310158298743}. Best is trial 7 with value: 38.32479480767784.
[I 2025-01-17 20:46:29,379] Trial 10 finished with value: 142.6514270493941 and parameters: {'factor': 0.9904245760701438, 'self_conf': 2.064839740399345, 'swarm_conf': 2.9538135359008253, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8543221764306126, 'angle': 21.620834699491557, 'sigma': 0.18610431344735573}. Best is trial 7 with value: 38.32479480767784.
[I 2025-01-17 20:46:33,042] Trial 11 finished with value: 51.78048849504494 and parameters: {'factor': 0.122709883108743, 'self_conf': 2.7952925689343724, 'swarm_conf': 2.6992498478895697, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.7147147067359101, 'angle': 21.232232801298007, 'sigma': 0.13513184846971482}. Best is trial 7 with value: 38.32479480767784.
[I 2025-01-17 20:46:36,869] Trial 12 finished with value: 81.62106245602943 and parameters: {'factor': 0.11283247491958037, 'self_conf': 2.692124875889245, 'swarm_conf': 2.8914228287091017, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8229806547886577, 'angle': 21.516116501267316, 'sigma': 0.13100795306603571}. Best is trial 7 with value: 38.32479480767784.
[I 2025-01-17 20:46:41,063] Trial 13 finished with value: 45.28607868554305 and parameters: {'factor': 0.28876255880921076, 'self_conf': 2.9540485443017594, 'swarm_conf': 2.7250319821317484, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7003070463500044, 'angle': 21.396648346384968, 'sigma': 0.0889525923142671}. Best is trial 7 with value: 38.32479480767784.
[I 2025-01-17 20:46:45,546] Trial 14 finished with value: 40.66102319815852 and parameters: {'factor': 0.30188580833584877, 'self_conf': 2.917159530531493, 'swarm_conf': 2.786736017248149, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.841216573270233, 'angle': 22.357528390918027, 'sigma': 0.07731371269410539}. Best is trial 7 with value: 38.32479480767784.
