Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.48879473273465485, 'self_conf': 2.0264347321107756, 'swarm_conf': 2.164754601859, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5908150666589067, 'angle': 21.205110466277542, 'sigma': 0.016006815320780035}
Mejor rendimiento encontrado:
50.17327841496562

Stderr:
[I 2025-01-18 11:58:42,092] A new study created in memory with name: no-name-4bf9f06c-4da9-4852-bd31-eab607c75978
[I 2025-01-18 11:58:48,002] Trial 0 finished with value: 65.19924193481242 and parameters: {'factor': 0.3674934126464553, 'self_conf': 2.9230081462032604, 'swarm_conf': 2.7522339777798783, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.7685879653964437, 'angle': 23.95872256111036, 'sigma': 0.032302507956125485}. Best is trial 0 with value: 65.19924193481242.
[I 2025-01-18 11:58:51,775] Trial 1 finished with value: 113.91745979286243 and parameters: {'factor': 0.673152370729755, 'self_conf': 2.4362866276150066, 'swarm_conf': 2.9822291985193194, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.6765996919873452, 'angle': 22.488016618245474, 'sigma': 0.0682247178848382}. Best is trial 0 with value: 65.19924193481242.
[I 2025-01-18 11:58:55,818] Trial 2 finished with value: 137.53939117036302 and parameters: {'factor': 0.617833713458486, 'self_conf': 2.8127016829016385, 'swarm_conf': 2.9240708379028306, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8756701948490994, 'angle': 20.27734839747793, 'sigma': 0.06284526800933772}. Best is trial 0 with value: 65.19924193481242.
[I 2025-01-18 11:59:00,188] Trial 3 finished with value: 63.483680392327074 and parameters: {'factor': 0.6919336668557378, 'self_conf': 2.669806622552599, 'swarm_conf': 2.5236188442964167, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.547925683157642, 'angle': 21.196359784339545, 'sigma': 0.04580950769706782}. Best is trial 3 with value: 63.483680392327074.
[I 2025-01-18 11:59:04,468] Trial 4 finished with value: 125.31173989499132 and parameters: {'factor': 0.26416683548751596, 'self_conf': 2.4238280629394673, 'swarm_conf': 2.3888105664647243, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8090172077534641, 'angle': 24.475966952418528, 'sigma': 0.06357095770020774}. Best is trial 3 with value: 63.483680392327074.
[I 2025-01-18 11:59:08,879] Trial 5 finished with value: 120.97808013700143 and parameters: {'factor': 0.14138159954216353, 'self_conf': 2.311055077111692, 'swarm_conf': 2.627888435154988, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7438003731529211, 'angle': 24.124052091788805, 'sigma': 0.04288113736845278}. Best is trial 3 with value: 63.483680392327074.
[I 2025-01-18 11:59:12,937] Trial 6 finished with value: 101.84713120151889 and parameters: {'factor': 0.2272430207170975, 'self_conf': 2.6298494258592715, 'swarm_conf': 2.481346183977866, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.666211292681638, 'angle': 23.125577967887086, 'sigma': 0.014403318029986935}. Best is trial 3 with value: 63.483680392327074.
[I 2025-01-18 11:59:17,157] Trial 7 finished with value: 64.29988703577864 and parameters: {'factor': 0.42895807378151674, 'self_conf': 2.086319993471717, 'swarm_conf': 2.193649341613879, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.7289986040448261, 'angle': 22.694421390140036, 'sigma': 0.04406287805663134}. Best is trial 3 with value: 63.483680392327074.
[I 2025-01-18 11:59:20,832] Trial 8 finished with value: 126.12988512651808 and parameters: {'factor': 0.9042644022671362, 'self_conf': 1.5286833055718225, 'swarm_conf': 2.6870054084015793, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7254336416172686, 'angle': 22.234600483050944, 'sigma': 0.03958865430671604}. Best is trial 3 with value: 63.483680392327074.
[I 2025-01-18 11:59:24,718] Trial 9 finished with value: 85.566020895956 and parameters: {'factor': 0.18612320437776098, 'self_conf': 1.9424245339835888, 'swarm_conf': 2.3091586055420943, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5295072588359042, 'angle': 22.245980886286638, 'sigma': 0.03816548201710351}. Best is trial 3 with value: 63.483680392327074.
[I 2025-01-18 11:59:28,330] Trial 10 finished with value: 79.37291677977737 and parameters: {'factor': 0.8559955498712265, 'self_conf': 1.834900514656181, 'swarm_conf': 2.002594821502962, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5069766487681295, 'angle': 20.727963007624606, 'sigma': 0.09345518579012338}. Best is trial 3 with value: 63.483680392327074.
[I 2025-01-18 11:59:32,242] Trial 11 finished with value: 50.17327841496562 and parameters: {'factor': 0.48879473273465485, 'self_conf': 2.0264347321107756, 'swarm_conf': 2.164754601859, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5908150666589067, 'angle': 21.205110466277542, 'sigma': 0.016006815320780035}. Best is trial 11 with value: 50.17327841496562.
[I 2025-01-18 11:59:36,008] Trial 12 finished with value: 62.460225502971696 and parameters: {'factor': 0.7382023697544018, 'self_conf': 2.625077733108914, 'swarm_conf': 2.1323103764809885, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6032889251945063, 'angle': 21.390519950844816, 'sigma': 0.01028610710525672}. Best is trial 11 with value: 50.17327841496562.
[I 2025-01-18 11:59:40,090] Trial 13 finished with value: 63.96754855482368 and parameters: {'factor': 0.48773564316767215, 'self_conf': 2.1802380703719324, 'swarm_conf': 2.0013908483531506, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6104462891538578, 'angle': 21.376832598094573, 'sigma': 0.01332265438712795}. Best is trial 11 with value: 50.17327841496562.
[I 2025-01-18 11:59:44,178] Trial 14 finished with value: 113.37687500313912 and parameters: {'factor': 0.7758676083951199, 'self_conf': 1.6964189500070879, 'swarm_conf': 2.2012732630688054, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6014845445958414, 'angle': 21.696887475419608, 'sigma': 0.02498821057206675}. Best is trial 11 with value: 50.17327841496562.
