Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 1.9732714012813914, 'distribution': 'levy', 'factor': 0.5461593697741652, 'self_conf': 2.1654786359128715, 'swarm_conf': 2.230668613100059, 'version': 'constriction', 'radius': 0.6267916986546668, 'angle': 23.17126990646491, 'sigma': 0.09578488717547422}
Mejor rendimiento encontrado:
0.027565950172851572

Stderr:
[I 2025-01-18 14:55:31,348] A new study created in memory with name: no-name-559e489b-2481-4e2c-88c3-3980d82354d0
[I 2025-01-18 14:55:35,788] Trial 0 finished with value: 2.3045169683501 and parameters: {'scale': 1.0102301609994297, 'distribution': 'uniform', 'factor': 0.9486822143042644, 'self_conf': 2.526473446941186, 'swarm_conf': 2.656112435286583, 'version': 'inertial', 'radius': 0.6787608497457462, 'angle': 24.068253344289943, 'sigma': 0.0522692343913794}. Best is trial 0 with value: 2.3045169683501.
[I 2025-01-18 14:55:37,187] Trial 1 finished with value: 3.2594267189427653 and parameters: {'scale': 1.7615519210750794, 'distribution': 'gaussian', 'factor': 0.6797482616423156, 'self_conf': 2.404971070758014, 'swarm_conf': 2.7705359796048215, 'version': 'inertial', 'radius': 0.7553391650161707, 'angle': 20.548122086608497, 'sigma': 0.06658597063559796}. Best is trial 0 with value: 2.3045169683501.
[I 2025-01-18 14:55:38,684] Trial 2 finished with value: 0.3070987844149933 and parameters: {'scale': 1.2197105049796728, 'distribution': 'levy', 'factor': 0.6603269745460276, 'self_conf': 2.0923324780525845, 'swarm_conf': 2.743711791026368, 'version': 'constriction', 'radius': 0.765266311249944, 'angle': 21.06187487769729, 'sigma': 0.05236332586168031}. Best is trial 2 with value: 0.3070987844149933.
[I 2025-01-18 14:55:40,265] Trial 3 finished with value: 0.9085311079667484 and parameters: {'scale': 1.3592777126588111, 'distribution': 'gaussian', 'factor': 0.7938220066687016, 'self_conf': 2.2263996645288264, 'swarm_conf': 2.9024467284705215, 'version': 'constriction', 'radius': 0.5343870675535617, 'angle': 21.46673471970664, 'sigma': 0.01664956596635542}. Best is trial 2 with value: 0.3070987844149933.
[I 2025-01-18 14:55:41,744] Trial 4 finished with value: 2.1045782014149106 and parameters: {'scale': 1.2691420107180427, 'distribution': 'gaussian', 'factor': 0.9015779770195098, 'self_conf': 2.39510459378429, 'swarm_conf': 2.5310466744635205, 'version': 'constriction', 'radius': 0.8522719903835234, 'angle': 21.559998041517566, 'sigma': 0.19037568050323891}. Best is trial 2 with value: 0.3070987844149933.
[I 2025-01-18 14:55:43,202] Trial 5 finished with value: 2.121829277495171 and parameters: {'scale': 0.7971398071363778, 'distribution': 'uniform', 'factor': 0.6561308287891061, 'self_conf': 2.689598103032341, 'swarm_conf': 2.766623798916662, 'version': 'constriction', 'radius': 0.5758411159525747, 'angle': 22.203235655141803, 'sigma': 0.14179125193099038}. Best is trial 2 with value: 0.3070987844149933.
[I 2025-01-18 14:55:44,677] Trial 6 finished with value: 2.320835732811953 and parameters: {'scale': 1.786344158341916, 'distribution': 'gaussian', 'factor': 0.8530867434013518, 'self_conf': 2.4833975507209045, 'swarm_conf': 2.973550344657033, 'version': 'inertial', 'radius': 0.6964474348610381, 'angle': 24.8274904060863, 'sigma': 0.14126969869899844}. Best is trial 2 with value: 0.3070987844149933.
[I 2025-01-18 14:55:46,128] Trial 7 finished with value: 1.7425110026429644 and parameters: {'scale': 1.1872768099173174, 'distribution': 'gaussian', 'factor': 0.6253973061704101, 'self_conf': 2.313016364304595, 'swarm_conf': 2.4332922213865498, 'version': 'inertial', 'radius': 0.5121914992782102, 'angle': 20.175589417458845, 'sigma': 0.13250512078798132}. Best is trial 2 with value: 0.3070987844149933.
[I 2025-01-18 14:55:47,589] Trial 8 finished with value: 2.1923450686576498 and parameters: {'scale': 0.49622725869480955, 'distribution': 'uniform', 'factor': 0.8382337248408525, 'self_conf': 2.224970278268874, 'swarm_conf': 2.3674066591310803, 'version': 'inertial', 'radius': 0.5703152890134658, 'angle': 22.964283750203222, 'sigma': 0.10891429206396006}. Best is trial 2 with value: 0.3070987844149933.
[I 2025-01-18 14:55:49,070] Trial 9 finished with value: 0.9796318145779619 and parameters: {'scale': 0.31747224144203934, 'distribution': 'levy', 'factor': 0.8983394432652778, 'self_conf': 2.83824674900704, 'swarm_conf': 2.659988509246726, 'version': 'constriction', 'radius': 0.8688299990866216, 'angle': 24.236966280490208, 'sigma': 0.011519132937364222}. Best is trial 2 with value: 0.3070987844149933.
[I 2025-01-18 14:55:50,612] Trial 10 finished with value: 1.1302582125253737 and parameters: {'scale': 0.7043121306036753, 'distribution': 'levy', 'factor': 0.5022269588039325, 'self_conf': 2.0241770055935175, 'swarm_conf': 2.015562576552527, 'version': 'constriction', 'radius': 0.7784451664602073, 'angle': 21.067317283875216, 'sigma': 0.06493606942228806}. Best is trial 2 with value: 0.3070987844149933.
