Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.875141322502118, 'self_conf': 2.876060625366649, 'swarm_conf': 2.3205339938025387, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8507570480235759, 'angle': 23.728709913106872, 'sigma': 0.14719306994513615}
Mejor rendimiento encontrado:
8.208407367782545

Stderr:
[I 2025-01-15 18:54:23,205] A new study created in memory with name: no-name-ad01964a-b7de-4949-8da4-9679ba8e6c86
[I 2025-01-15 18:54:26,808] Trial 0 finished with value: 8.70588420353955 and parameters: {'factor': 0.6365116825127017, 'self_conf': 2.4557063607636382, 'swarm_conf': 2.1681935704747826, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8590560303546244, 'angle': 20.07937982044499, 'sigma': 0.13112525647094714}. Best is trial 0 with value: 8.70588420353955.
[I 2025-01-15 18:54:28,315] Trial 1 finished with value: 21.712723387816283 and parameters: {'factor': 0.7244814755215534, 'self_conf': 2.94391828561443, 'swarm_conf': 2.677385788849631, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.7234104193974787, 'angle': 21.528425338030786, 'sigma': 0.05977135965881058}. Best is trial 0 with value: 8.70588420353955.
[I 2025-01-15 18:54:29,824] Trial 2 finished with value: 9.700840730964272 and parameters: {'factor': 0.6936433401471713, 'self_conf': 2.6182396208984278, 'swarm_conf': 2.704929719758124, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.71125524139436, 'angle': 24.237329621293284, 'sigma': 0.06991472528148232}. Best is trial 0 with value: 8.70588420353955.
[I 2025-01-15 18:54:31,307] Trial 3 finished with value: 32.1736013668189 and parameters: {'factor': 0.9517793652733061, 'self_conf': 2.4526662618205157, 'swarm_conf': 2.555230299175139, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8704730309264476, 'angle': 21.69752180414349, 'sigma': 0.12328477008068671}. Best is trial 0 with value: 8.70588420353955.
[I 2025-01-15 18:54:32,968] Trial 4 finished with value: 32.61136158854096 and parameters: {'factor': 0.7669219056195073, 'self_conf': 2.0864045988609052, 'swarm_conf': 2.1706024973814073, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8883204781131436, 'angle': 22.555020763075447, 'sigma': 0.0751164666943359}. Best is trial 0 with value: 8.70588420353955.
[I 2025-01-15 18:54:34,758] Trial 5 finished with value: 26.216820232949757 and parameters: {'factor': 0.5788361095483715, 'self_conf': 2.1834008729118697, 'swarm_conf': 2.8016546080484175, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.7358096272492498, 'angle': 20.839781864221187, 'sigma': 0.10584969768092647}. Best is trial 0 with value: 8.70588420353955.
[I 2025-01-15 18:54:36,247] Trial 6 finished with value: 18.059325731987414 and parameters: {'factor': 0.8049269569159152, 'self_conf': 2.748346361081678, 'swarm_conf': 2.4850902072801944, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8398482241549174, 'angle': 20.094986300940334, 'sigma': 0.06187956890878326}. Best is trial 0 with value: 8.70588420353955.
[I 2025-01-15 18:54:37,751] Trial 7 finished with value: 27.782802002819302 and parameters: {'factor': 0.7967706256671211, 'self_conf': 2.067105091251728, 'swarm_conf': 2.521778050265177, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7751610077891365, 'angle': 22.61156833181193, 'sigma': 0.11619230546390515}. Best is trial 0 with value: 8.70588420353955.
[I 2025-01-15 18:54:39,213] Trial 8 finished with value: 10.291270518290634 and parameters: {'factor': 0.724169133568993, 'self_conf': 2.3598246718295077, 'swarm_conf': 2.6990031945085806, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.77111437949177, 'angle': 23.578928091689832, 'sigma': 0.05518167152370959}. Best is trial 0 with value: 8.70588420353955.
[I 2025-01-15 18:54:40,776] Trial 9 finished with value: 10.944563285894255 and parameters: {'factor': 0.5217180607719671, 'self_conf': 2.0536320648883253, 'swarm_conf': 2.596639228084201, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8785085356609306, 'angle': 21.96721413813026, 'sigma': 0.1233576532585328}. Best is trial 0 with value: 8.70588420353955.
[I 2025-01-15 18:54:42,309] Trial 10 finished with value: 10.944539552393618 and parameters: {'factor': 0.6100781883472464, 'self_conf': 2.3149990043764324, 'swarm_conf': 2.012130676394282, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8269029789918678, 'angle': 20.184403883806603, 'sigma': 0.14996409652700823}. Best is trial 0 with value: 8.70588420353955.
