Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.3965650716732098, 'self_conf': 2.6566742927951674, 'swarm_conf': 2.564003019391465, 'version': 'constriction', 'distribution': 'gaussian', 'pairing': 'tournament_2_100', 'crossover': 'blend', 'mating_pool_factor': 0.4800131870285026}
Mejor rendimiento encontrado:
2.0215512136174176

Stderr:
[I 2025-01-15 21:52:48,304] A new study created in memory with name: no-name-256b530d-d731-4f38-943b-c10b12dee69d
[I 2025-01-15 21:52:51,415] Trial 0 finished with value: 7.058722830203909 and parameters: {'factor': 0.6981871238869488, 'self_conf': 2.019318241223371, 'swarm_conf': 2.9136067814330096, 'version': 'inertial', 'distribution': 'uniform', 'pairing': 'random', 'crossover': 'uniform', 'mating_pool_factor': 0.18778394383688346}. Best is trial 0 with value: 7.058722830203909.
[I 2025-01-15 21:52:52,612] Trial 1 finished with value: 21.7814391346825 and parameters: {'factor': 0.7980946556883455, 'self_conf': 2.284995781173506, 'swarm_conf': 2.7648294698866644, 'version': 'inertial', 'distribution': 'uniform', 'pairing': 'cost', 'crossover': 'blend', 'mating_pool_factor': 0.6144796539381079}. Best is trial 0 with value: 7.058722830203909.
[I 2025-01-15 21:52:53,953] Trial 2 finished with value: 8.417993290479107 and parameters: {'factor': 0.13175639558884955, 'self_conf': 2.166116339995816, 'swarm_conf': 2.099988731139828, 'version': 'constriction', 'distribution': 'uniform', 'pairing': 'tournament_2_100', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.7518246523028895}. Best is trial 0 with value: 7.058722830203909.
[I 2025-01-15 21:52:55,199] Trial 3 finished with value: 51.880739714933895 and parameters: {'factor': 0.8926236639066977, 'self_conf': 2.113112181589636, 'swarm_conf': 2.8366131224997826, 'version': 'inertial', 'distribution': 'levy', 'pairing': 'rank', 'crossover': 'single', 'mating_pool_factor': 0.137471625412576}. Best is trial 0 with value: 7.058722830203909.
[I 2025-01-15 21:52:56,492] Trial 4 finished with value: 4.974795285462932 and parameters: {'factor': 0.2595035299011422, 'self_conf': 2.439349113624049, 'swarm_conf': 2.1355268034682124, 'version': 'inertial', 'distribution': 'levy', 'pairing': 'random', 'crossover': 'single', 'mating_pool_factor': 0.2710134778630302}. Best is trial 4 with value: 4.974795285462932.
[I 2025-01-15 21:52:58,161] Trial 5 finished with value: 4.974795285466449 and parameters: {'factor': 0.6181063199594117, 'self_conf': 2.898743249293868, 'swarm_conf': 2.8268657231559513, 'version': 'constriction', 'distribution': 'levy', 'pairing': 'tournament_2_100', 'crossover': 'uniform', 'mating_pool_factor': 0.1405934628272883}. Best is trial 4 with value: 4.974795285462932.
[I 2025-01-15 21:52:59,595] Trial 6 finished with value: 2.2508729444476447 and parameters: {'factor': 0.32958835302608036, 'self_conf': 2.9978153846881237, 'swarm_conf': 2.02907683211252, 'version': 'constriction', 'distribution': 'gaussian', 'pairing': 'tournament_2_100', 'crossover': 'blend', 'mating_pool_factor': 0.6427486968189343}. Best is trial 6 with value: 2.2508729444476447.
[I 2025-01-15 21:53:00,864] Trial 7 finished with value: 7.4484878770602965 and parameters: {'factor': 0.6181494677132882, 'self_conf': 2.374486985280827, 'swarm_conf': 2.2455668440081435, 'version': 'constriction', 'distribution': 'gaussian', 'pairing': 'rank', 'crossover': 'two', 'mating_pool_factor': 0.7831993921663091}. Best is trial 6 with value: 2.2508729444476447.
[I 2025-01-15 21:53:02,057] Trial 8 finished with value: 38.35834495259948 and parameters: {'factor': 0.77765259077248, 'self_conf': 2.723901678914292, 'swarm_conf': 2.924325316038067, 'version': 'inertial', 'distribution': 'gaussian', 'pairing': 'random', 'crossover': 'uniform', 'mating_pool_factor': 0.7223822022482276}. Best is trial 6 with value: 2.2508729444476447.
[I 2025-01-15 21:53:03,411] Trial 9 finished with value: 3.1884245265154174 and parameters: {'factor': 0.14053002636173018, 'self_conf': 2.951155159045285, 'swarm_conf': 2.38525042002506, 'version': 'constriction', 'distribution': 'levy', 'pairing': 'random', 'crossover': 'linear_0.5_0.5', 'mating_pool_factor': 0.4380140836624701}. Best is trial 6 with value: 2.2508729444476447.
[I 2025-01-15 21:53:04,941] Trial 10 finished with value: 2.0215512136174176 and parameters: {'factor': 0.3965650716732098, 'self_conf': 2.6566742927951674, 'swarm_conf': 2.564003019391465, 'version': 'constriction', 'distribution': 'gaussian', 'pairing': 'tournament_2_100', 'crossover': 'blend', 'mating_pool_factor': 0.4800131870285026}. Best is trial 10 with value: 2.0215512136174176.
[I 2025-01-15 21:53:06,442] Trial 11 finished with value: 3.8109001326020486 and parameters: {'factor': 0.35890155106190375, 'self_conf': 2.637547375849919, 'swarm_conf': 2.5766307115732374, 'version': 'constriction', 'distribution': 'gaussian', 'pairing': 'tournament_2_100', 'crossover': 'blend', 'mating_pool_factor': 0.5010303306965496}. Best is trial 10 with value: 2.0215512136174176.
[I 2025-01-15 21:53:07,755] Trial 12 finished with value: 3.978297342081463 and parameters: {'factor': 0.44289445170631786, 'self_conf': 2.718440079542504, 'swarm_conf': 2.5627942901174627, 'version': 'constriction', 'distribution': 'gaussian', 'pairing': 'tournament_2_100', 'crossover': 'blend', 'mating_pool_factor': 0.8990563394268732}. Best is trial 10 with value: 2.0215512136174176.
[I 2025-01-15 21:53:09,264] Trial 13 finished with value: 3.8065901914924005 and parameters: {'factor': 0.32491599654719744, 'self_conf': 2.6018808236568316, 'swarm_conf': 2.4075877086424278, 'version': 'constriction', 'distribution': 'gaussian', 'pairing': 'tournament_2_100', 'crossover': 'blend', 'mating_pool_factor': 0.42339515284812484}. Best is trial 10 with value: 2.0215512136174176.
[I 2025-01-15 21:53:10,511] Trial 14 finished with value: 3.979749807523781 and parameters: {'factor': 0.4877328242801307, 'self_conf': 2.850607508034187, 'swarm_conf': 2.0005985761545864, 'version': 'constriction', 'distribution': 'gaussian', 'pairing': 'cost', 'crossover': 'blend', 'mating_pool_factor': 0.5571744531579761}. Best is trial 10 with value: 2.0215512136174176.
