Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.1399836979723491, 'distribution': 'gaussian', 'factor': 0.736222954640493, 'self_conf': 1.9934384528011502, 'swarm_conf': 1.9712876676563744, 'version': 'inertial', 'radius': 0.5900410154721194, 'angle': 12.70828955618993, 'sigma': 0.17767712137658212}
Mejor rendimiento encontrado:
10.695928880031655

Stderr:
[I 2025-01-16 10:44:15,859] A new study created in memory with name: no-name-3032f9f3-776e-4f37-9d09-2db62a2d765e
[I 2025-01-16 10:44:19,486] Trial 0 finished with value: 14.019708036298375 and parameters: {'scale': 1.4238752151425524, 'distribution': 'levy', 'factor': 0.9659743181100597, 'self_conf': 1.7163189250231918, 'swarm_conf': 1.6622916638514884, 'version': 'inertial', 'radius': 0.8705584921347584, 'angle': 12.929628114781629, 'sigma': 0.1407478814356315}. Best is trial 0 with value: 14.019708036298375.
[I 2025-01-16 10:44:21,401] Trial 1 finished with value: 10.76951091906175 and parameters: {'scale': 0.8850921843218544, 'distribution': 'uniform', 'factor': 0.9773028780671387, 'self_conf': 2.0887717866127615, 'swarm_conf': 2.8658324686225063, 'version': 'inertial', 'radius': 0.5637508835100203, 'angle': 11.8510851174998, 'sigma': 0.03383875057053138}. Best is trial 1 with value: 10.76951091906175.
[I 2025-01-16 10:44:23,411] Trial 2 finished with value: 11.495234326795037 and parameters: {'scale': 0.7548559397485979, 'distribution': 'levy', 'factor': 0.8776493407081551, 'self_conf': 1.0748464503598887, 'swarm_conf': 2.426145827544727, 'version': 'constriction', 'radius': 0.5308062330556915, 'angle': 13.546569127411729, 'sigma': 0.012752338538696194}. Best is trial 1 with value: 10.76951091906175.
[I 2025-01-16 10:44:25,252] Trial 3 finished with value: 17.38257536704785 and parameters: {'scale': 1.4845052624105481, 'distribution': 'gaussian', 'factor': 0.6644693092196499, 'self_conf': 1.3292250595447868, 'swarm_conf': 1.259226860734885, 'version': 'constriction', 'radius': 0.8901832468028406, 'angle': 20.161999334903513, 'sigma': 0.058232151753378834}. Best is trial 1 with value: 10.76951091906175.
[I 2025-01-16 10:44:27,129] Trial 4 finished with value: 12.633204252157876 and parameters: {'scale': 0.6001230678482925, 'distribution': 'levy', 'factor': 0.6606383233123598, 'self_conf': 1.224369142494661, 'swarm_conf': 2.8293473631775226, 'version': 'inertial', 'radius': 0.7988013455234384, 'angle': 22.540292987284907, 'sigma': 0.05433081265344295}. Best is trial 1 with value: 10.76951091906175.
[I 2025-01-16 10:44:28,941] Trial 5 finished with value: 11.742513172643136 and parameters: {'scale': 0.9222293467450134, 'distribution': 'uniform', 'factor': 0.6052227789192642, 'self_conf': 1.6340524845429558, 'swarm_conf': 2.101602154429617, 'version': 'inertial', 'radius': 0.7949460203286031, 'angle': 23.014555462555958, 'sigma': 0.09044217301093246}. Best is trial 1 with value: 10.76951091906175.
[I 2025-01-16 10:44:30,821] Trial 6 finished with value: 13.663141913440311 and parameters: {'scale': 0.8923040842695912, 'distribution': 'gaussian', 'factor': 0.7794571305545448, 'self_conf': 2.3876133044107766, 'swarm_conf': 1.5033985677925787, 'version': 'constriction', 'radius': 0.7044822676242304, 'angle': 11.635716915657044, 'sigma': 0.037735109408208005}. Best is trial 1 with value: 10.76951091906175.
[I 2025-01-16 10:44:32,753] Trial 7 finished with value: 10.695928880031655 and parameters: {'scale': 0.1399836979723491, 'distribution': 'gaussian', 'factor': 0.736222954640493, 'self_conf': 1.9934384528011502, 'swarm_conf': 1.9712876676563744, 'version': 'inertial', 'radius': 0.5900410154721194, 'angle': 12.70828955618993, 'sigma': 0.17767712137658212}. Best is trial 7 with value: 10.695928880031655.
[I 2025-01-16 10:44:34,658] Trial 8 finished with value: 12.274163928932204 and parameters: {'scale': 0.37481435998398427, 'distribution': 'levy', 'factor': 0.7904560302482231, 'self_conf': 1.2388680218936265, 'swarm_conf': 1.4978639105538603, 'version': 'inertial', 'radius': 0.6578863776680132, 'angle': 18.4381513089456, 'sigma': 0.09533524335170677}. Best is trial 7 with value: 10.695928880031655.
[I 2025-01-16 10:44:36,647] Trial 9 finished with value: 10.955894025420235 and parameters: {'scale': 0.9555602753920279, 'distribution': 'levy', 'factor': 0.792512312822242, 'self_conf': 2.645622675661439, 'swarm_conf': 1.6201367847014403, 'version': 'constriction', 'radius': 0.5322648118494112, 'angle': 11.924081451958951, 'sigma': 0.13174773759391073}. Best is trial 7 with value: 10.695928880031655.
[I 2025-01-16 10:44:38,611] Trial 10 finished with value: 16.667163304515498 and parameters: {'scale': 1.9953441371828449, 'distribution': 'gaussian', 'factor': 0.5297021472955301, 'self_conf': 2.993267922824063, 'swarm_conf': 2.1458571620446456, 'version': 'inertial', 'radius': 0.6174787523184677, 'angle': 15.591559503755844, 'sigma': 0.19530101200907257}. Best is trial 7 with value: 10.695928880031655.
