Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.136539829916011, 'self_conf': 2.8973646988697013, 'swarm_conf': 2.9961703209417037, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8648523481771396, 'angle': 21.63437059079382, 'sigma': 0.17256532733759447}
Mejor rendimiento encontrado:
6.965798721323591

Stderr:
[I 2025-01-16 11:10:16,285] A new study created in memory with name: no-name-e41489ca-13ce-422d-942f-865a24de8c14
[I 2025-01-16 11:10:21,702] Trial 0 finished with value: 12.603952776661824 and parameters: {'factor': 0.5212832293296319, 'self_conf': 2.3335566723421817, 'swarm_conf': 2.8794092179826674, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8709328535221673, 'angle': 23.880196122058294, 'sigma': 0.40150439117018255}. Best is trial 0 with value: 12.603952776661824.
[I 2025-01-16 11:10:24,809] Trial 1 finished with value: 14.692020861507144 and parameters: {'factor': 0.7117839691626308, 'self_conf': 2.536296386442816, 'swarm_conf': 2.5256192980572076, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.4201180645408841, 'angle': 23.825652596385435, 'sigma': 0.02840183439604764}. Best is trial 0 with value: 12.603952776661824.
[I 2025-01-16 11:10:28,052] Trial 2 finished with value: 16.406956764670312 and parameters: {'factor': 0.11419572133398842, 'self_conf': 2.133127843807816, 'swarm_conf': 2.6037355187860705, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.6213974245196645, 'angle': 24.989551644996315, 'sigma': 0.2788062751056758}. Best is trial 0 with value: 12.603952776661824.
[I 2025-01-16 11:10:31,352] Trial 3 finished with value: 15.919299504975228 and parameters: {'factor': 0.7567127516567533, 'self_conf': 2.1573160366063373, 'swarm_conf': 2.3419592950044854, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.11818728411529672, 'angle': 22.3947326554323, 'sigma': 0.3297908019640359}. Best is trial 0 with value: 12.603952776661824.
[I 2025-01-16 11:10:34,647] Trial 4 finished with value: 12.188239732778802 and parameters: {'factor': 0.46703113366036875, 'self_conf': 2.3903695481064804, 'swarm_conf': 2.0966640197466093, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.40689757044562624, 'angle': 20.13717112430396, 'sigma': 0.10894723240960248}. Best is trial 4 with value: 12.188239732778802.
[I 2025-01-16 11:10:37,995] Trial 5 finished with value: 19.928203560076795 and parameters: {'factor': 0.8627520485186223, 'self_conf': 2.191774168460154, 'swarm_conf': 2.2523544944670433, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.6363340984254308, 'angle': 24.268152285389775, 'sigma': 0.023539049992843286}. Best is trial 4 with value: 12.188239732778802.
[I 2025-01-16 11:10:41,708] Trial 6 finished with value: 12.934452617397268 and parameters: {'factor': 0.3711730801250728, 'self_conf': 2.2318475759701992, 'swarm_conf': 2.808371656893676, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.16158723502437358, 'angle': 22.268922423775166, 'sigma': 0.3289291902573992}. Best is trial 4 with value: 12.188239732778802.
[I 2025-01-16 11:10:45,185] Trial 7 finished with value: 13.431922047585433 and parameters: {'factor': 0.329422294713703, 'self_conf': 2.1375060264629058, 'swarm_conf': 2.3378098134056486, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.22067373175227598, 'angle': 24.556669902571652, 'sigma': 0.3926753270731838}. Best is trial 4 with value: 12.188239732778802.
[I 2025-01-16 11:10:48,773] Trial 8 finished with value: 11.563579317851387 and parameters: {'factor': 0.23814847274907677, 'self_conf': 2.3014728187944407, 'swarm_conf': 2.9619183481727758, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.45341938989311503, 'angle': 22.768483243100476, 'sigma': 0.14398789015672117}. Best is trial 8 with value: 11.563579317851387.
[I 2025-01-16 11:10:52,370] Trial 9 finished with value: 13.929410424538474 and parameters: {'factor': 0.4008724621328714, 'self_conf': 2.008069855536143, 'swarm_conf': 2.791935256233441, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.23080042244186094, 'angle': 20.521760710052494, 'sigma': 0.023919354462355345}. Best is trial 8 with value: 11.563579317851387.
[I 2025-01-16 11:10:55,705] Trial 10 finished with value: 6.965798721323591 and parameters: {'factor': 0.136539829916011, 'self_conf': 2.8973646988697013, 'swarm_conf': 2.9961703209417037, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8648523481771396, 'angle': 21.63437059079382, 'sigma': 0.17256532733759447}. Best is trial 10 with value: 6.965798721323591.
