Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 1.0997613504278183, 'distribution': 'levy', 'factor': 0.5199470517143484, 'self_conf': 2.652822209934809, 'swarm_conf': 2.9880983275927595, 'version': 'constriction', 'radius': 0.5250504082377486, 'angle': 15.33189633339384, 'sigma': 0.15527932862258437}
Mejor rendimiento encontrado:
4.091900762528796

Stderr:
[I 2025-01-16 11:47:00,882] A new study created in memory with name: no-name-88a4fb6f-22ba-44e9-989f-352a526f4e70
[I 2025-01-16 11:47:05,226] Trial 0 finished with value: 11.751699244575287 and parameters: {'scale': 0.3028649044756936, 'distribution': 'levy', 'factor': 0.8095392138219917, 'self_conf': 2.6124812453046804, 'swarm_conf': 2.8695988008417, 'version': 'constriction', 'radius': 0.8060517242184086, 'angle': 18.454227920339026, 'sigma': 0.1468214533125511}. Best is trial 0 with value: 11.751699244575287.
[I 2025-01-16 11:47:07,530] Trial 1 finished with value: 13.807044860111079 and parameters: {'scale': 0.5141506812201518, 'distribution': 'uniform', 'factor': 0.974143561847355, 'self_conf': 2.275663648445944, 'swarm_conf': 2.5629770817622934, 'version': 'constriction', 'radius': 0.8206032464055326, 'angle': 20.676908044381186, 'sigma': 0.08426503107385853}. Best is trial 0 with value: 11.751699244575287.
[I 2025-01-16 11:47:09,898] Trial 2 finished with value: 18.037044642191013 and parameters: {'scale': 0.3571693804700925, 'distribution': 'gaussian', 'factor': 0.534587785299611, 'self_conf': 2.2914109259705713, 'swarm_conf': 2.1115292522663567, 'version': 'inertial', 'radius': 0.6921896454768075, 'angle': 22.96281976621494, 'sigma': 0.12337188736472747}. Best is trial 0 with value: 11.751699244575287.
[I 2025-01-16 11:47:12,224] Trial 3 finished with value: 30.728899066895966 and parameters: {'scale': 1.9651743624126372, 'distribution': 'uniform', 'factor': 0.948831884353112, 'self_conf': 2.118132912528016, 'swarm_conf': 2.5857165389217767, 'version': 'inertial', 'radius': 0.8580868829903068, 'angle': 17.17102857587882, 'sigma': 0.050025999987185606}. Best is trial 0 with value: 11.751699244575287.
[I 2025-01-16 11:47:14,544] Trial 4 finished with value: 13.280706243615047 and parameters: {'scale': 0.23632139690543696, 'distribution': 'gaussian', 'factor': 0.8874318535944377, 'self_conf': 2.418733607148131, 'swarm_conf': 2.5736584935132973, 'version': 'constriction', 'radius': 0.7375525467494604, 'angle': 18.030860291889613, 'sigma': 0.07490476483651458}. Best is trial 0 with value: 11.751699244575287.
[I 2025-01-16 11:47:16,844] Trial 5 finished with value: 22.27830357286319 and parameters: {'scale': 0.7871073819605121, 'distribution': 'uniform', 'factor': 0.7044306514321902, 'self_conf': 2.264778994030632, 'swarm_conf': 2.210474841598367, 'version': 'inertial', 'radius': 0.7353281397244101, 'angle': 16.77973357743136, 'sigma': 0.06968851301342895}. Best is trial 0 with value: 11.751699244575287.
[I 2025-01-16 11:47:19,183] Trial 6 finished with value: 15.171255631818722 and parameters: {'scale': 1.6033558066036215, 'distribution': 'uniform', 'factor': 0.9128894202242521, 'self_conf': 2.833667201938843, 'swarm_conf': 2.649565915108902, 'version': 'inertial', 'radius': 0.5621597530715907, 'angle': 20.87029476741824, 'sigma': 0.17633891619040032}. Best is trial 0 with value: 11.751699244575287.
[I 2025-01-16 11:47:21,495] Trial 7 finished with value: 17.857174620461286 and parameters: {'scale': 0.5748344147833045, 'distribution': 'gaussian', 'factor': 0.6869363047453627, 'self_conf': 2.0704294124438793, 'swarm_conf': 2.365673097247243, 'version': 'constriction', 'radius': 0.8955731640123648, 'angle': 23.13748049512912, 'sigma': 0.11751786326893805}. Best is trial 0 with value: 11.751699244575287.
[I 2025-01-16 11:47:23,797] Trial 8 finished with value: 25.705629494940197 and parameters: {'scale': 1.2116892887077937, 'distribution': 'uniform', 'factor': 0.8674841893839697, 'self_conf': 2.603419469896149, 'swarm_conf': 2.767096812311226, 'version': 'inertial', 'radius': 0.7994188044391279, 'angle': 23.313987003600282, 'sigma': 0.1993434229610606}. Best is trial 0 with value: 11.751699244575287.
[I 2025-01-16 11:47:26,132] Trial 9 finished with value: 21.23794268009175 and parameters: {'scale': 0.5419716712417446, 'distribution': 'gaussian', 'factor': 0.7672882445166902, 'self_conf': 2.9479409743409306, 'swarm_conf': 2.710674177247453, 'version': 'inertial', 'radius': 0.670597103951751, 'angle': 17.961064815845408, 'sigma': 0.060703533083845414}. Best is trial 0 with value: 11.751699244575287.
[I 2025-01-16 11:47:28,517] Trial 10 finished with value: 4.1577467471215535 and parameters: {'scale': 1.0244950764965153, 'distribution': 'levy', 'factor': 0.5827015339258872, 'self_conf': 2.662426134268859, 'swarm_conf': 2.9881633476265366, 'version': 'constriction', 'radius': 0.588276184334124, 'angle': 15.235794567607591, 'sigma': 0.15756756584127227}. Best is trial 10 with value: 4.1577467471215535.
