Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5054080298427472, 'self_conf': 2.3178176813863747, 'swarm_conf': 2.2468448853417327, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
5.591287272349854

Stderr:
[I 2025-01-16 13:00:30,619] A new study created in memory with name: no-name-c3e65aab-e913-4d98-aa33-c445c455412c
[I 2025-01-16 13:00:33,927] Trial 0 finished with value: 31.98336339778643 and parameters: {'factor': 0.9404868300033715, 'self_conf': 2.4592551997837218, 'swarm_conf': 2.7080339564210947, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 0 with value: 31.98336339778643.
[I 2025-01-16 13:00:35,189] Trial 1 finished with value: 20.092182040128776 and parameters: {'factor': 0.598545119288604, 'self_conf': 2.607513190782346, 'swarm_conf': 2.7697402961031274, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 1 with value: 20.092182040128776.
[I 2025-01-16 13:00:36,472] Trial 2 finished with value: 8.457744427159653 and parameters: {'factor': 0.9501118628639189, 'self_conf': 2.5434270761574593, 'swarm_conf': 2.9544308248271145, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 8.457744427159653.
[I 2025-01-16 13:00:37,736] Trial 3 finished with value: 26.13392177335788 and parameters: {'factor': 0.61914774346369, 'self_conf': 2.5249534864643435, 'swarm_conf': 2.0765856164579573, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 2 with value: 8.457744427159653.
[I 2025-01-16 13:00:38,999] Trial 4 finished with value: 28.41374269111874 and parameters: {'factor': 0.8481318716845152, 'self_conf': 2.6008466722645114, 'swarm_conf': 2.3588779568522784, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 2 with value: 8.457744427159653.
[I 2025-01-16 13:00:40,258] Trial 5 finished with value: 18.14478771487348 and parameters: {'factor': 0.5490162351108485, 'self_conf': 2.8711769418366577, 'swarm_conf': 2.0645084430457734, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 2 with value: 8.457744427159653.
[I 2025-01-16 13:00:41,473] Trial 6 finished with value: 28.26501171972625 and parameters: {'factor': 0.5795699649835586, 'self_conf': 2.8254083638003644, 'swarm_conf': 2.249528110394553, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 2 with value: 8.457744427159653.
[I 2025-01-16 13:00:42,752] Trial 7 finished with value: 8.95462527269822 and parameters: {'factor': 0.5881344446152992, 'self_conf': 2.0868789939890124, 'swarm_conf': 2.1203500166971625, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 8.457744427159653.
[I 2025-01-16 13:00:43,973] Trial 8 finished with value: 19.96576332556698 and parameters: {'factor': 0.7572609123576325, 'self_conf': 2.6708179432720605, 'swarm_conf': 2.5248988741809413, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 8.457744427159653.
[I 2025-01-16 13:00:45,222] Trial 9 finished with value: 31.98559039471061 and parameters: {'factor': 0.8853076971364457, 'self_conf': 2.5052262221975843, 'swarm_conf': 2.4785521203708627, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 2 with value: 8.457744427159653.
[I 2025-01-16 13:00:46,427] Trial 10 finished with value: 29.96043082904333 and parameters: {'factor': 0.751717485977853, 'self_conf': 2.1880177254059183, 'swarm_conf': 2.9736012779253302, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 8.457744427159653.
[I 2025-01-16 13:00:47,714] Trial 11 finished with value: 9.700840731021433 and parameters: {'factor': 0.9848071702881032, 'self_conf': 2.047769402432688, 'swarm_conf': 2.9577649751186934, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 8.457744427159653.
[I 2025-01-16 13:00:48,995] Trial 12 finished with value: 9.30171151016481 and parameters: {'factor': 0.6657523964978611, 'self_conf': 2.3045146107864487, 'swarm_conf': 2.7451922097743005, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 8.457744427159653.
[I 2025-01-16 13:00:50,277] Trial 13 finished with value: 5.591287272349854 and parameters: {'factor': 0.5054080298427472, 'self_conf': 2.3178176813863747, 'swarm_conf': 2.2468448853417327, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 13 with value: 5.591287272349854.
[I 2025-01-16 13:00:51,581] Trial 14 finished with value: 6.9647120201412775 and parameters: {'factor': 0.8155904176584506, 'self_conf': 2.3185178350500575, 'swarm_conf': 2.2775325777885214, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 13 with value: 5.591287272349854.
