Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.6276633655183544, 'self_conf': 2.1268361707145393, 'swarm_conf': 2.82394806578001, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5087947049856167, 'angle': 18.40265221313626, 'sigma': 0.06979540773238127}
Mejor rendimiento encontrado:
8.955610571861564

Stderr:
[I 2025-01-16 15:01:43,429] A new study created in memory with name: no-name-035d4e5f-c9c5-4ca5-ae8d-0507296459c4
[I 2025-01-16 15:01:46,681] Trial 0 finished with value: 11.442125038295975 and parameters: {'factor': 0.9355832145064283, 'self_conf': 2.5053512571047722, 'swarm_conf': 2.50630436698418, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7115563992740868, 'angle': 20.831970898399003, 'sigma': 0.17984303576578972}. Best is trial 0 with value: 11.442125038295975.
[I 2025-01-16 15:01:48,275] Trial 1 finished with value: 8.955610571861564 and parameters: {'factor': 0.6276633655183544, 'self_conf': 2.1268361707145393, 'swarm_conf': 2.82394806578001, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5087947049856167, 'angle': 18.40265221313626, 'sigma': 0.06979540773238127}. Best is trial 1 with value: 8.955610571861564.
[I 2025-01-16 15:01:49,928] Trial 2 finished with value: 12.934457725456268 and parameters: {'factor': 0.513709610143035, 'self_conf': 2.8506758154313356, 'swarm_conf': 2.203141566412568, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.637369469641574, 'angle': 21.12755018266587, 'sigma': 0.18079786139988566}. Best is trial 1 with value: 8.955610571861564.
[I 2025-01-16 15:01:51,485] Trial 3 finished with value: 13.743909729525567 and parameters: {'factor': 0.9069954568910633, 'self_conf': 2.361319671479467, 'swarm_conf': 2.016314134614127, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.500504945216764, 'angle': 16.93583649068065, 'sigma': 0.03634854003821328}. Best is trial 1 with value: 8.955610571861564.
[I 2025-01-16 15:01:53,021] Trial 4 finished with value: 13.927854609529376 and parameters: {'factor': 0.7740901215399365, 'self_conf': 2.941638148869207, 'swarm_conf': 2.5082316458426206, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.5703869130107162, 'angle': 15.094902364685826, 'sigma': 0.057468628055128916}. Best is trial 1 with value: 8.955610571861564.
[I 2025-01-16 15:01:54,529] Trial 5 finished with value: 12.64169274636391 and parameters: {'factor': 0.9957964431738503, 'self_conf': 2.8544829185377787, 'swarm_conf': 2.7002064046629575, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8737978595236198, 'angle': 16.254816226792144, 'sigma': 0.12675960955024637}. Best is trial 1 with value: 8.955610571861564.
[I 2025-01-16 15:01:56,162] Trial 6 finished with value: 12.685699784146422 and parameters: {'factor': 0.5068637394659332, 'self_conf': 2.3543850415018457, 'swarm_conf': 2.4922889585334613, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5753791546546674, 'angle': 20.407278739715473, 'sigma': 0.10411863432581019}. Best is trial 1 with value: 8.955610571861564.
[I 2025-01-16 15:01:57,753] Trial 7 finished with value: 11.96095477763135 and parameters: {'factor': 0.6771528714228323, 'self_conf': 2.3680379951862935, 'swarm_conf': 2.6547466638031016, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5379025965414779, 'angle': 17.768487130016883, 'sigma': 0.18801451339226002}. Best is trial 1 with value: 8.955610571861564.
[I 2025-01-16 15:01:59,365] Trial 8 finished with value: 11.193345361051046 and parameters: {'factor': 0.5492610447878326, 'self_conf': 2.423185005139415, 'swarm_conf': 2.372713388919866, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5685872755956234, 'angle': 21.43755535343054, 'sigma': 0.1849927573310018}. Best is trial 1 with value: 8.955610571861564.
[I 2025-01-16 15:02:00,933] Trial 9 finished with value: 16.839385729786386 and parameters: {'factor': 0.5389912367660796, 'self_conf': 2.5617383611726776, 'swarm_conf': 2.7201593483229116, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5901093353694588, 'angle': 20.25485770885895, 'sigma': 0.12218532985219914}. Best is trial 1 with value: 8.955610571861564.
[I 2025-01-16 15:02:02,527] Trial 10 finished with value: 16.622368660856974 and parameters: {'factor': 0.6761563829486055, 'self_conf': 2.050636197372837, 'swarm_conf': 2.9882696535349553, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7546561100074411, 'angle': 18.449375167504645, 'sigma': 0.010109425547495818}. Best is trial 1 with value: 8.955610571861564.
[I 2025-01-16 15:02:04,196] Trial 11 finished with value: 14.426891638764145 and parameters: {'factor': 0.6348829888666041, 'self_conf': 2.0143680781233315, 'swarm_conf': 2.9998183056469836, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6425515395708622, 'angle': 23.072934255101543, 'sigma': 0.08036967933633268}. Best is trial 1 with value: 8.955610571861564.
[I 2025-01-16 15:02:05,797] Trial 12 finished with value: 13.426789226836673 and parameters: {'factor': 0.6150967002877037, 'self_conf': 2.193451364685239, 'swarm_conf': 2.233577304421374, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5063652734000219, 'angle': 23.391208530019586, 'sigma': 0.1584899229757962}. Best is trial 1 with value: 8.955610571861564.
[I 2025-01-16 15:02:07,778] Trial 13 finished with value: 11.193348438106854 and parameters: {'factor': 0.749207674328262, 'self_conf': 2.65369491994639, 'swarm_conf': 2.3065068944780873, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6412784474762074, 'angle': 24.869466442367198, 'sigma': 0.07936190022641403}. Best is trial 1 with value: 8.955610571861564.
[I 2025-01-16 15:02:09,978] Trial 14 finished with value: 11.954898960999705 and parameters: {'factor': 0.587488155718625, 'self_conf': 2.1834352004352193, 'swarm_conf': 2.8151210761096026, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8088357733701658, 'angle': 18.86545146661175, 'sigma': 0.14529785851383156}. Best is trial 1 with value: 8.955610571861564.
