Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.40938938667457253, 'self_conf': 2.6055056442848787, 'swarm_conf': 2.5930092587584963, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.2823965489475911, 'angle': 11.963304774584902, 'sigma': 0.21017496287424497}
Mejor rendimiento encontrado:
6.159552589757711

Stderr:
[I 2025-01-16 16:20:18,205] A new study created in memory with name: no-name-8c3893d8-3424-4e79-b30d-eb1c94b68d10
[I 2025-01-16 16:20:22,273] Trial 0 finished with value: 18.665992886131143 and parameters: {'factor': 0.2700624934434235, 'self_conf': 2.6356725779466936, 'swarm_conf': 2.9782685975775482, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.622620778640692, 'angle': 9.188371595016527, 'sigma': 0.14681837819177437}. Best is trial 0 with value: 18.665992886131143.
[I 2025-01-16 16:20:24,418] Trial 1 finished with value: 11.194083300262761 and parameters: {'factor': 0.14521871021331317, 'self_conf': 2.18806444529469, 'swarm_conf': 2.418215078111796, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.4577015299346475, 'angle': 23.473203139782907, 'sigma': 0.25385068636607105}. Best is trial 1 with value: 11.194083300262761.
[I 2025-01-16 16:20:26,577] Trial 2 finished with value: 12.685714123936991 and parameters: {'factor': 0.7289557708078515, 'self_conf': 2.414915124448975, 'swarm_conf': 2.8915677406596547, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.40410472904009287, 'angle': 21.898506830508357, 'sigma': 0.2539817336673892}. Best is trial 1 with value: 11.194083300262761.
[I 2025-01-16 16:20:28,708] Trial 3 finished with value: 7.078508101633695 and parameters: {'factor': 0.49440932479040756, 'self_conf': 2.4384342880163596, 'swarm_conf': 2.7921092792415014, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.28629836043229484, 'angle': 6.067983677285371, 'sigma': 0.2021041503677101}. Best is trial 3 with value: 7.078508101633695.
[I 2025-01-16 16:20:30,795] Trial 4 finished with value: 8.208409705838811 and parameters: {'factor': 0.6543201734938601, 'self_conf': 2.8706853159026693, 'swarm_conf': 2.8554335206606427, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.14075285785204272, 'angle': 7.675204773913675, 'sigma': 0.15294301044268901}. Best is trial 3 with value: 7.078508101633695.
[I 2025-01-16 16:20:32,943] Trial 5 finished with value: 18.457980136538154 and parameters: {'factor': 0.14469154311115578, 'self_conf': 2.0368295574011297, 'swarm_conf': 2.2274203966213317, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7660071302262049, 'angle': 21.28170876811947, 'sigma': 0.254897114889504}. Best is trial 3 with value: 7.078508101633695.
[I 2025-01-16 16:20:35,080] Trial 6 finished with value: 19.15293033995755 and parameters: {'factor': 0.5893264864100934, 'self_conf': 2.0298957308845385, 'swarm_conf': 2.147383170297256, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.16212309487171714, 'angle': 24.478792164674633, 'sigma': 0.13795146977317954}. Best is trial 3 with value: 7.078508101633695.
[I 2025-01-16 16:20:37,176] Trial 7 finished with value: 19.946729220410496 and parameters: {'factor': 0.6473140640530042, 'self_conf': 2.793680761796317, 'swarm_conf': 2.3662777633102268, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8265755042224758, 'angle': 17.90015258731522, 'sigma': 0.08009023697990912}. Best is trial 3 with value: 7.078508101633695.
[I 2025-01-16 16:20:39,361] Trial 8 finished with value: 19.401097082463707 and parameters: {'factor': 0.2541365052028611, 'self_conf': 2.375982052917862, 'swarm_conf': 2.8311195279077195, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.14384569559784532, 'angle': 16.034926772680542, 'sigma': 0.166212317136145}. Best is trial 3 with value: 7.078508101633695.
[I 2025-01-16 16:20:41,437] Trial 9 finished with value: 10.897327586563048 and parameters: {'factor': 0.7107700786677333, 'self_conf': 2.8140666145439464, 'swarm_conf': 2.85469383049499, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.69098369164032, 'angle': 15.888193425861372, 'sigma': 0.033545725414039926}. Best is trial 3 with value: 7.078508101633695.
[I 2025-01-16 16:20:43,521] Trial 10 finished with value: 6.572966214894761 and parameters: {'factor': 0.8807370808968714, 'self_conf': 2.571060426062255, 'swarm_conf': 2.655989042518664, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.3201003694409223, 'angle': 5.334858998493157, 'sigma': 0.29858706480221875}. Best is trial 10 with value: 6.572966214894761.
[I 2025-01-16 16:20:45,581] Trial 11 finished with value: 8.118251824220632 and parameters: {'factor': 0.4805614196328691, 'self_conf': 2.59253749522146, 'swarm_conf': 2.635114491703248, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.3157014561173399, 'angle': 5.314395334554333, 'sigma': 0.21399370195296702}. Best is trial 10 with value: 6.572966214894761.
[I 2025-01-16 16:20:47,646] Trial 12 finished with value: 8.364723872788646 and parameters: {'factor': 0.8988512597458864, 'self_conf': 2.2941719798445166, 'swarm_conf': 2.6476574623358666, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.30314663173968576, 'angle': 11.295406986558792, 'sigma': 0.2842027952267559}. Best is trial 10 with value: 6.572966214894761.
[I 2025-01-16 16:20:49,722] Trial 13 finished with value: 6.159552589757711 and parameters: {'factor': 0.40938938667457253, 'self_conf': 2.6055056442848787, 'swarm_conf': 2.5930092587584963, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.2823965489475911, 'angle': 11.963304774584902, 'sigma': 0.21017496287424497}. Best is trial 13 with value: 6.159552589757711.
[I 2025-01-16 16:20:51,801] Trial 14 finished with value: 18.100471840987147 and parameters: {'factor': 0.3852957730364073, 'self_conf': 2.6468738742532527, 'swarm_conf': 2.6126870582707697, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.5684574801942012, 'angle': 12.220264416990005, 'sigma': 0.2971688395051338}. Best is trial 13 with value: 6.159552589757711.
