Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5511270777623494, 'self_conf': 2.7642509050645887, 'swarm_conf': 2.7167957387913004, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
11.334901426286548

Stderr:
[I 2025-01-16 16:34:50,258] A new study created in memory with name: no-name-79531275-bed7-4c91-957c-7bade4927200
[I 2025-01-16 16:34:53,158] Trial 0 finished with value: 31.71607711184651 and parameters: {'factor': 0.5240485812494259, 'self_conf': 2.1126076187119005, 'swarm_conf': 2.132578465643369, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 31.71607711184651.
[I 2025-01-16 16:34:54,337] Trial 1 finished with value: 25.185766102475434 and parameters: {'factor': 0.1199108383664455, 'self_conf': 2.971492632290091, 'swarm_conf': 2.9119772031735582, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 1 with value: 25.185766102475434.
[I 2025-01-16 16:34:55,483] Trial 2 finished with value: 27.713235003417797 and parameters: {'factor': 0.997025561226043, 'self_conf': 2.618026232695625, 'swarm_conf': 2.47072354401719, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 1 with value: 25.185766102475434.
[I 2025-01-16 16:34:56,630] Trial 3 finished with value: 28.57958942382628 and parameters: {'factor': 0.6624920614879132, 'self_conf': 2.359830423232376, 'swarm_conf': 2.0479101613452673, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 25.185766102475434.
[I 2025-01-16 16:34:57,770] Trial 4 finished with value: 13.594099276427736 and parameters: {'factor': 0.5521912804610452, 'self_conf': 2.8362314737852516, 'swarm_conf': 2.298279417726653, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 4 with value: 13.594099276427736.
[I 2025-01-16 16:34:58,926] Trial 5 finished with value: 23.817478727037575 and parameters: {'factor': 0.39894764762125334, 'self_conf': 2.5788893622767084, 'swarm_conf': 2.2449550065368573, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 4 with value: 13.594099276427736.
[I 2025-01-16 16:35:00,074] Trial 6 finished with value: 27.873430498197653 and parameters: {'factor': 0.8552038820983499, 'self_conf': 2.383311948912125, 'swarm_conf': 2.3447623691761175, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 4 with value: 13.594099276427736.
[I 2025-01-16 16:35:01,224] Trial 7 finished with value: 15.367413702909932 and parameters: {'factor': 0.36355552661350743, 'self_conf': 2.5431790874656, 'swarm_conf': 2.8945535673839076, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 4 with value: 13.594099276427736.
[I 2025-01-16 16:35:02,393] Trial 8 finished with value: 24.12560769920791 and parameters: {'factor': 0.38380296037965556, 'self_conf': 2.486904733757207, 'swarm_conf': 2.140553957238807, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 4 with value: 13.594099276427736.
[I 2025-01-16 16:35:03,542] Trial 9 finished with value: 27.871959748922915 and parameters: {'factor': 0.8887316209956254, 'self_conf': 2.039025157392668, 'swarm_conf': 2.459932771917521, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 4 with value: 13.594099276427736.
[I 2025-01-16 16:35:04,674] Trial 10 finished with value: 30.998438477665008 and parameters: {'factor': 0.6722252062713538, 'self_conf': 2.9714528514408873, 'swarm_conf': 2.7015653849516448, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 4 with value: 13.594099276427736.
[I 2025-01-16 16:35:05,812] Trial 11 finished with value: 20.25593734852731 and parameters: {'factor': 0.225564247517815, 'self_conf': 2.75998995770763, 'swarm_conf': 2.9896976512059217, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 4 with value: 13.594099276427736.
[I 2025-01-16 16:35:06,953] Trial 12 finished with value: 16.71100356313167 and parameters: {'factor': 0.3814461993271304, 'self_conf': 2.794845657473241, 'swarm_conf': 2.695095936077945, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 4 with value: 13.594099276427736.
[I 2025-01-16 16:35:08,097] Trial 13 finished with value: 11.334901426286548 and parameters: {'factor': 0.5511270777623494, 'self_conf': 2.7642509050645887, 'swarm_conf': 2.7167957387913004, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 13 with value: 11.334901426286548.
[I 2025-01-16 16:35:09,239] Trial 14 finished with value: 31.43874190773839 and parameters: {'factor': 0.6014170660864511, 'self_conf': 2.7872747693728535, 'swarm_conf': 2.683893742195066, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 13 with value: 11.334901426286548.
