Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 1.8549271943957668, 'distribution': 'levy', 'factor': 0.5771164678150038, 'self_conf': 2.7435612504977387, 'swarm_conf': 2.8296740405407954, 'version': 'constriction', 'radius': 0.6038503336793515, 'angle': 5.974327746977677, 'sigma': 0.27050427569427277}
Mejor rendimiento encontrado:
3.838000632328173

Stderr:
[I 2025-01-16 13:23:31,106] A new study created in memory with name: no-name-ae6ed5bf-4eb8-4238-8139-8196cdafb529
[I 2025-01-16 13:23:36,237] Trial 0 finished with value: 13.991977165946766 and parameters: {'scale': 1.6479378618946858, 'distribution': 'uniform', 'factor': 0.9645270429696124, 'self_conf': 2.557813160074067, 'swarm_conf': 2.3944319507618665, 'version': 'constriction', 'radius': 0.558450425150561, 'angle': 19.437957635086686, 'sigma': 0.03075201867671811}. Best is trial 0 with value: 13.991977165946766.
[I 2025-01-16 13:23:38,694] Trial 1 finished with value: 12.990864611068442 and parameters: {'scale': 1.921258744795346, 'distribution': 'levy', 'factor': 0.9890489729902286, 'self_conf': 2.0106397164140963, 'swarm_conf': 2.215366994133074, 'version': 'constriction', 'radius': 0.35915128570723254, 'angle': 24.584485958711237, 'sigma': 0.47278127664322966}. Best is trial 1 with value: 12.990864611068442.
[I 2025-01-16 13:23:41,129] Trial 2 finished with value: 17.032047841614933 and parameters: {'scale': 1.4129232728158125, 'distribution': 'levy', 'factor': 0.9250137400375009, 'self_conf': 2.8609257616333394, 'swarm_conf': 2.903606499315255, 'version': 'constriction', 'radius': 0.89716326955504, 'angle': 15.421838164207877, 'sigma': 0.16265382092104752}. Best is trial 1 with value: 12.990864611068442.
[I 2025-01-16 13:23:43,482] Trial 3 finished with value: 24.35925834179497 and parameters: {'scale': 1.0547146876520528, 'distribution': 'gaussian', 'factor': 0.9053673922999577, 'self_conf': 2.5290244398534214, 'swarm_conf': 2.1791030331657097, 'version': 'inertial', 'radius': 0.1395950511711771, 'angle': 20.397632826945166, 'sigma': 0.02375660800908613}. Best is trial 1 with value: 12.990864611068442.
[I 2025-01-16 13:23:45,807] Trial 4 finished with value: 14.061728791572717 and parameters: {'scale': 1.7825541288011597, 'distribution': 'uniform', 'factor': 0.7568543021678504, 'self_conf': 2.4649985618952837, 'swarm_conf': 2.2254300121448196, 'version': 'inertial', 'radius': 0.4669350110245166, 'angle': 23.106337047180777, 'sigma': 0.3381958410187644}. Best is trial 1 with value: 12.990864611068442.
[I 2025-01-16 13:23:48,140] Trial 5 finished with value: 9.543974438286241 and parameters: {'scale': 0.5329543835362703, 'distribution': 'gaussian', 'factor': 0.885451997677905, 'self_conf': 2.6045867956439857, 'swarm_conf': 2.9391731193726285, 'version': 'inertial', 'radius': 0.6821831700767301, 'angle': 8.189719403003915, 'sigma': 0.38199785754054116}. Best is trial 5 with value: 9.543974438286241.
[I 2025-01-16 13:23:50,446] Trial 6 finished with value: 10.045749358399966 and parameters: {'scale': 0.12071257831925387, 'distribution': 'uniform', 'factor': 0.5593356501899553, 'self_conf': 2.9635112855769603, 'swarm_conf': 2.534591989975476, 'version': 'constriction', 'radius': 0.44316547163757536, 'angle': 15.751443842115444, 'sigma': 0.028107867948201172}. Best is trial 5 with value: 9.543974438286241.
[I 2025-01-16 13:23:52,820] Trial 7 finished with value: 3.838000632328173 and parameters: {'scale': 1.8549271943957668, 'distribution': 'levy', 'factor': 0.5771164678150038, 'self_conf': 2.7435612504977387, 'swarm_conf': 2.8296740405407954, 'version': 'constriction', 'radius': 0.6038503336793515, 'angle': 5.974327746977677, 'sigma': 0.27050427569427277}. Best is trial 7 with value: 3.838000632328173.
[I 2025-01-16 13:23:55,118] Trial 8 finished with value: 11.447270694990468 and parameters: {'scale': 1.775595373708191, 'distribution': 'gaussian', 'factor': 0.7961327252087701, 'self_conf': 2.1293527797392393, 'swarm_conf': 2.9871498138276484, 'version': 'constriction', 'radius': 0.29065600310691436, 'angle': 13.00245964405725, 'sigma': 0.2920592991313356}. Best is trial 7 with value: 3.838000632328173.
[I 2025-01-16 13:23:57,399] Trial 9 finished with value: 8.962191130358482 and parameters: {'scale': 0.5149644021407539, 'distribution': 'uniform', 'factor': 0.5878910910719388, 'self_conf': 2.1475204819574847, 'swarm_conf': 2.5728669725579776, 'version': 'constriction', 'radius': 0.7758366043258171, 'angle': 11.274384963091393, 'sigma': 0.07156146609817628}. Best is trial 7 with value: 3.838000632328173.
[I 2025-01-16 13:23:59,747] Trial 10 finished with value: 11.487798106655369 and parameters: {'scale': 1.2444959158023114, 'distribution': 'levy', 'factor': 0.6472864730787737, 'self_conf': 2.7485843131344803, 'swarm_conf': 2.676649330103608, 'version': 'inertial', 'radius': 0.6304010760091096, 'angle': 5.12788773557616, 'sigma': 0.18038977215150456}. Best is trial 7 with value: 3.838000632328173.
