Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.3252980981900372, 'self_conf': 2.2724237627420507, 'swarm_conf': 2.4566858147012876, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8787844904751487, 'angle': 17.52041840629585, 'sigma': 0.10212129667853449}
Mejor rendimiento encontrado:
10.547030056655505

Stderr:
[I 2025-01-16 13:44:28,917] A new study created in memory with name: no-name-3ebf997c-0945-4faf-a5d1-1026f501ca1b
[I 2025-01-16 13:44:32,304] Trial 0 finished with value: 13.680657203348531 and parameters: {'factor': 0.7618407750326943, 'self_conf': 2.343178196657631, 'swarm_conf': 2.6379302464945824, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7073189312885027, 'angle': 22.46059918933956, 'sigma': 0.06873091643203133}. Best is trial 0 with value: 13.680657203348531.
[I 2025-01-16 13:44:33,696] Trial 1 finished with value: 31.638855610026955 and parameters: {'factor': 0.23444270214412732, 'self_conf': 2.0445181305391316, 'swarm_conf': 2.29661595513391, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7750451999640463, 'angle': 23.008331545173913, 'sigma': 0.11576965322412516}. Best is trial 0 with value: 13.680657203348531.
[I 2025-01-16 13:44:35,078] Trial 2 finished with value: 24.180849900020053 and parameters: {'factor': 0.7677520436677852, 'self_conf': 2.067577418044644, 'swarm_conf': 2.225309594081486, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7983165862586263, 'angle': 21.42116005013287, 'sigma': 0.07225123961987043}. Best is trial 0 with value: 13.680657203348531.
[I 2025-01-16 13:44:36,547] Trial 3 finished with value: 15.173109247761088 and parameters: {'factor': 0.5581439791800176, 'self_conf': 2.9164273906921196, 'swarm_conf': 2.0708049931419104, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5269750347584621, 'angle': 21.208161890669224, 'sigma': 0.13044971177249964}. Best is trial 0 with value: 13.680657203348531.
[I 2025-01-16 13:44:38,009] Trial 4 finished with value: 21.780359781560733 and parameters: {'factor': 0.7161386215891491, 'self_conf': 2.11495238044015, 'swarm_conf': 2.6779534455027862, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8051791669269593, 'angle': 18.243055770454568, 'sigma': 0.07499744151180185}. Best is trial 0 with value: 13.680657203348531.
[I 2025-01-16 13:44:39,443] Trial 5 finished with value: 32.572783341934624 and parameters: {'factor': 0.612155953736075, 'self_conf': 2.415710178268108, 'swarm_conf': 2.9554208864602742, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.723778057483818, 'angle': 18.600818208678692, 'sigma': 0.07434022244708655}. Best is trial 0 with value: 13.680657203348531.
[I 2025-01-16 13:44:40,894] Trial 6 finished with value: 22.784973866403 and parameters: {'factor': 0.7444760593760328, 'self_conf': 2.4370704179650233, 'swarm_conf': 2.1688549997793256, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.7761977851651043, 'angle': 24.93346121938303, 'sigma': 0.08974317071081352}. Best is trial 0 with value: 13.680657203348531.
[I 2025-01-16 13:44:42,361] Trial 7 finished with value: 37.10126918727356 and parameters: {'factor': 0.11570199993465478, 'self_conf': 2.7877991074341035, 'swarm_conf': 2.5758410112679018, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7671153588940436, 'angle': 19.9741206433656, 'sigma': 0.11824103445167443}. Best is trial 0 with value: 13.680657203348531.
[I 2025-01-16 13:44:43,808] Trial 8 finished with value: 22.83724736613927 and parameters: {'factor': 0.1917131263889206, 'self_conf': 2.6993625658538716, 'swarm_conf': 2.3760879347004003, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.526733922194651, 'angle': 24.105999432730965, 'sigma': 0.08630982677479786}. Best is trial 0 with value: 13.680657203348531.
[I 2025-01-16 13:44:45,325] Trial 9 finished with value: 10.944518510434923 and parameters: {'factor': 0.7681035236951996, 'self_conf': 2.5326864797879383, 'swarm_conf': 2.557083503576931, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6492792142074185, 'angle': 20.460288345770127, 'sigma': 0.10676659717014858}. Best is trial 9 with value: 10.944518510434923.
[I 2025-01-16 13:44:46,799] Trial 10 finished with value: 12.934458736585087 and parameters: {'factor': 0.414234471751798, 'self_conf': 2.61071770422192, 'swarm_conf': 2.850180744165046, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.620035290979516, 'angle': 19.718433609919305, 'sigma': 0.0505290238418719}. Best is trial 9 with value: 10.944518510434923.
[I 2025-01-16 13:44:48,286] Trial 11 finished with value: 13.68067675323843 and parameters: {'factor': 0.3866044469977774, 'self_conf': 2.65968102988815, 'swarm_conf': 2.883130989866177, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6230807011371671, 'angle': 19.646278522451112, 'sigma': 0.1472688407493304}. Best is trial 9 with value: 10.944518510434923.
[I 2025-01-16 13:44:49,773] Trial 12 finished with value: 13.929411302404406 and parameters: {'factor': 0.4265577576513365, 'self_conf': 2.577296744116024, 'swarm_conf': 2.780659645007111, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6222676611007367, 'angle': 20.11582787262907, 'sigma': 0.05038974485805201}. Best is trial 9 with value: 10.944518510434923.
[I 2025-01-16 13:44:51,225] Trial 13 finished with value: 10.547030056655505 and parameters: {'factor': 0.3252980981900372, 'self_conf': 2.2724237627420507, 'swarm_conf': 2.4566858147012876, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8787844904751487, 'angle': 17.52041840629585, 'sigma': 0.10212129667853449}. Best is trial 13 with value: 10.547030056655505.
[I 2025-01-16 13:44:52,728] Trial 14 finished with value: 12.76541637966739 and parameters: {'factor': 0.2874062084896311, 'self_conf': 2.2589212790509317, 'swarm_conf': 2.4557629351953105, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8874740545751957, 'angle': 18.02617302440018, 'sigma': 0.10673324947443755}. Best is trial 13 with value: 10.547030056655505.
