Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.6050548259236057, 'self_conf': 2.8117372741130886, 'swarm_conf': 2.4103131131767412, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.75728359975165, 'scale': 0.5395666541913919}
Mejor rendimiento encontrado:
4.478647193003868

Stderr:
[I 2025-01-16 13:53:41,169] A new study created in memory with name: no-name-8db4813b-8699-42b6-a2a1-4a15b7989ed4
[I 2025-01-16 13:53:44,218] Trial 0 finished with value: 29.356464428420686 and parameters: {'factor': 0.7109964437577809, 'self_conf': 2.7934729495715045, 'swarm_conf': 2.167492465042116, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.7131143244176703, 'scale': 1.3396736145873356}. Best is trial 0 with value: 29.356464428420686.
[I 2025-01-16 13:53:45,396] Trial 1 finished with value: 56.21253500597101 and parameters: {'factor': 0.72041652971164, 'self_conf': 2.254601982282146, 'swarm_conf': 2.349363222153715, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.9885544796211665, 'scale': 0.3859687325863157}. Best is trial 0 with value: 29.356464428420686.
[I 2025-01-16 13:53:46,568] Trial 2 finished with value: 32.109752723748215 and parameters: {'factor': 0.817175040298713, 'self_conf': 2.5046481537157907, 'swarm_conf': 2.756183664577352, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.720937363470223, 'scale': 1.4169866689512378}. Best is trial 0 with value: 29.356464428420686.
[I 2025-01-16 13:53:47,766] Trial 3 finished with value: 30.712660733943437 and parameters: {'factor': 0.9878697513091418, 'self_conf': 2.90400245294913, 'swarm_conf': 2.1847190451653895, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.6264782331757738, 'scale': 1.019291003666563}. Best is trial 0 with value: 29.356464428420686.
[I 2025-01-16 13:53:48,952] Trial 4 finished with value: 39.074040091375664 and parameters: {'factor': 0.8013530508056108, 'self_conf': 2.446270027057605, 'swarm_conf': 2.933706580469698, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.907628277215732, 'scale': 1.6216640964418292}. Best is trial 0 with value: 29.356464428420686.
[I 2025-01-16 13:53:50,176] Trial 5 finished with value: 21.131795420584723 and parameters: {'factor': 0.8311063717042482, 'self_conf': 2.653344879462147, 'swarm_conf': 2.6636165275602917, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.5904793245936939, 'scale': 1.6110651715652893}. Best is trial 5 with value: 21.131795420584723.
[I 2025-01-16 13:53:51,387] Trial 6 finished with value: 6.5030099853460825 and parameters: {'factor': 0.6060170335383717, 'self_conf': 2.990298256950762, 'swarm_conf': 2.438396753225573, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.7043826721680091, 'scale': 0.16615598331823217}. Best is trial 6 with value: 6.5030099853460825.
[I 2025-01-16 13:53:52,577] Trial 7 finished with value: 16.935659276025426 and parameters: {'factor': 0.754497396946343, 'self_conf': 2.255802788600756, 'swarm_conf': 2.945101295911356, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.64220800551848, 'scale': 1.4407946974334227}. Best is trial 6 with value: 6.5030099853460825.
[I 2025-01-16 13:53:53,788] Trial 8 finished with value: 20.697218267468095 and parameters: {'factor': 0.7929267003619251, 'self_conf': 2.639105624806038, 'swarm_conf': 2.3201845620002706, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.9022446421658483, 'scale': 0.7515204623102608}. Best is trial 6 with value: 6.5030099853460825.
[I 2025-01-16 13:53:54,986] Trial 9 finished with value: 58.99600010632338 and parameters: {'factor': 0.952593564771794, 'self_conf': 2.0074275199556246, 'swarm_conf': 2.0190703349630463, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.5420710510750697, 'scale': 0.8657512027222545}. Best is trial 6 with value: 6.5030099853460825.
[I 2025-01-16 13:53:56,199] Trial 10 finished with value: 9.701922283393314 and parameters: {'factor': 0.512221604893509, 'self_conf': 2.9582417068814584, 'swarm_conf': 2.5084072385268534, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.8471174215776601, 'scale': 0.21438787993101682}. Best is trial 6 with value: 6.5030099853460825.
[I 2025-01-16 13:53:57,439] Trial 11 finished with value: 8.705962353575716 and parameters: {'factor': 0.5040925393837824, 'self_conf': 2.994642236000093, 'swarm_conf': 2.5328739606283777, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.8307039509426118, 'scale': 0.11906164553279248}. Best is trial 6 with value: 6.5030099853460825.
[I 2025-01-16 13:53:58,670] Trial 12 finished with value: 8.954845812620983 and parameters: {'factor': 0.5155501481147562, 'self_conf': 2.9947140976626945, 'swarm_conf': 2.5522675238612575, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.8050947877265431, 'scale': 0.11197583636530702}. Best is trial 6 with value: 6.5030099853460825.
[I 2025-01-16 13:53:59,911] Trial 13 finished with value: 4.478647193003868 and parameters: {'factor': 0.6050548259236057, 'self_conf': 2.8117372741130886, 'swarm_conf': 2.4103131131767412, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.75728359975165, 'scale': 0.5395666541913919}. Best is trial 13 with value: 4.478647193003868.
[I 2025-01-16 13:54:01,127] Trial 14 finished with value: 7.324970342447585 and parameters: {'factor': 0.6102743422614523, 'self_conf': 2.799701137886973, 'swarm_conf': 2.3557292419335947, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.755252620727316, 'scale': 0.5663973814891976}. Best is trial 13 with value: 4.478647193003868.
