Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.6821750309543491, 'self_conf': 2.6615641248305932, 'swarm_conf': 1.5860358017478784, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.7622265827529788, 'scale': 0.13520395004643035}
Mejor rendimiento encontrado:
3.724000278458286

Stderr:
[I 2025-01-16 14:11:57,223] A new study created in memory with name: no-name-5bc64154-ef44-4ddb-9a9b-a7dbb041ba66
[I 2025-01-16 14:12:00,539] Trial 0 finished with value: 10.05370920547915 and parameters: {'factor': 0.9937785851580578, 'self_conf': 1.8686228050133886, 'swarm_conf': 2.454773279411343, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.42378747069186606, 'scale': 0.19381995966902188}. Best is trial 0 with value: 10.05370920547915.
[I 2025-01-16 14:12:01,895] Trial 1 finished with value: 8.566759119282297 and parameters: {'factor': 0.23305321654057434, 'self_conf': 2.51128360385796, 'swarm_conf': 2.654876336917198, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.5143805601467767, 'scale': 0.3590887368029607}. Best is trial 1 with value: 8.566759119282297.
[I 2025-01-16 14:12:03,248] Trial 2 finished with value: 7.246204502130096 and parameters: {'factor': 0.7405894301689414, 'self_conf': 1.3085542373935817, 'swarm_conf': 2.4863747330736166, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.7171043283116838, 'scale': 0.47483549841811856}. Best is trial 2 with value: 7.246204502130096.
[I 2025-01-16 14:12:04,585] Trial 3 finished with value: 11.961292646842468 and parameters: {'factor': 0.17572806723354714, 'self_conf': 1.5696886465703317, 'swarm_conf': 1.689456766702077, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.25436216027564673, 'scale': 0.28715176400679177}. Best is trial 2 with value: 7.246204502130096.
[I 2025-01-16 14:12:05,991] Trial 4 finished with value: 7.200934904543018 and parameters: {'factor': 0.440269365479386, 'self_conf': 2.595984296878661, 'swarm_conf': 1.9066126515813566, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.7545484692734095, 'scale': 0.467271902391196}. Best is trial 4 with value: 7.200934904543018.
[I 2025-01-16 14:12:07,393] Trial 5 finished with value: 13.250083982579625 and parameters: {'factor': 0.7617573747665943, 'self_conf': 1.585777570502091, 'swarm_conf': 1.7225956843534072, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.3190147876174131, 'scale': 0.6472112109422102}. Best is trial 4 with value: 7.200934904543018.
[I 2025-01-16 14:12:08,711] Trial 6 finished with value: 3.724000278458286 and parameters: {'factor': 0.6821750309543491, 'self_conf': 2.6615641248305932, 'swarm_conf': 1.5860358017478784, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.7622265827529788, 'scale': 0.13520395004643035}. Best is trial 6 with value: 3.724000278458286.
[I 2025-01-16 14:12:10,057] Trial 7 finished with value: 10.433275747811177 and parameters: {'factor': 0.8116892269879454, 'self_conf': 2.5222506485571534, 'swarm_conf': 1.3416516691688887, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.4512176240862051, 'scale': 0.7716870281756472}. Best is trial 6 with value: 3.724000278458286.
[I 2025-01-16 14:12:11,442] Trial 8 finished with value: 8.960890806558046 and parameters: {'factor': 0.5397893880926729, 'self_conf': 1.2333197839508185, 'swarm_conf': 1.739699456236448, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.6638435150964931, 'scale': 0.8099484468814414}. Best is trial 6 with value: 3.724000278458286.
[I 2025-01-16 14:12:12,773] Trial 9 finished with value: 5.423299352944701 and parameters: {'factor': 0.5475647297241993, 'self_conf': 1.3826371128994663, 'swarm_conf': 1.109625547703866, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.4074343454072822, 'scale': 0.18834859458633152}. Best is trial 6 with value: 3.724000278458286.
[I 2025-01-16 14:12:14,109] Trial 10 finished with value: 7.532967039621413 and parameters: {'factor': 0.3861632717137321, 'self_conf': 2.9791165981133636, 'swarm_conf': 2.1758325626102795, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.9604686919503505, 'scale': 0.953343852320012}. Best is trial 6 with value: 3.724000278458286.
[I 2025-01-16 14:12:15,472] Trial 11 finished with value: 7.438229059041195 and parameters: {'factor': 0.6484090571082057, 'self_conf': 2.122515798485114, 'swarm_conf': 1.0683071365558099, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.8876373820261917, 'scale': 0.1891302103603882}. Best is trial 6 with value: 3.724000278458286.
[I 2025-01-16 14:12:16,805] Trial 12 finished with value: 4.7854608930710985 and parameters: {'factor': 0.5496749730913804, 'self_conf': 2.146096353377068, 'swarm_conf': 1.2609326141990156, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.5448824228892409, 'scale': 0.10559144078470212}. Best is trial 6 with value: 3.724000278458286.
[I 2025-01-16 14:12:18,152] Trial 13 finished with value: 6.34855673898824 and parameters: {'factor': 0.9268502060485563, 'self_conf': 2.2097094802895514, 'swarm_conf': 1.4445623397404934, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.564907418247502, 'scale': 0.13523072123688157}. Best is trial 6 with value: 3.724000278458286.
[I 2025-01-16 14:12:19,506] Trial 14 finished with value: 5.017716943955865 and parameters: {'factor': 0.3609853010517859, 'self_conf': 2.99036380179008, 'swarm_conf': 1.3853349875335887, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.817974636451836, 'scale': 0.35134014082490833}. Best is trial 6 with value: 3.724000278458286.
