Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.528371719486189, 'self_conf': 2.003402730409839, 'swarm_conf': 2.444193474501046, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8318686431668985, 'angle': 22.394296192594794, 'sigma': 0.06335340638969525}
Mejor rendimiento encontrado:
6.966945602085074

Stderr:
[I 2025-01-16 14:36:25,725] A new study created in memory with name: no-name-57fb690e-382f-4656-9e91-24ceeef2da78
[I 2025-01-16 14:36:29,593] Trial 0 finished with value: 28.308376249492557 and parameters: {'factor': 0.9357434467165814, 'self_conf': 2.675593492996986, 'swarm_conf': 2.3320533113389765, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7663980632954147, 'angle': 23.541468175664896, 'sigma': 0.07524413799724226}. Best is trial 0 with value: 28.308376249492557.
[I 2025-01-16 14:36:31,296] Trial 1 finished with value: 25.78471376267378 and parameters: {'factor': 0.5641376851259653, 'self_conf': 2.312246936185994, 'swarm_conf': 2.217232652849497, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8488559761855697, 'angle': 23.351561428921013, 'sigma': 0.17177292652569115}. Best is trial 1 with value: 25.78471376267378.
[I 2025-01-16 14:36:33,006] Trial 2 finished with value: 24.282834711035537 and parameters: {'factor': 0.8521321101280753, 'self_conf': 2.409155464391598, 'swarm_conf': 2.265790675167861, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.7806283537253684, 'angle': 21.6654148828124, 'sigma': 0.17085886707973474}. Best is trial 2 with value: 24.282834711035537.
[I 2025-01-16 14:36:34,827] Trial 3 finished with value: 35.56418977898062 and parameters: {'factor': 0.7971226281026333, 'self_conf': 2.0969446970590893, 'swarm_conf': 2.9727630130765736, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8889397515239581, 'angle': 21.797934842264183, 'sigma': 0.06461748282499909}. Best is trial 2 with value: 24.282834711035537.
[I 2025-01-16 14:36:36,535] Trial 4 finished with value: 15.904578040826364 and parameters: {'factor': 0.9836153292342182, 'self_conf': 2.6183572607212, 'swarm_conf': 2.0910632204618347, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8824352821173622, 'angle': 24.90393374750391, 'sigma': 0.13777579729177608}. Best is trial 4 with value: 15.904578040826364.
[I 2025-01-16 14:36:38,228] Trial 5 finished with value: 6.966945602085074 and parameters: {'factor': 0.528371719486189, 'self_conf': 2.003402730409839, 'swarm_conf': 2.444193474501046, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8318686431668985, 'angle': 22.394296192594794, 'sigma': 0.06335340638969525}. Best is trial 5 with value: 6.966945602085074.
[I 2025-01-16 14:36:39,898] Trial 6 finished with value: 17.5091859202766 and parameters: {'factor': 0.6878088499412157, 'self_conf': 2.302639338757796, 'swarm_conf': 2.0847966945709704, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7430187247403897, 'angle': 20.111190189715987, 'sigma': 0.16219227341058584}. Best is trial 5 with value: 6.966945602085074.
[I 2025-01-16 14:36:41,599] Trial 7 finished with value: 16.421949699223887 and parameters: {'factor': 0.9718995259315828, 'self_conf': 2.8132260068677355, 'swarm_conf': 2.8148083303713953, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8274004756212738, 'angle': 23.254122179932487, 'sigma': 0.18242726879195942}. Best is trial 5 with value: 6.966945602085074.
[I 2025-01-16 14:36:43,301] Trial 8 finished with value: 25.862287984611214 and parameters: {'factor': 0.9991655999766167, 'self_conf': 2.973697995391476, 'swarm_conf': 2.871499616415246, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7749832379162847, 'angle': 20.95627514573036, 'sigma': 0.07077534787193318}. Best is trial 5 with value: 6.966945602085074.
[I 2025-01-16 14:36:44,980] Trial 9 finished with value: 25.952122392096946 and parameters: {'factor': 0.9012382058645547, 'self_conf': 2.32885950034482, 'swarm_conf': 2.4426188183189015, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.814082096827887, 'angle': 20.30364641297861, 'sigma': 0.13759914002866608}. Best is trial 5 with value: 6.966945602085074.
[I 2025-01-16 14:36:46,700] Trial 10 finished with value: 7.961748489817218 and parameters: {'factor': 0.5590869921320739, 'self_conf': 2.0082362515688965, 'swarm_conf': 2.6482802483988235, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7094006015289018, 'angle': 22.45454979262557, 'sigma': 0.10398568693340217}. Best is trial 5 with value: 6.966945602085074.
