Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.7440893174303383, 'self_conf': 2.4292236731416685, 'swarm_conf': 2.305606430366626, 'version': 'constriction', 'distribution': 'uniform', 'scale': 0.6720393559311139, 'radius': 0.5638849196505099, 'angle': 24.890362326117724, 'sigma': 0.1742838431940262}
Mejor rendimiento encontrado:
10.071992243306333

Stderr:
[I 2025-01-16 14:49:58,764] A new study created in memory with name: no-name-9dfcbdcd-0c2b-4c44-ab86-36bb890542f4
[I 2025-01-16 14:50:02,564] Trial 0 finished with value: 26.32449218320345 and parameters: {'factor': 0.6654680810993847, 'self_conf': 2.3230322371138383, 'swarm_conf': 2.8284940658392763, 'version': 'inertial', 'distribution': 'gaussian', 'scale': 0.4080441514973574, 'radius': 0.6310801303977869, 'angle': 22.601979971321988, 'sigma': 0.1227967936474179}. Best is trial 0 with value: 26.32449218320345.
[I 2025-01-16 14:50:04,477] Trial 1 finished with value: 25.664237820143985 and parameters: {'factor': 0.861752809097545, 'self_conf': 2.0203210323356204, 'swarm_conf': 2.671782683337335, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 0.461710618631637, 'radius': 0.7701790190276051, 'angle': 20.390618844333584, 'sigma': 0.022277951932202437}. Best is trial 1 with value: 25.664237820143985.
[I 2025-01-16 14:50:06,399] Trial 2 finished with value: 13.778635744811988 and parameters: {'factor': 0.6430366051506835, 'self_conf': 2.892814259644202, 'swarm_conf': 2.480116880248775, 'version': 'constriction', 'distribution': 'uniform', 'scale': 1.0173502297946857, 'radius': 0.7318102407157507, 'angle': 22.831493859162947, 'sigma': 0.2511823008293529}. Best is trial 2 with value: 13.778635744811988.
[I 2025-01-16 14:50:08,363] Trial 3 finished with value: 18.233836272153702 and parameters: {'factor': 0.5803735767757241, 'self_conf': 2.846066007362875, 'swarm_conf': 2.3103125932550346, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 0.8693739843274378, 'radius': 0.5204927056004117, 'angle': 22.26400804918691, 'sigma': 0.2389180220721328}. Best is trial 2 with value: 13.778635744811988.
[I 2025-01-16 14:50:10,301] Trial 4 finished with value: 11.32958817085217 and parameters: {'factor': 0.9463995344261664, 'self_conf': 2.1175735063310612, 'swarm_conf': 2.5179069836686097, 'version': 'constriction', 'distribution': 'uniform', 'scale': 0.3784924352717257, 'radius': 0.6764058120976796, 'angle': 24.283729842048572, 'sigma': 0.01824180826414725}. Best is trial 4 with value: 11.32958817085217.
[I 2025-01-16 14:50:12,232] Trial 5 finished with value: 17.24942767369793 and parameters: {'factor': 0.9166751788754111, 'self_conf': 2.2598877107627646, 'swarm_conf': 2.756118659284598, 'version': 'constriction', 'distribution': 'uniform', 'scale': 1.0086031874188794, 'radius': 0.8829396932342365, 'angle': 20.808602060470534, 'sigma': 0.23205216303985862}. Best is trial 4 with value: 11.32958817085217.
[I 2025-01-16 14:50:14,185] Trial 6 finished with value: 40.61450981696423 and parameters: {'factor': 0.8979045001920329, 'self_conf': 2.038015452425457, 'swarm_conf': 2.104943106742907, 'version': 'inertial', 'distribution': 'gaussian', 'scale': 1.5852770728203238, 'radius': 0.7473401888837594, 'angle': 24.394210516257424, 'sigma': 0.12503985726128763}. Best is trial 4 with value: 11.32958817085217.
[I 2025-01-16 14:50:16,142] Trial 7 finished with value: 33.250974560645105 and parameters: {'factor': 0.8651326330968334, 'self_conf': 2.0768920494807497, 'swarm_conf': 2.4544623520070097, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 1.648253467082826, 'radius': 0.7005762329484335, 'angle': 24.1446934119727, 'sigma': 0.23858450370225215}. Best is trial 4 with value: 11.32958817085217.
[I 2025-01-16 14:50:18,126] Trial 8 finished with value: 29.854456000124763 and parameters: {'factor': 0.8241288332007065, 'self_conf': 2.9070515105414754, 'swarm_conf': 2.188636689138924, 'version': 'inertial', 'distribution': 'uniform', 'scale': 0.3980043398081575, 'radius': 0.81510089587296, 'angle': 24.416001185515235, 'sigma': 0.04512064883611937}. Best is trial 4 with value: 11.32958817085217.
[I 2025-01-16 14:50:20,193] Trial 9 finished with value: 28.142250066751508 and parameters: {'factor': 0.6024689155850633, 'self_conf': 2.267929414189685, 'swarm_conf': 2.908582259410234, 'version': 'inertial', 'distribution': 'levy', 'scale': 1.0873619543584214, 'radius': 0.6171492871704268, 'angle': 21.446084322863936, 'sigma': 0.24118267666053061}. Best is trial 4 with value: 11.32958817085217.
[I 2025-01-16 14:50:22,465] Trial 10 finished with value: 18.450464194928045 and parameters: {'factor': 0.9907305873857792, 'self_conf': 2.6524353784284562, 'swarm_conf': 2.62754094142052, 'version': 'constriction', 'distribution': 'levy', 'scale': 0.10045116156413486, 'radius': 0.6126809236107057, 'angle': 23.51769591454986, 'sigma': 0.07753613624056815}. Best is trial 4 with value: 11.32958817085217.
