Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.8818620414733611, 'self_conf': 2.0110682287316384, 'swarm_conf': 2.9968938253328465, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5019292340613488, 'angle': 12.346597205663006, 'sigma': 0.19714174602898227}
Mejor rendimiento encontrado:
1.455434607314324e-25

Stderr:
[I 2025-01-18 23:26:47,107] A new study created in memory with name: no-name-2ed3fbd5-a2de-442f-8d95-3521bdd0c467
[I 2025-01-18 23:26:50,047] Trial 0 finished with value: 1055.4861173386148 and parameters: {'factor': 0.991047595119522, 'self_conf': 2.8614405029742374, 'swarm_conf': 2.070966007474895, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8696783435480131, 'angle': 15.47464996982291, 'sigma': 0.07587127146909069}. Best is trial 0 with value: 1055.4861173386148.
[I 2025-01-18 23:26:51,303] Trial 1 finished with value: 9.315884001286836 and parameters: {'factor': 0.5564290152298101, 'self_conf': 2.632264514126008, 'swarm_conf': 2.070239460393153, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6515292928825677, 'angle': 19.954315481979005, 'sigma': 0.13335850529764004}. Best is trial 1 with value: 9.315884001286836.
[I 2025-01-18 23:26:52,544] Trial 2 finished with value: 6.294905950777244e-23 and parameters: {'factor': 0.7852776567798543, 'self_conf': 2.9878604271231284, 'swarm_conf': 2.129379132918282, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5652249135010932, 'angle': 14.800230694550436, 'sigma': 0.16958724051010865}. Best is trial 2 with value: 6.294905950777244e-23.
[I 2025-01-18 23:26:53,690] Trial 3 finished with value: 11.605113758075806 and parameters: {'factor': 0.6655912594688245, 'self_conf': 2.519949059940717, 'swarm_conf': 2.24085886320807, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.764827224191855, 'angle': 14.978075099259266, 'sigma': 0.09960355755075237}. Best is trial 2 with value: 6.294905950777244e-23.
[I 2025-01-18 23:26:54,956] Trial 4 finished with value: 3.9285849374750573e-13 and parameters: {'factor': 0.7926792820527515, 'self_conf': 2.1701044636490896, 'swarm_conf': 2.428106721045161, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5391901160988459, 'angle': 16.85211076978906, 'sigma': 0.16772781573423023}. Best is trial 2 with value: 6.294905950777244e-23.
[I 2025-01-18 23:26:56,181] Trial 5 finished with value: 0.22527282448718572 and parameters: {'factor': 0.759984378927927, 'self_conf': 2.9952002658693884, 'swarm_conf': 2.324805898270709, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.8695618019657743, 'angle': 19.212278312615588, 'sigma': 0.14210414033095037}. Best is trial 2 with value: 6.294905950777244e-23.
[I 2025-01-18 23:26:57,453] Trial 6 finished with value: 0.48678075400981047 and parameters: {'factor': 0.7292069845564653, 'self_conf': 2.8849213006038927, 'swarm_conf': 2.4425498031625255, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8338658890813098, 'angle': 17.475909299602343, 'sigma': 0.17179620791002112}. Best is trial 2 with value: 6.294905950777244e-23.
[I 2025-01-18 23:26:58,606] Trial 7 finished with value: 604.5615525419579 and parameters: {'factor': 0.9729660297977257, 'self_conf': 2.3857433269523134, 'swarm_conf': 2.520972364744755, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.875721458356926, 'angle': 19.059786069004815, 'sigma': 0.15509297061208044}. Best is trial 2 with value: 6.294905950777244e-23.
[I 2025-01-18 23:26:59,815] Trial 8 finished with value: 23.879148418740673 and parameters: {'factor': 0.6352192895120721, 'self_conf': 2.458869020935793, 'swarm_conf': 2.4417523521130624, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7077264352234539, 'angle': 18.719449550498467, 'sigma': 0.08747587286655059}. Best is trial 2 with value: 6.294905950777244e-23.
[I 2025-01-18 23:27:01,018] Trial 9 finished with value: 5.01715090906397 and parameters: {'factor': 0.998039591427617, 'self_conf': 2.6667344541088283, 'swarm_conf': 2.1808363993899924, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.6255151119575083, 'angle': 10.070595627462351, 'sigma': 0.09834392054498711}. Best is trial 2 with value: 6.294905950777244e-23.
[I 2025-01-18 23:27:02,259] Trial 10 finished with value: 2.8418951158719164e-23 and parameters: {'factor': 0.8566066693476544, 'self_conf': 2.0279364300072946, 'swarm_conf': 2.819876030229084, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5301825964647665, 'angle': 11.897918559522147, 'sigma': 0.19920529386479482}. Best is trial 10 with value: 2.8418951158719164e-23.
[I 2025-01-18 23:27:03,505] Trial 11 finished with value: 2.213011340326548e-23 and parameters: {'factor': 0.8713205962670847, 'self_conf': 2.0019926864953734, 'swarm_conf': 2.8427346476930215, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5186269036858452, 'angle': 11.984446231932264, 'sigma': 0.19293229501514172}. Best is trial 11 with value: 2.213011340326548e-23.
[I 2025-01-18 23:27:04,738] Trial 12 finished with value: 7.022159874218439e-24 and parameters: {'factor': 0.8760231088637609, 'self_conf': 2.0240172932718576, 'swarm_conf': 2.878796433908418, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5169990326872114, 'angle': 10.963199791222848, 'sigma': 0.1993316250063874}. Best is trial 12 with value: 7.022159874218439e-24.
