Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.014378508489900542, 'distribution': 'gaussian', 'factor': 0.6640954703691787, 'self_conf': 2.225307429677205, 'swarm_conf': 2.913545910789139, 'version': 'constriction', 'radius': 0.6122896532767045, 'angle': 22.499740268707306, 'sigma': 0.12555299920916652}
Mejor rendimiento encontrado:
3.3668824800580377e-28

Stderr:
[I 2025-01-18 23:40:35,665] A new study created in memory with name: no-name-6b20f669-d13e-4e83-aa61-b2c288e2feb6
[I 2025-01-18 23:40:39,757] Trial 0 finished with value: 147.01072517381587 and parameters: {'scale': 0.3058778272112406, 'distribution': 'uniform', 'factor': 0.5114081023281769, 'self_conf': 2.341142337696519, 'swarm_conf': 2.996150804503484, 'version': 'inertial', 'radius': 0.8960274316584644, 'angle': 20.500757379393036, 'sigma': 0.07065383390523308}. Best is trial 0 with value: 147.01072517381587.
[I 2025-01-18 23:40:41,569] Trial 1 finished with value: 42.076582378074605 and parameters: {'scale': 0.43593443449170216, 'distribution': 'levy', 'factor': 0.5324059774242699, 'self_conf': 2.6712233193219435, 'swarm_conf': 2.810389636479881, 'version': 'inertial', 'radius': 0.7472932254558198, 'angle': 23.691197468876922, 'sigma': 0.16182583713743398}. Best is trial 1 with value: 42.076582378074605.
[I 2025-01-18 23:40:43,380] Trial 2 finished with value: 60.86906972615005 and parameters: {'scale': 0.1636287848413151, 'distribution': 'levy', 'factor': 0.5624271323933756, 'self_conf': 2.592518893118102, 'swarm_conf': 2.5099861141070225, 'version': 'inertial', 'radius': 0.7834201350853485, 'angle': 20.11199242301117, 'sigma': 0.07143986764732164}. Best is trial 1 with value: 42.076582378074605.
[I 2025-01-18 23:40:45,346] Trial 3 finished with value: 0.7985704437589853 and parameters: {'scale': 0.19448282551191148, 'distribution': 'uniform', 'factor': 0.8312778077804908, 'self_conf': 2.8513130715932276, 'swarm_conf': 2.8092512992410876, 'version': 'constriction', 'radius': 0.5007131468209917, 'angle': 24.038250093108648, 'sigma': 0.046836446348166305}. Best is trial 3 with value: 0.7985704437589853.
[I 2025-01-18 23:40:47,219] Trial 4 finished with value: 1.0445192648616422e-16 and parameters: {'scale': 0.1280396862375594, 'distribution': 'gaussian', 'factor': 0.9475147512562883, 'self_conf': 2.0827897608450083, 'swarm_conf': 2.664137026332693, 'version': 'constriction', 'radius': 0.5690616196575282, 'angle': 23.412884336878047, 'sigma': 0.17227775660614705}. Best is trial 4 with value: 1.0445192648616422e-16.
[I 2025-01-18 23:40:49,009] Trial 5 finished with value: 14.467397898828088 and parameters: {'scale': 0.33921825533100614, 'distribution': 'uniform', 'factor': 0.8249739741177013, 'self_conf': 2.461900260826052, 'swarm_conf': 2.729706843967957, 'version': 'inertial', 'radius': 0.7034487844430799, 'angle': 21.499725142799193, 'sigma': 0.19960609176564736}. Best is trial 4 with value: 1.0445192648616422e-16.
[I 2025-01-18 23:40:50,929] Trial 6 finished with value: 1.552163160118795e-17 and parameters: {'scale': 0.20521581771509134, 'distribution': 'gaussian', 'factor': 0.8408125799761075, 'self_conf': 2.350571486903203, 'swarm_conf': 2.7664587213697263, 'version': 'constriction', 'radius': 0.6770353671909402, 'angle': 20.13761932154314, 'sigma': 0.12484326850248688}. Best is trial 6 with value: 1.552163160118795e-17.
[I 2025-01-18 23:40:52,923] Trial 7 finished with value: 0.10331545481131277 and parameters: {'scale': 0.14095551532506695, 'distribution': 'gaussian', 'factor': 0.3173653120582468, 'self_conf': 2.1165420312158467, 'swarm_conf': 2.826402066163611, 'version': 'constriction', 'radius': 0.5397819596822404, 'angle': 21.71105062561628, 'sigma': 0.16090086935287945}. Best is trial 6 with value: 1.552163160118795e-17.
[I 2025-01-18 23:40:54,768] Trial 8 finished with value: 169.7845117918211 and parameters: {'scale': 0.2189783238863763, 'distribution': 'gaussian', 'factor': 0.30959474885179433, 'self_conf': 2.1370903563843373, 'swarm_conf': 2.6746469012312426, 'version': 'inertial', 'radius': 0.8258082420377433, 'angle': 20.60020808583061, 'sigma': 0.17354154253705767}. Best is trial 6 with value: 1.552163160118795e-17.
[I 2025-01-18 23:40:56,736] Trial 9 finished with value: 1.8936047911224653e-09 and parameters: {'scale': 0.0653618225599799, 'distribution': 'gaussian', 'factor': 0.35237467609182127, 'self_conf': 2.053449685172507, 'swarm_conf': 2.717014986771259, 'version': 'constriction', 'radius': 0.8800855881177457, 'angle': 24.6166925015609, 'sigma': 0.04384322588750781}. Best is trial 6 with value: 1.552163160118795e-17.
[I 2025-01-18 23:40:58,743] Trial 10 finished with value: 9.614335856786252e-27 and parameters: {'scale': 0.015104311960698447, 'distribution': 'gaussian', 'factor': 0.7473555897927388, 'self_conf': 2.342893695675693, 'swarm_conf': 2.9437553171272794, 'version': 'constriction', 'radius': 0.6160980469767999, 'angle': 22.48260718964005, 'sigma': 0.12011387553685587}. Best is trial 10 with value: 9.614335856786252e-27.
[I 2025-01-18 23:41:00,745] Trial 11 finished with value: 1.5058293050577369e-25 and parameters: {'scale': 0.010261850423452281, 'distribution': 'gaussian', 'factor': 0.7459291996728904, 'self_conf': 2.319442420523197, 'swarm_conf': 2.9794224503966786, 'version': 'constriction', 'radius': 0.626699176473767, 'angle': 22.570485128435667, 'sigma': 0.11295048263790694}. Best is trial 10 with value: 9.614335856786252e-27.
[I 2025-01-18 23:41:02,813] Trial 12 finished with value: 6.410097418225935e-28 and parameters: {'scale': 0.01388904613325721, 'distribution': 'gaussian', 'factor': 0.6667486499069428, 'self_conf': 2.301812944441958, 'swarm_conf': 2.999755758298248, 'version': 'constriction', 'radius': 0.6232773793234757, 'angle': 22.40082755634411, 'sigma': 0.11660336492929803}. Best is trial 12 with value: 6.410097418225935e-28.
[I 2025-01-18 23:41:04,841] Trial 13 finished with value: 3.3668824800580377e-28 and parameters: {'scale': 0.014378508489900542, 'distribution': 'gaussian', 'factor': 0.6640954703691787, 'self_conf': 2.225307429677205, 'swarm_conf': 2.913545910789139, 'version': 'constriction', 'radius': 0.6122896532767045, 'angle': 22.499740268707306, 'sigma': 0.12555299920916652}. Best is trial 13 with value: 3.3668824800580377e-28.
[I 2025-01-18 23:41:06,901] Trial 14 finished with value: 6.301088869787674e-20 and parameters: {'scale': 0.08674435691892032, 'distribution': 'levy', 'factor': 0.6403450059484238, 'self_conf': 2.1961714634289597, 'swarm_conf': 2.9009022950006855, 'version': 'constriction', 'radius': 0.6337639122148705, 'angle': 22.786971252451504, 'sigma': 0.08898277944169937}. Best is trial 13 with value: 3.3668824800580377e-28.
